"","YEAR","catch","catch_mt"
"1",1975,15389.97195,15.38997195
"2",1976,65117.28851,65.11728851
"3",1977,71011.20681,71.01120681
"4",1978,130395.9245,130.3959245
"5",1979,160579.3595,160.5793595
"6",1980,340660.8238,340.6608238
"7",1981,263698.9065,263.6989065
"8",1982,214176.2569,214.1762569
"9",1983,181501.3536,181.5013536
"10",1984,303746.5325,303.7465325
"11",1985,188341.1105,188.3411105
"12",1986,263007.816,263.007816
"13",1987,185985.3093,185.9853093
"14",1988,231968.7853,231.9687853
"15",1989,197040.4356,197.0404356
"16",1990,217894.4156514,217.8944156514
"17",1991,471254.7353,471.2547353
"18",1992,389555.8793,389.5558793
"19",1993,173228.7822,173.2287822
"20",1994,370690.81,370.69081
"21",1995,228612.5739,228.6125739
"22",1996,252235.1807,252.2351807
"23",1997,215529.2581,215.5292581
"24",1998,268534.1605,268.5341605
"25",1999,191778.7862,191.7787862
"26",2000,205400.9543,205.4009543
"27",2001,174022.6486,174.0226486
"28",2002,154865.6824,154.8656824
"29",2003,14517.91706,14.51791706
"30",2004,21165.17299,21.16517299
"31",2005,80064.7484,80.0647484
"32",2006,143030.0742,143.0300742
"33",2007,145950.8062,145.9508062
"34",2008,115216.4949,115.2164949
"35",2009,26587.28714,26.58728714
"36",2010,44625.64621,44.62564621
"37",2011,38408.47843,38.40847843
"38",2012,79206.80015,79.20680015
"39",2013,31244.86971,31.24486971
"40",2014,56179.40814,56.17940814
"41",2015,34666.25039,34.66625039
"42",2016,186694.4898,186.6944898
"43",2017,475988.1972,475.9881972
"44",2018,206900.6271,206.9006271
"45",2019,198923.1068,198.9231068
"46",2020,86120.61121,86.12061121
"47",2021,115492.6877,115.4926877
"48",2022,187136.8936,187.1368936
"49",2023,206451.0924,206.4510924
"50",2024,66561.24121,66.56124121
