year,month,fleet,sex,partition,input_n,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,f28,f30,f32,f34,f36,f38,f40,f42,f44,f46,f48,f50,f52,f54,f56,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56
1992,7,3,3,0,196,0,0,0,0,0,0,0,0,0,0,1,3,10,27,55,123,176,191,171,151,105,87,38,8,20,0,0,0,0,0,0,0,0,0,0,0,1,5,16,74,181,233,175,129,97,56,41,23,25,47
1993,7,3,3,0,238,0,0,0,0,0,0,0,0,0,0,0,2,12,29,50,95,167,211,249,198,115,58,30,12,1,0,0,0,0,0,0,0,0,0,0,2,5,11,37,71,128,226,196,147,97,57,22,14,9,3
1994,7,3,3,0,359,0,0,0,0,0,0,0,0,0,0,4,13,60,111,222,274,270,440,446,380,341,193,105,23,11,0,0,0,0,0,0,0,0,1,1,4,26,74,206,330,380,450,345,217,102,32,15,4,2,4
1995,7,3,3,0,301,0,0,0,0,0,0,0,0,0,1,1,6,30,71,87,200,245,190,218,150,113,56,32,17,3,0,0,0,0,0,0,0,0,0,0,0,11,51,102,184,295,341,266,130,71,31,22,18,5,0
1996,7,3,3,0,332,0,0,0,0,0,0,0,0,0,1,14,40,96,189,248,237,212,214,207,175,174,100,40,9,4,0,0,0,0,0,0,0,0,0,1,10,50,134,201,245,278,268,217,160,88,43,14,16,2,5
1997,7,3,3,0,396,0,0,0,0,0,0,0,0,0,0,3,16,61,146,266,315,299,239,203,160,148,109,40,8,2,0,0,0,0,0,0,0,0,0,2,5,27,90,246,400,459,372,269,164,74,32,15,3,0,0
1998,7,3,3,0,481,0,0,0,0,0,0,0,0,0,0,1,4,17,52,143,266,364,273,193,136,120,76,28,4,3,0,0,0,0,0,0,0,0,0,0,1,10,28,49,208,386,372,250,107,55,41,15,3,1,1
1999,7,3,3,0,598,0,0,0,0,0,0,0,0,1,3,10,42,80,97,173,277,367,352,184,130,119,81,33,14,3,0,0,0,0,0,0,0,1,2,2,13,47,129,175,251,411,415,224,103,49,24,15,5,2,1
2000,7,3,3,0,571,0,0,0,0,0,0,0,0,0,0,7,26,77,141,175,218,297,378,265,183,120,66,28,14,4,0,0,0,0,0,0,0,0,0,2,2,12,68,124,158,253,376,289,135,64,36,21,8,3,0
2001,7,3,3,0,522,0,0,0,0,0,0,0,0,0,0,1,4,15,50,111,116,132,136,165,164,147,94,48,17,1,0,0,0,0,0,0,0,0,0,1,1,5,11,54,122,145,207,226,118,59,18,7,9,0,1
2002,7,3,3,0,369,0,0,0,0,0,0,0,0,1,0,2,3,17,30,35,68,79,82,106,107,88,53,18,7,3,0,0,0,0,0,0,0,0,0,0,1,2,8,21,57,86,169,211,147,49,17,8,5,0,0
