"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2003,7,8,3,0,43,0,0,0,0,0,0.137337972746065,0,0,0.412013918238194,0.549351890984259,0.274675945492129,0.412013918238194,0.480077814930751,0.842554830234589,2.33809553572644,7.47770352745924,11.7740476383974,17.2680563093073,4.61272376272956,1.79242698048654,2.89741889142254,0.296886274994695,0,0,0,0,0,0,0.178443224546966,0,0.393167251215986,0.137337972746065,0.549351890984259,0.180823892978067,0,0.137337972746065,0.549351890984259,1.02244629823805,0,9.4339553951358,8.69333109828515,12.0846144672152,4.56709675814652,1.71900370037314,8.78835297501658,0,0,0,0,0
2004,7,8,3,0,26,0,0,0,0,0,0,0.910679865401512,0,2.21627908870276,4.40042577111721,8.08763135578278,13.4630018048781,10.3039104444855,10.3039104444855,3.61220497896454,0.914592484359038,1.19606915225087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857816903700197,3.32441863305414,11.1966981527579,8.25295862844434,9.52642544545728,3.61220497896454,0,2.74377745307711,3.85094150036951,0,1.22605291374704,0,0,0,0,0,0
2005,7,8,3,0,48,0,0,0,0,0,0,0,0,0,0,1.62579789736631,0,1.21634565745313,0.590531772871657,1.56970154179519,0,2.86095627173245,2.54977264327586,17.9612162516144,5.93549329242566,19.6168847737157,3.84380462051926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539989405593532,0.959150311302756,0.959150311302756,1.91830062260551,5.36907737892104,3.73504766177109,2.17549596875589,19.3214386799749,5.7408287637573,1.51101617324562,0,0,0,0,0
2006,7,8,3,0,63,0,0,0,0,0,0,0,0,0,0,0.608633595608323,4.26043516925826,9.73813752973317,7.30360314729988,3.34011787470222,1.69840702577785,2.43696147911581,3.25585451532713,3.41642621844225,3.24679738851944,5.92376983413524,5.41041828261541,0,0,0,0,0,0,0,0.541797461128366,0,0,0,0,0,0.608633595608323,8.55654961975733,8.52087033851653,9.11618477378142,2.79267002299352,3.47472366767689,4.85664551552556,4.84898153562074,4.19259774601843,0.649353367464341,0.649353367464341,0,0.552076927909219,0,0
2007,7,8,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58125995520196,0,4.59292862789754,9.07017271303646,12.1934281916125,10.1062187553894,2.8420266089395,7.25829647286613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09459486356197,8.4904700764173,13.9199826953019,12.8914652991752,9.03227179698891,6.92688394361121,0,0,0,0,0
2008,7,8,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36821549775125,0,8.65107620531923,7.26700488398431,10.1768147560611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72419338223985,3.84941147132561,0,4.23965719793325,0,3.43902317231094,0,10.4515282686507,7.98637399828411,15.1018456425728,12.7448555235668,0,0,0,0,0
2009,7,8,3,0,75,0,0,0,0,0,0,0,0,0.599748780922914,0.599748780922914,3.16561034464363,7.0259166404392,5.36122547512681,7.29576854222884,1.66469116531239,4.49061500856642,2.61862883068053,5.19065394609841,6.86204819173674,6.98344972813768,5.61045793201438,2.95390194391836,0,0,0,0,0,0,0,0,0,0,0,0,1.79924634276874,2.63159192542494,5.45244810839351,5.08494293389879,0,0,3.37270445165302,5.31272528490408,7.21749894327309,3.59931395526502,1.93990070201984,0,0,3.16716204164975,0,0
2010,7,8,3,0,65,0,0,0,0,0,0,0.440364240733332,1.76073451666827,0.439641794468272,0,0,0,0,0,1.17454260634509,5.36140048923855,6.89829707352526,12.3088246536997,11.5077152328419,7.58690257317914,2.00497611908955,2.24151525180171,0.406681538139507,0,0,0,0,0,0,0,0.439641794468272,0,2.19965386487148,0.439641794468272,0,0,0,0.46914062987126,1.52829700526412,1.15921078376959,3.72548341044766,14.8655044878141,12.3828376714403,7.90875198423352,2.28109985374988,0,0.46914062987126,0,0,0
2011,7,8,3,0,75,0,0,0,0,0,0,0,0.224981212933525,0,0,0,0.144029600369787,1.3163263759894,4.05399822818399,2.84321755425517,1.93330851420321,2.47271167281365,6.90730991973686,4.09176080878532,5.54342884293111,7.16309358994259,1.28106054309645,0,0,0,0,0,0,0,0,0,0,0,0,0.385857373232604,0.321752320598158,0.649739908030052,2.61293901705487,3.7074154943274,4.45628143430632,2.35241839454146,11.3470616300532,19.4823447702003,13.7638598270729,1.96069193656806,0.758931238515468,0.225479792258056,0,0,0
2012,7,8,3,0,65,0,0,0,0,0.844878766175724,0,0,0,0.844878766175724,3.37951506470289,7.60390889558151,2.7734877154367,0.949803489293876,0.678543306003559,1.35708661200712,2.03562991801068,4.4054288812681,1.81069111762069,5.07893319002938,9.37798605739732,6.64193217081978,6.10688975403203,0.350591345535068,0,0,0,0,0,0,0,0,0,0.304391972579358,6.44250417988912,4.52878580345798,11.3246028895485,5.06927259705434,1.52342207217928,0.678543306003559,2.24833331750239,4.31184373181164,2.00200067684813,2.24617992546682,2.91890970770321,1.24189756807164,0.919127201793844,0,0,0,0
