"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2005,7,1,3,2,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4615,5.4615,18.4092,51.8026,3.2039,181.3359,48.0143,2.068,1.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1923,18.9257,65.872,546.1295,0,5.4615,0,0,0,0,0
2006,7,1,3,2,31.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0288,43.8648,55.672,29.8956,16.8728,21.8156,9.92,1.0164,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0164,5,13.5,4.9364,23.5412,38.7316,31.328,6.496,1,2,3,0,0,0
2007,7,1,3,2,84.684,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8577,180.0045,20.2384,54.7066,171.965,77.9239,71.1744,45.5121,42.415,18.957,1.128,0,0,0,0,0,0,0,0,0,0,0,0,2.0147,0,3.0699,11.6156,38.108,89.5047,80.83,42.5254,14.7894,3.3355,0,0,0,0
2008,7,1,3,2,77.404,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9641,3.334,19.1895,23.0417,35.4488,57.0887,49.6272,57.229,35.0411,12.5555,2.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0994,10.3296,36.0284,48.4431,57.5139,32.592,16.3793,3.0329,0,0,0,0
2009,7,1,3,2,96.786,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3707,12.2803,10.4072,44.1302,350.1751,62.9299,61.056,55.5656,20.9506,7.1688,5.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.539,5.0204,40.559,64.2915,109.2494,69.6868,21.4381,3.8936,0,0,1.0127,0
2010,7,1,3,2,84.44,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2077,9.1442,41.5988,61.1092,78.8836,104.1479,112.7356,121.646,73.864,25.209,8.1743,0,0,0,0,0,0,0,0,0,0,0,0,2.3377,0,13.7704,29.5334,48.5059,108.1174,142.018,197.7778,37.8531,9.3182,0,0,0,0
2011,7,1,3,2,72.196,0,0,0,0,0,0,0,0,1,0,0,14.1219,1,50.1046,18.7091,39.0448,52.971,178.0137,442.6891,505.5842,108.9572,61.7839,43.3506,11.5979,0,0,0,0,0,0,0,0,0,0,0,0,14.1219,29.329,33.8047,23.6828,143.0421,170.1296,335.7385,191.5626,55.4665,38.6514,2.0348,2.0348,0,0
2012,7,1,3,2,126.944,0,0,0,0,0,0,0,0,2.9971,0,44.8,58.2827,61.0227,39.8515,157.3946,375.8416,317.5129,1292.0011,1906.1174,2569.9515,1387.8591,782.6527,166.2973,72.8144,0,0,0,0,0,0,0,0,0,0,28.2271,16.5,51.9145,171.01,403.2481,147.7559,608.8258,1662.4396,1467.06,1174.8442,363.0124,15.8902,0,0,0,0
2013,7,1,3,2,108.174,0,0,0,0,0,0,0,0,0,0,320.2728,337.7086,1001.3289,372.1157,356.3948,497.4721,909.1695,783.2621,1219.6689,3528.6719,1056.9596,293.3297,32.1634,11.6484,0,0,0,0,0,0,0,0,1,0,0,158.4152,527.2307,720.8224,434.9201,170.8387,764.5225,446.454,775.7386,208.2971,76.0443,2,2,0,0,0
2014,7,1,3,2,107.242,0,0,0,0,0,0,0,0,0,3.674,8.4964,15.3468,335.775,323.3499,389.8271,971.8777,1021.0059,1320.0006,1323.9277,1711.5901,520.0307,609.6751,88.725,0,0,0,0,0,0,0,0,0,0,0,0,20.6667,43.897,47.9078,1544.4534,648.6452,773.3277,1723.4272,1389.1053,677.9253,65.5218,0,0,0,0,0
