"year","state","fleet","sector","landings_mt"
1916,"California","bottom trawl",NA,6.2
1916,"California","hook and line",NA,71.8
1916,"California","midwater trawl",NA,0
1916,"California","net",NA,0
1916,"Oregon","bottom trawl",NA,0
1916,"Oregon","hook and line",NA,0.3
1916,"Oregon","midwater trawl",NA,0
1916,"Oregon","net",NA,0
1916,"Washington","bottom trawl",NA,0
1916,"Washington","hook and line",NA,0
1916,"Washington","midwater trawl",NA,0
1916,"Washington","net",NA,0
1917,"California","bottom trawl",NA,9.6
1917,"California","hook and line",NA,111.9
1917,"California","midwater trawl",NA,0
1917,"California","net",NA,0
1917,"Oregon","bottom trawl",NA,0
1917,"Oregon","hook and line",NA,0.3
1917,"Oregon","midwater trawl",NA,0
1917,"Oregon","net",NA,0
1917,"Washington","bottom trawl",NA,0
1917,"Washington","hook and line",NA,0
1917,"Washington","midwater trawl",NA,0
1917,"Washington","net",NA,0
1918,"California","bottom trawl",NA,11.2
1918,"California","hook and line",NA,128.5
1918,"California","midwater trawl",NA,0
1918,"California","net",NA,0
1918,"Oregon","bottom trawl",NA,0
1918,"Oregon","hook and line",NA,0.3
1918,"Oregon","midwater trawl",NA,0
1918,"Oregon","net",NA,0
1918,"Washington","bottom trawl",NA,0
1918,"Washington","hook and line",NA,0
1918,"Washington","midwater trawl",NA,0
1918,"Washington","net",NA,0
1919,"California","bottom trawl",NA,7.8
1919,"California","hook and line",NA,88.6
1919,"California","midwater trawl",NA,0
1919,"California","net",NA,0
1919,"Oregon","bottom trawl",NA,0
1919,"Oregon","hook and line",NA,0.3
1919,"Oregon","midwater trawl",NA,0
1919,"Oregon","net",NA,0
1919,"Washington","bottom trawl",NA,0
1919,"Washington","hook and line",NA,0
1919,"Washington","midwater trawl",NA,0
1919,"Washington","net",NA,0
1920,"California","bottom trawl",NA,8
1920,"California","hook and line",NA,90.7
1920,"California","midwater trawl",NA,0
1920,"California","net",NA,0
1920,"Oregon","bottom trawl",NA,0
1920,"Oregon","hook and line",NA,0.4
1920,"Oregon","midwater trawl",NA,0
1920,"Oregon","net",NA,0
1920,"Washington","bottom trawl",NA,0
1920,"Washington","hook and line",NA,0
1920,"Washington","midwater trawl",NA,0
1920,"Washington","net",NA,0
1921,"California","bottom trawl",NA,6.6
1921,"California","hook and line",NA,75.1
1921,"California","midwater trawl",NA,0
1921,"California","net",NA,0
1921,"Oregon","bottom trawl",NA,0
1921,"Oregon","hook and line",NA,0.4
1921,"Oregon","midwater trawl",NA,0
1921,"Oregon","net",NA,0
1921,"Washington","bottom trawl",NA,0
1921,"Washington","hook and line",NA,0
1921,"Washington","midwater trawl",NA,0
1921,"Washington","net",NA,0
1922,"California","bottom trawl",NA,5.7
1922,"California","hook and line",NA,65.2
1922,"California","midwater trawl",NA,0
1922,"California","net",NA,0
1922,"Oregon","bottom trawl",NA,0
1922,"Oregon","hook and line",NA,0.4
1922,"Oregon","midwater trawl",NA,0
1922,"Oregon","net",NA,0
1922,"Washington","bottom trawl",NA,0
1922,"Washington","hook and line",NA,0
1922,"Washington","midwater trawl",NA,0
1922,"Washington","net",NA,0
1923,"California","bottom trawl",NA,6.1
1923,"California","hook and line",NA,71.7
1923,"California","midwater trawl",NA,0
1923,"California","net",NA,0
1923,"Oregon","bottom trawl",NA,0
1923,"Oregon","hook and line",NA,0.4
1923,"Oregon","midwater trawl",NA,0
1923,"Oregon","net",NA,0
1923,"Washington","bottom trawl",NA,0
1923,"Washington","hook and line",NA,0
1923,"Washington","midwater trawl",NA,0
1923,"Washington","net",NA,0
1924,"California","bottom trawl",NA,3.6
1924,"California","hook and line",NA,46.2
1924,"California","midwater trawl",NA,0
1924,"California","net",NA,0
1924,"Oregon","bottom trawl",NA,0
1924,"Oregon","hook and line",NA,0.4
1924,"Oregon","midwater trawl",NA,0
1924,"Oregon","net",NA,0
1924,"Washington","bottom trawl",NA,0
1924,"Washington","hook and line",NA,0
1924,"Washington","midwater trawl",NA,0
1924,"Washington","net",NA,0
1925,"California","bottom trawl",NA,3.1
1925,"California","hook and line",NA,58.7
1925,"California","midwater trawl",NA,0
1925,"California","net",NA,0
1925,"Oregon","bottom trawl",NA,0
1925,"Oregon","hook and line",NA,0.4
1925,"Oregon","midwater trawl",NA,0
1925,"Oregon","net",NA,0
1925,"Washington","bottom trawl",NA,0
1925,"Washington","hook and line",NA,0
1925,"Washington","midwater trawl",NA,0
1925,"Washington","net",NA,0
1926,"California","bottom trawl",NA,8.7
1926,"California","hook and line",NA,85.5
1926,"California","midwater trawl",NA,0
1926,"California","net",NA,0
1926,"Oregon","bottom trawl",NA,0
1926,"Oregon","hook and line",NA,0.4
1926,"Oregon","midwater trawl",NA,0
1926,"Oregon","net",NA,0
1926,"Washington","bottom trawl",NA,0
1926,"Washington","hook and line",NA,0
1926,"Washington","midwater trawl",NA,0
1926,"Washington","net",NA,0
1927,"California","bottom trawl",NA,11.7
1927,"California","hook and line",NA,66.4
1927,"California","midwater trawl",NA,0
1927,"California","net",NA,0
1927,"Oregon","bottom trawl",NA,0
1927,"Oregon","hook and line",NA,0.5
1927,"Oregon","midwater trawl",NA,0
1927,"Oregon","net",NA,0
1927,"Washington","bottom trawl",NA,0
1927,"Washington","hook and line",NA,0
1927,"Washington","midwater trawl",NA,0
1927,"Washington","net",NA,0
1928,"California","bottom trawl",NA,16.6
1928,"California","hook and line",NA,72
1928,"California","midwater trawl",NA,0
1928,"California","net",NA,0
1928,"Oregon","bottom trawl",NA,0
