"year","seas","fleet","catch","catch_se"
-999,1,1,0,0.01
1916,1,1,6.2,0.01
1917,1,1,9.63,0.01
1918,1,1,11.23,0.01
1919,1,1,7.8,0.01
1920,1,1,7.96,0.01
1921,1,1,6.58,0.01
1922,1,1,5.66,0.01
1923,1,1,6.14,0.01
1924,1,1,3.62,0.01
1925,1,1,3.06,0.01
1926,1,1,8.68,0.01
1927,1,1,11.74,0.01
1928,1,1,16.6,0.01
1929,1,1,23.36,0.01
1930,1,1,20.8,0.01
1931,1,1,20.39,0.01
1932,1,1,22.13,0.01
1933,1,1,34.53,0.01
1934,1,1,30.697627603,0.01
1935,1,1,29.125883331,0.01
1936,1,1,24.078491242,0.01
1937,1,1,35.003745652,0.01
1938,1,1,32.210525724,0.01
1939,1,1,40.764766477,0.01
1940,1,1,74.375944576,0.01
1941,1,1,92.294943842,0.01
1942,1,1,131.730869124,0.01
1943,1,1,471.609125784,0.01
1944,1,1,926.014112986,0.01
1945,1,1,1567.17696485,0.01
1946,1,1,1095.937860416,0.01
1947,1,1,554.480265468,0.01
1948,1,1,441.141353543,0.01
1949,1,1,331.6864851785,0.01
1950,1,1,363.720240229,0.01
1951,1,1,508.852419835,0.01
1952,1,1,510.9349969,0.01
1953,1,1,458.127856349,0.01
1954,1,1,428.959502494,0.01
1955,1,1,449.824188726,0.01
1956,1,1,564.153296858,0.01
1957,1,1,726.161450873,0.01
1958,1,1,670.528839932,0.01
1959,1,1,648.626203329,0.01
1960,1,1,795.498269708,0.01
1961,1,1,668.565502149,0.01
1962,1,1,751.22998547,0.01
1963,1,1,420.309784698,0.01
1964,1,1,593.333957223,0.01
1965,1,1,244.221268389,0.01
1966,1,1,579.065305154,0.01
1967,1,1,886.517947646,0.01
1968,1,1,412.39008755,0.01
1969,1,1,469.5566915,0.01
1970,1,1,287.98905333,0.01
1971,1,1,378.56645613,0.01
1972,1,1,477.95638406,0.01
1973,1,1,482.10290446,0.01
1974,1,1,440.414682414,0.01
1975,1,1,451.08314789,0.01
1976,1,1,560.97820465,0.01
1977,1,1,996.8037813,0.01
1978,1,1,1257.2852131,0.01
1979,1,1,1772.94076988728,0.01
1980,1,1,2861.43233712833,0.01
1981,1,1,4906.96203561269,0.01
1982,1,1,4977.50443538127,0.01
1983,1,1,6747.41151237925,0.01
1984,1,1,3292.48734787763,0.01
1985,1,1,2596.59314356559,0.01
1986,1,1,3673.0705361752,0.01
1987,1,1,4194.59996376473,0.01
1988,1,1,4131.11295595357,0.01
1989,1,1,4567.69792148225,0.01
1990,1,1,5399.17423280627,0.01
1991,1,1,3928.70509223084,0.01
1992,1,1,4307.66602273118,0.01
1993,1,1,5716.97923314317,0.01
1994,1,1,3807.44661939247,0.01
1995,1,1,4088.09639807989,0.01
1996,1,1,3587.00708444282,0.01
1997,1,1,3777.09504301203,0.01
1998,1,1,2515.73502425947,0.01
1999,1,1,1612.84752912548,0.01
2000,1,1,56.6500079603876,0.01
2001,1,1,39.1006109895658,0.01
2002,1,1,17.2094247166038,0.01
2003,1,1,3.56941963177305,0.01
2004,1,1,8.3298825406689,0.01
2005,1,1,3.13021601478261,0.01
2006,1,1,6.00926435155902,0.01
2007,1,1,4.81001529808864,0.01
2008,1,1,2.15003608968379,0.01
2009,1,1,4.18995839298619,0.01
2010,1,1,4.73099131305164,0.01
2011,1,1,18.3416755080412,0.01
2012,1,1,41.6059592045326,0.01
2013,1,1,51.2684627834604,0.01
2014,1,1,71.2804600854701,0.01
2015,1,1,12.18,0.01
2016,1,1,9.62,0.01
2017,1,1,35.93,0.01
2018,1,1,35.93,0.01
2019,1,1,27.8571478596187,0.01
2020,1,1,73.6267973155424,0.01
2021,1,1,103.740668092211,0.01
2022,1,1,126.776159041678,0.01
2023,1,1,82.331004297189,0.01
2024,1,1,27.5869992661148,0.01
-999,1,2,0,0.01
1916,1,2,0,0.01
1917,1,2,0,0.01
1918,1,2,0,0.01
1919,1,2,0,0.01
1920,1,2,0,0.01
1921,1,2,0,0.01
1922,1,2,0,0.01
1923,1,2,0,0.01
1924,1,2,0,0.01
1925,1,2,0,0.01
1926,1,2,0,0.01
