"year","seas","fleet","catch","catch_se"
-999,1,1,0,0.01
1916,1,1,6.2,0.01
1917,1,1,9.63,0.01
1918,1,1,11.23,0.01
1919,1,1,7.8,0.01
1920,1,1,7.96,0.01
1921,1,1,6.58,0.01
1922,1,1,5.66,0.01
1923,1,1,6.14,0.01
1924,1,1,3.62,0.01
1925,1,1,3.06,0.01
1926,1,1,8.68,0.01
1927,1,1,11.74,0.01
1928,1,1,16.6,0.01
1929,1,1,23.36,0.01
1930,1,1,20.8,0.01
1931,1,1,20.39,0.01
1932,1,1,22.13,0.01
1933,1,1,34.53,0.01
1934,1,1,30.69,0.01
1935,1,1,29.76,0.01
1936,1,1,25.17,0.01
1937,1,1,35.89,0.01
1938,1,1,33.27,0.01
1939,1,1,41.69,0.01
1940,1,1,75.27,0.01
1941,1,1,93.58,0.01
1942,1,1,133.37,0.01
1943,1,1,468.72,0.01
1944,1,1,921.32,0.01
1945,1,1,1553.45,0.01
1946,1,1,1089.08,0.01
1947,1,1,551.2,0.01
1948,1,1,436.8,0.01
1949,1,1,329.83,0.01
1950,1,1,359.46,0.01
1951,1,1,504.25,0.01
1952,1,1,501.06,0.01
1953,1,1,455.27,0.01
1954,1,1,426.22,0.01
1955,1,1,446.34,0.01
1956,1,1,558.84,0.01
1957,1,1,722.76,0.01
1958,1,1,664.89,0.01
1959,1,1,642.75,0.01
1960,1,1,788.79,0.01
1961,1,1,661.65,0.01
1962,1,1,741.75,0.01
1963,1,1,413.46,0.01
1964,1,1,588.18,0.01
1965,1,1,238.71,0.01
1966,1,1,579.45,0.01
1967,1,1,886.31,0.01
1968,1,1,412.41,0.01
1969,1,1,469.5,0.01
1970,1,1,287.99,0.01
1971,1,1,378.59,0.01
1972,1,1,477.77,0.01
1973,1,1,481.42,0.01
1974,1,1,440.23,0.01
1975,1,1,450.93,0.01
1976,1,1,559.54,0.01
1977,1,1,924.82,0.01
1978,1,1,1215.76,0.01
1979,1,1,1741.2720558662,0.01
1980,1,1,2858.3807931095,0.01
1981,1,1,4868.53,0.01
1982,1,1,4961.49,0.01
1983,1,1,6625.36,0.01
1984,1,1,3244.91,0.01
1985,1,1,2575.58,0.01
1986,1,1,3586.53,0.01
1987,1,1,4145.12,0.01
1988,1,1,4028.37,0.01
1989,1,1,4513.47,0.01
1990,1,1,5312.38,0.01
1991,1,1,3864.5,0.01
1992,1,1,4273.45,0.01
1993,1,1,5655.13,0.01
1994,1,1,3802.73,0.01
1995,1,1,4086.87,0.01
1996,1,1,3586.77,0.01
1997,1,1,3777,0.01
1998,1,1,2515.61,0.01
1999,1,1,1612.77,0.01
2000,1,1,56.65,0.01
2001,1,1,39.1,0.01
2002,1,1,17.21,0.01
2003,1,1,3.57,0.01
2004,1,1,8.33,0.01
2005,1,1,3.13,0.01
2006,1,1,6.01,0.01
2007,1,1,4.81,0.01
2008,1,1,2.15,0.01
2009,1,1,4.19,0.01
2010,1,1,4.73,0.01
2011,1,1,18.34,0.01
2012,1,1,41.23,0.01
2013,1,1,51.27,0.01
2014,1,1,71.28,0.01
2015,1,1,12.18,0.01
2016,1,1,9.62,0.01
2017,1,1,35.93,0.01
2018,1,1,35.93,0.01
2019,1,1,27.8571478596187,0.01
2020,1,1,73.6267973155424,0.01
2021,1,1,103.740668092211,0.01
2022,1,1,126.776159041678,0.01
2023,1,1,82.331004297189,0.01
2024,1,1,27.5869992661148,0.01
-999,1,2,0,0.01
1916,1,2,0,0.01
1917,1,2,0,0.01
1918,1,2,0,0.01
1919,1,2,0,0.01
1920,1,2,0,0.01
1921,1,2,0,0.01
1922,1,2,0,0.01
1923,1,2,0,0.01
1924,1,2,0,0.01
1925,1,2,0,0.01
1926,1,2,0,0.01
1927,1,2,0,0.01
1928,1,2,0,0.01
1929,1,2,0,0.01
1930,1,2,0,0.01
1931,1,2,0,0.01
1932,1,2,0,0.01
1933,1,2,0,0.01
1934,1,2,0,0.01
1935,1,2,0,0.01
1936,1,2,0,0.01
1937,1,2,0,0.01
1938,1,2,0,0.01
1939,1,2,0,0.01
1940,1,2,0,0.01
1941,1,2,0,0.01
1942,1,2,0,0.01
