"scenario","yr","catch","SpawnBio_low","dep_low","SpawnBio_base","dep_base","SpawnBio_high","dep_high"
"Constant catch",2025,10669,34412.5,37.5,46934.4,54.9,55743.2,65.7
"Constant catch",2026,9824,29166.1,31.8,41475.4,48.5,49923.8,58.8
"Constant catch",2027,3000,24814.1,27,36918,43.2,45051.5,53.1
"Constant catch",2028,3000,24908.8,27.1,36851.8,43.1,44747.2,52.7
"Constant catch",2029,3000,25803.8,28.1,37680.1,44.1,45423.1,53.5
"Constant catch",2030,3000,27155.4,29.6,39082.7,45.7,46750.3,55.1
"Constant catch",2031,3000,28589.2,31.1,40680.6,47.6,48330.6,56.9
"Constant catch",2032,3000,29885.3,32.6,42241.3,49.4,49918.4,58.8
"Constant catch",2033,3000,30981.6,33.7,43682.6,51.1,51421.6,60.6
"Constant catch",2034,3000,31907.3,34.8,44998.9,52.7,52820,62.2
"Constant catch",2035,3000,32723.9,35.6,46209.8,54.1,54114.4,63.8
"Constant catch",2036,3000,33488,36.5,47336.5,55.4,55309.7,65.2
"P*0.40",2025,10669,34412.5,37.5,46934.4,54.9,55743.2,65.7
"P*0.40",2026,9824,29166.1,31.8,41475.4,48.5,49923.8,58.8
"P*0.40",2027,3957,24814.1,27,36918,43.2,45051.5,53.1
"P*0.40",2028,4059,24414.2,26.6,36361.5,42.5,44260.1,52.2
"P*0.40",2029,4360,24785.6,27,36674.1,42.9,44428.1,52.3
"P*0.40",2030,4659,25471.8,27.7,37429.3,43.8,45122.7,53.2
"P*0.40",2031,4852,26078.9,28.4,38234.9,44.7,45935.4,54.1
"P*0.40",2032,4943,26440.3,28.8,38912.4,45.5,46675.3,55
"P*0.40",2033,4971,26562.8,28.9,39447.7,46.2,47317.9,55.8
"P*0.40",2034,4973,26524,28.9,39883.2,46.7,47890.8,56.4
"P*0.40",2035,4956,26405.2,28.8,40260,47.1,48416.9,57
"P*0.40",2036,4937,26270.7,28.6,40611.2,47.5,48913.2,57.6
"P*0.45",2025,10669,34412.5,37.5,46934.4,54.9,55743.2,65.7
"P*0.45",2026,9824,29166.1,31.8,41475.4,48.5,49923.8,58.8
"P*0.45",2027,4238,24814.1,27,36918,43.2,45051.5,53.1
"P*0.45",2028,4349,24269.2,26.4,36217.6,42.4,44117.2,52
"P*0.45",2029,4677,24496.9,26.7,36389,42.6,44146.1,52
"P*0.45",2030,5004,25027.6,27.3,36993.7,43.3,44694.4,52.7
"P*0.45",2031,5213,25462.2,27.7,37635.5,44,45349.6,53.4
"P*0.45",2032,5320,25641.9,27.9,38143.7,44.6,45928.5,54.1
"P*0.45",2033,5359,25577.4,27.9,38507.5,45.1,46410,54.7
"P*0.45",2034,5360,25349.5,27.6,38773.5,45.4,46826.1,55.2
"P*0.45",2035,5355,25045.8,27.3,38989.9,45.6,47206.9,55.6
"P*0.45",2036,5348,24723.1,26.9,39183.4,45.8,47563.6,56
