"yr","catch","SpawnBio","dep","name"
2025,10669,34412.5,0.375,"cc_low"
2026,9824,29166.1,0.318,"cc_low"
2027,3000,24814.1,0.27,"cc_low"
2028,3000,24908.8,0.271,"cc_low"
2029,3000,25803.8,0.281,"cc_low"
2030,3000,27155.4,0.296,"cc_low"
2031,3000,28589.2,0.311,"cc_low"
2032,3000,29885.3,0.326,"cc_low"
2033,3000,30981.6,0.337,"cc_low"
2034,3000,31907.3,0.348,"cc_low"
2035,3000,32723.9,0.356,"cc_low"
2036,3000,33488,0.365,"cc_low"
2025,10669,46934.4,0.549,"cc_base"
2026,9824,41475.4,0.485,"cc_base"
2027,3000,36918,0.432,"cc_base"
2028,3000,36851.8,0.431,"cc_base"
2029,3000,37680.1,0.441,"cc_base"
2030,3000,39082.7,0.457,"cc_base"
2031,3000,40680.6,0.476,"cc_base"
2032,3000,42241.3,0.494,"cc_base"
2033,3000,43682.6,0.511,"cc_base"
2034,3000,44998.9,0.527,"cc_base"
2035,3000,46209.8,0.541,"cc_base"
2036,3000,47336.5,0.554,"cc_base"
2025,10669,55743.2,0.657,"cc_high"
2026,9824,49923.8,0.588,"cc_high"
2027,3000,45051.5,0.531,"cc_high"
2028,3000,44747.2,0.527,"cc_high"
2029,3000,45423.1,0.535,"cc_high"
2030,3000,46750.3,0.551,"cc_high"
2031,3000,48330.6,0.569,"cc_high"
2032,3000,49918.4,0.588,"cc_high"
2033,3000,51421.6,0.606,"cc_high"
2034,3000,52820,0.622,"cc_high"
2035,3000,54114.4,0.638,"cc_high"
2036,3000,55309.7,0.652,"cc_high"
2025,10669,34412.5,0.375,"45_low"
2026,9824,29166.1,0.318,"45_low"
2027,4238,24814.1,0.27,"45_low"
2028,4349,24269.2,0.264,"45_low"
2029,4677,24496.9,0.267,"45_low"
2030,5004,25027.6,0.273,"45_low"
2031,5213,25462.2,0.277,"45_low"
2032,5320,25641.9,0.279,"45_low"
2033,5359,25577.4,0.279,"45_low"
2034,5360,25349.5,0.276,"45_low"
2035,5355,25045.8,0.273,"45_low"
2036,5348,24723.1,0.269,"45_low"
2025,10669,46934.4,0.549,"45_base"
2026,9824,41475.4,0.485,"45_base"
2027,4238,36918,0.432,"45_base"
2028,4349,36217.6,0.424,"45_base"
2029,4677,36389,0.426,"45_base"
2030,5004,36993.7,0.433,"45_base"
2031,5213,37635.5,0.44,"45_base"
2032,5320,38143.7,0.446,"45_base"
2033,5359,38507.5,0.451,"45_base"
2034,5360,38773.5,0.454,"45_base"
2035,5355,38989.9,0.456,"45_base"
2036,5348,39183.4,0.458,"45_base"
2025,10669,55743.2,0.657,"45_high"
2026,9824,49923.8,0.588,"45_high"
2027,4238,45051.5,0.531,"45_high"
2028,4349,44117.2,0.52,"45_high"
2029,4677,44146.1,0.52,"45_high"
2030,5004,44694.4,0.527,"45_high"
2031,5213,45349.6,0.534,"45_high"
2032,5320,45928.5,0.541,"45_high"
2033,5359,46410,0.547,"45_high"
2034,5360,46826.1,0.552,"45_high"
2035,5355,47206.9,0.556,"45_high"
2036,5348,47563.6,0.56,"45_high"
2025,10669,34412.5,0.375,"40_low"
2026,9824,29166.1,0.318,"40_low"
2027,3957,24814.1,0.27,"40_low"
2028,4059,24414.2,0.266,"40_low"
2029,4360,24785.6,0.27,"40_low"
2030,4659,25471.8,0.277,"40_low"
2031,4852,26078.9,0.284,"40_low"
2032,4943,26440.3,0.288,"40_low"
2033,4971,26562.8,0.289,"40_low"
2034,4973,26524,0.289,"40_low"
2035,4956,26405.2,0.288,"40_low"
2036,4937,26270.7,0.286,"40_low"
2025,10669,46934.4,0.549,"40_base"
2026,9824,41475.4,0.485,"40_base"
2027,3957,36918,0.432,"40_base"
2028,4059,36361.5,0.425,"40_base"
2029,4360,36674.1,0.429,"40_base"
2030,4659,37429.3,0.438,"40_base"
2031,4852,38234.9,0.447,"40_base"
2032,4943,38912.4,0.455,"40_base"
2033,4971,39447.7,0.462,"40_base"
2034,4973,39883.2,0.467,"40_base"
2035,4956,40260,0.471,"40_base"
2036,4937,40611.2,0.475,"40_base"
2025,10669,55743.2,0.657,"40_high"
2026,9824,49923.8,0.588,"40_high"
2027,3957,45051.5,0.531,"40_high"
2028,4059,44260.1,0.522,"40_high"
2029,4360,44428.1,0.523,"40_high"
2030,4659,45122.7,0.532,"40_high"
2031,4852,45935.4,0.541,"40_high"
2032,4943,46675.3,0.55,"40_high"
2033,4971,47317.9,0.558,"40_high"
2034,4973,47890.8,0.564,"40_high"
2035,4956,48416.9,0.57,"40_high"
2036,4937,48913.2,0.576,"40_high"
