"yr","catch","OFL","dep","name"
2025,10669,3844.87,0.292,"45_low"
2026,9824,3162.72,0.251,"45_low"
2027,4596,2817.88,0.215,"45_low"
2028,4810,3079,0.213,"45_low"
2029,5137,3412.47,0.217,"45_low"
2030,5409,3666.01,0.223,"45_low"
2031,5545,3771.44,0.229,"45_low"
2032,5585,3753.26,0.232,"45_low"
2033,5572,3665.17,0.233,"45_low"
2034,5535,3557.19,0.231,"45_low"
2035,5504,3460.49,0.228,"45_low"
2036,5480,3385.87,0.224,"45_low"
2025,10669,6133.56,0.501,"45_base"
2026,9824,5339.74,0.456,"45_base"
2027,4596,4916.03,0.417,"45_base"
2028,4810,5171.87,0.415,"45_base"
2029,5137,5547.76,0.42,"45_base"
2030,5409,5866.4,0.429,"45_base"
2031,5545,6046.56,0.438,"45_base"
2032,5585,6116.89,0.445,"45_base"
2033,5572,6129.78,0.451,"45_base"
2034,5535,6122.88,0.455,"45_base"
2035,5504,6115.96,0.458,"45_base"
2036,5480,6115.62,0.461,"45_base"
2025,10669,7906.2,0.632,"45_high"
2026,9824,6985.33,0.585,"45_high"
2027,4596,6469.66,0.542,"45_high"
2028,4810,6691.98,0.538,"45_high"
2029,5137,7063.88,0.541,"45_high"
2030,5409,7385.94,0.548,"45_high"
2031,5545,7566.48,0.556,"45_high"
2032,5585,7638.72,0.563,"45_high"
2033,5572,7658.53,0.567,"45_high"
2034,5535,7660.95,0.571,"45_high"
2035,5504,7661.73,0.574,"45_high"
2036,5480,7665.15,0.576,"45_high"
