"yr","catch","SpawnBio","dep","name"
2025,10669,54904,0.317,"45_low"
2026,9824,48825.2,0.282,"45_low"
2027,4596,45639.9,0.264,"45_low"
2028,4810,48086.9,0.278,"45_low"
2029,5137,49984.2,0.289,"45_low"
2030,5409,51118.5,0.295,"45_low"
2031,5545,51344,0.297,"45_low"
2032,5585,50991.8,0.295,"45_low"
2033,5572,50324.9,0.291,"45_low"
2034,5535,49555.6,0.286,"45_low"
2035,5504,48816.6,0.282,"45_low"
2036,5480,48154.4,0.278,"45_low"
2025,10669,82549.9,0.529,"45_base"
2026,9824,76357.6,0.489,"45_base"
2027,4596,73426.9,0.471,"45_base"
2028,4810,76228.7,0.489,"45_base"
2029,5137,78501,0.503,"45_base"
2030,5409,80251.4,0.514,"45_base"
2031,5545,81388.9,0.522,"45_base"
2032,5585,82101.6,0.526,"45_base"
2033,5572,82560.5,0.529,"45_base"
2034,5535,82896.6,0.531,"45_base"
2035,5504,83191.8,0.533,"45_base"
2036,5480,83475.1,0.535,"45_base"
2025,10669,101480,0.655,"45_high"
2026,9824,94789.2,0.611,"45_high"
2027,4596,91645,0.591,"45_high"
2028,4810,94256.7,0.608,"45_high"
2029,5137,96264.9,0.621,"45_high"
2030,5409,97814.6,0.631,"45_high"
2031,5545,98851.3,0.638,"45_high"
2032,5585,99521.3,0.642,"45_high"
2033,5572,99970.8,0.645,"45_high"
2034,5535,100305,0.647,"45_high"
2035,5504,100589,0.649,"45_high"
2036,5480,100841,0.651,"45_high"
