"Year","Catch","Low Spawning Output","Low Fraction Unfished","Low OFL","Base Spawning Output","Base Fraction Unfished","Base OFL","High Spawning Output","High Fraction Unfished","High OFL"
2025,10669,7044,0.292,3845,10572,0.501,6134,12935,0.632,7906
2026,9824,6039,0.251,3163,9630,0.456,5340,11972,0.585,6985
2027,4596,5183,0.215,2818,8799,0.417,4916,11102,0.542,6470
2028,4810,5136,0.213,3079,8763,0.415,5172,11022,0.538,6692
2029,5137,5231,0.217,3412,8870,0.42,5548,11084,0.541,7064
2030,5409,5388,0.223,3666,9054,0.429,5866,11230,0.548,7386
2031,5545,5525,0.229,3771,9246,0.438,6047,11387,0.556,7566
2032,5585,5601,0.232,3753,9403,0.445,6117,11519,0.563,7639
2033,5572,5609,0.233,3665,9521,0.451,6130,11617,0.567,7659
2034,5535,5563,0.231,3557,9606,0.455,6123,11691,0.571,7661
2035,5504,5486,0.228,3460,9672,0.458,6116,11751,0.574,7662
2036,5480,5398,0.224,3386,9726,0.461,6116,11800,0.576,7665
