"","year","month","fleet","sex","part","Nsamp","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
"1",1985,7,1,1,1,85,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"2",1985,7,1,2,1,80,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"3",1986,7,1,1,1,7,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"4",1986,7,1,2,1,5,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"5",1987,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0
"6",1987,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0
"7",2004,7,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.257,0.144,0.082,0.245,0.115,0.05,0.064,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.257,0.144,0.082,0.245,0.115,0.05,0.064,0.042,0,0,0
"8",2005,7,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0.086,0.127,0.147,0.183,0.221,0.198,0.02,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0.086,0.127,0.147,0.183,0.221,0.198,0.02,0.008,0,0,0
"9",2006,7,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0.207,0.586,0.069,0.035,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0.207,0.586,0.069,0.035,0,0.069,0,0,0,0
"10",2007,7,1,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0.007,0.009,0,0.005,0.015,0.031,0.201,0.522,0.175,0.005,0.024,0.003,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.007,0.009,0,0.005,0.015,0.031,0.201,0.522,0.175,0.005,0.024,0.003,0,0.004
"11",2007,7,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0.205,0.284,0.307,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0.205,0.284,0.307,0.102,0,0
"12",2008,7,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0.093,0.114,0.051,0.11,0.054,0.147,0.182,0.128,0.052,0.038,0.024,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.114,0.051,0.11,0.054,0.147,0.182,0.128,0.052,0.038,0.024,0.006,0,0
"13",2008,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0.667,0,0,0,0,0
"14",2009,7,1,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.002,0.001,0.086,0.303,0.227,0.198,0.129,0.038,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.002,0.001,0.086,0.303,0.227,0.198,0.129,0.038,0.006,0.002,0,0
"15",2010,7,1,0,1,39,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0.002,0.003,0.018,0.142,0.084,0.318,0.363,0.03,0.035,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0.002,0.003,0.018,0.142,0.084,0.318,0.363,0.03,0.035,0,0
