"","year","month","fleet","sex","part","Nsamp","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
"1",1985,7,1,1,1,85,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"2",1985,7,1,2,1,80,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"3",1986,7,1,1,1,7,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"4",1986,7,1,2,1,5,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"5",1987,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0
"6",1987,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0
"7",2004,7,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.14,0.08,0.24,0.11,0.05,0.06,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.14,0.08,0.24,0.11,0.05,0.06,0.04,0,0,0
"8",2005,7,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0.13,0.15,0.18,0.22,0.2,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0.13,0.15,0.18,0.22,0.2,0.02,0.01,0,0,0
"9",2006,7,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.61,0.07,0.04,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.61,0.07,0.04,0,0.07,0,0,0,0
"10",2007,7,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.2,0.52,0.17,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.2,0.52,0.17,0,0.02,0,0,0
"11",2008,7,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0.09,0.11,0.05,0.11,0.05,0.15,0.18,0.13,0.05,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.11,0.05,0.11,0.05,0.15,0.18,0.13,0.05,0.04,0.02,0.01,0,0
"12",2009,7,1,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0.3,0.23,0.2,0.13,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0.3,0.23,0.2,0.13,0.04,0.01,0,0,0
"13",2010,7,1,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.14,0.09,0.29,0.34,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.14,0.09,0.29,0.34,0.04,0.03,0,0
"14",2011,7,1,0,1,14,0,0,0,0,0,0,0,0,0.03,0.24,0.17,0.15,0.04,0.03,0,0.01,0.01,0,0.13,0.1,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0,0.03,0.24,0.17,0.15,0.04,0.03,0,0.01,0.01,0,0.13,0.1,0.01,0.07,0,0,0
"15",2012,7,1,0,1,4,0,0,0,0,0,0.53,0,0,0.08,0,0.23,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.08,0,0.23,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0
