"Source","sex","median_intercept","SD","A","B"
"WCGBTS","female",9.63056581756323e-06,0.0801214201071737,9.66152690836755e-06,3.11633565242128
"WCGBTS","male",8.01756114438488e-06,0.0802222572813462,8.04340164753843e-06,3.17018358836799
"WCGBTS","all",1.00147878657581e-05,0.0860780678535467,1.0051958630507e-05,3.10715916129628
"ASHOP","female",1.93295044018651e-05,0.107987385816547,1.94425369455596e-05,2.92388923038043
"ASHOP","male",2.21916204227808e-05,0.0985019355121676,2.22995405438583e-05,2.88881840952624
"ASHOP","all",2.09344019831195e-05,0.103336755758708,2.10464747584719e-05,2.90356956696921
"Triennial","female",2.34382840578236e-05,0.0589728185241333,2.34790762681831e-05,2.88828177789431
"Triennial","male",7.5251031933419e-06,0.0770822154145952,7.54749226615304e-06,3.20612719457961
"Triennial","all",2.67414511271937e-05,0.0671640387257814,2.68018346505283e-05,2.85595487372091
"PacFIN","female",1.62761764286738e-05,0.123184292563,1.6400136448947e-05,2.98274258550575
"PacFIN","male",1.37928416704368e-05,0.126419311324211,1.39035007255411e-05,3.02769756367556
"PacFIN","all",1.53358719999838e-05,0.124710528243968,1.54555941275264e-05,2.99871724820982
"All","female",1.57724769272737e-05,0.119255966303953,1.58850346205151e-05,2.98733957464625
"All","male",1.44061601157882e-05,0.117963846520171,1.45067438653993e-05,3.01228824454837
"All","all",1.54827739267111e-05,0.118822786105974,1.5592460148288e-05,2.99245914145258
