"year","state","fleet","landings_mt"
1916,"CA","bottom trawl",6.2
1916,"CA","hook and line",71.8
1916,"CA","midwater trawl",0
1916,"CA","net",0
1916,"OR","bottom trawl",0
1916,"OR","hook and line",0.3
1916,"OR","midwater trawl",0
1916,"OR","net",0
1916,"WA","bottom trawl",0
1916,"WA","hook and line",0
1916,"WA","midwater trawl",0
1916,"WA","net",0
1917,"CA","bottom trawl",9.6
1917,"CA","hook and line",111.9
1917,"CA","midwater trawl",0
1917,"CA","net",0
1917,"OR","bottom trawl",0
1917,"OR","hook and line",0.3
1917,"OR","midwater trawl",0
1917,"OR","net",0
1917,"WA","bottom trawl",0
1917,"WA","hook and line",0
1917,"WA","midwater trawl",0
1917,"WA","net",0
1918,"CA","bottom trawl",11.2
1918,"CA","hook and line",128.5
1918,"CA","midwater trawl",0
1918,"CA","net",0
1918,"OR","bottom trawl",0
1918,"OR","hook and line",0.3
1918,"OR","midwater trawl",0
1918,"OR","net",0
1918,"WA","bottom trawl",0
1918,"WA","hook and line",0
1918,"WA","midwater trawl",0
1918,"WA","net",0
1919,"CA","bottom trawl",7.8
1919,"CA","hook and line",88.6
1919,"CA","midwater trawl",0
1919,"CA","net",0
1919,"OR","bottom trawl",0
1919,"OR","hook and line",0.3
1919,"OR","midwater trawl",0
1919,"OR","net",0
1919,"WA","bottom trawl",0
1919,"WA","hook and line",0
1919,"WA","midwater trawl",0
1919,"WA","net",0
1920,"CA","bottom trawl",8
1920,"CA","hook and line",90.7
1920,"CA","midwater trawl",0
1920,"CA","net",0
1920,"OR","bottom trawl",0
1920,"OR","hook and line",0.4
1920,"OR","midwater trawl",0
1920,"OR","net",0
1920,"WA","bottom trawl",0
1920,"WA","hook and line",0
1920,"WA","midwater trawl",0
1920,"WA","net",0
1921,"CA","bottom trawl",6.6
1921,"CA","hook and line",75.1
1921,"CA","midwater trawl",0
1921,"CA","net",0
1921,"OR","bottom trawl",0
1921,"OR","hook and line",0.4
1921,"OR","midwater trawl",0
1921,"OR","net",0
1921,"WA","bottom trawl",0
1921,"WA","hook and line",0
1921,"WA","midwater trawl",0
1921,"WA","net",0
1922,"CA","bottom trawl",5.7
1922,"CA","hook and line",65.2
1922,"CA","midwater trawl",0
1922,"CA","net",0
1922,"OR","bottom trawl",0
1922,"OR","hook and line",0.4
1922,"OR","midwater trawl",0
1922,"OR","net",0
1922,"WA","bottom trawl",0
1922,"WA","hook and line",0
1922,"WA","midwater trawl",0
1922,"WA","net",0
1923,"CA","bottom trawl",6.1
1923,"CA","hook and line",71.7
1923,"CA","midwater trawl",0
1923,"CA","net",0
1923,"OR","bottom trawl",0
1923,"OR","hook and line",0.4
1923,"OR","midwater trawl",0
1923,"OR","net",0
1923,"WA","bottom trawl",0
1923,"WA","hook and line",0
1923,"WA","midwater trawl",0
1923,"WA","net",0
1924,"CA","bottom trawl",3.6
1924,"CA","hook and line",46.2
1924,"CA","midwater trawl",0
1924,"CA","net",0
1924,"OR","bottom trawl",0
1924,"OR","hook and line",0.4
1924,"OR","midwater trawl",0
1924,"OR","net",0
1924,"WA","bottom trawl",0
1924,"WA","hook and line",0
1924,"WA","midwater trawl",0
