"year","sector","state","landings_mt"
1966,"at-sea","",3670
1966,"shoreside","CA",0
1966,"shoreside","OR",0
1966,"shoreside","WA",0
1967,"at-sea","",3902
1967,"shoreside","CA",0
1967,"shoreside","OR",0
1967,"shoreside","WA",0
1968,"at-sea","",1956
1968,"shoreside","CA",0
1968,"shoreside","OR",0
1968,"shoreside","WA",0
1969,"at-sea","",358
1969,"shoreside","CA",0
1969,"shoreside","OR",0
1969,"shoreside","WA",0
1970,"at-sea","",554
1970,"shoreside","CA",0
1970,"shoreside","OR",0
1970,"shoreside","WA",0
1971,"at-sea","",701
1971,"shoreside","CA",0
1971,"shoreside","OR",0
1971,"shoreside","WA",0
1972,"at-sea","",421
1972,"shoreside","CA",0
1972,"shoreside","OR",0
1972,"shoreside","WA",0
1973,"at-sea","",656
1973,"shoreside","CA",0
1973,"shoreside","OR",0
1973,"shoreside","WA",0
1974,"at-sea","",418
1974,"shoreside","CA",0
1974,"shoreside","OR",0
1974,"shoreside","WA",0
1975,"at-sea","",391.2
1975,"shoreside","CA",0
1975,"shoreside","OR",0
1975,"shoreside","WA",0
1976,"at-sea","",718.5
1976,"shoreside","CA",0
1976,"shoreside","OR",0
1976,"shoreside","WA",0
1977,"at-sea","",119.3
1977,"shoreside","CA",0
1977,"shoreside","OR",0
1977,"shoreside","WA",0
1978,"at-sea","",191.9
1978,"shoreside","CA",0
1978,"shoreside","OR",0
1978,"shoreside","WA",0
1979,"at-sea","",197.9
1979,"shoreside","CA",0
1979,"shoreside","OR",0
1979,"shoreside","WA",0
1980,"at-sea","",272
1980,"shoreside","CA",0
1980,"shoreside","OR",0
1980,"shoreside","WA",0
1981,"at-sea","",227.9
1981,"shoreside","CA",0
1981,"shoreside","OR",0
1981,"shoreside","WA",0
1982,"at-sea","",157.5
1982,"shoreside","CA",0
1982,"shoreside","OR",0
1982,"shoreside","WA",0
1983,"at-sea","",131.5
1983,"shoreside","CA",0
1983,"shoreside","OR",0
1983,"shoreside","WA",0
1984,"at-sea","",294.7
1984,"shoreside","CA",0
1984,"shoreside","OR",0
1984,"shoreside","WA",0
1985,"at-sea","",182.6
1985,"shoreside","CA",0
1985,"shoreside","OR",0
1985,"shoreside","WA",0
1986,"at-sea","",256.8
1986,"shoreside","CA",0
1986,"shoreside","OR",0
1986,"shoreside","WA",0
1987,"at-sea","",181.3
1987,"shoreside","CA",0
1987,"shoreside","OR",0
1987,"shoreside","WA",0
1988,"at-sea","",231.6
1988,"shoreside","CA",0
1988,"shoreside","OR",0
1988,"shoreside","WA",0
1989,"at-sea","",212
1989,"shoreside","CA",0
1989,"shoreside","OR",0
1989,"shoreside","WA",0
1990,"at-sea","",230.2
1990,"shoreside","CA",0
1990,"shoreside","OR",0
1990,"shoreside","WA",0
1991,"at-sea","",471.3
1991,"shoreside","CA",42.7
1991,"shoreside","OR",39
1991,"shoreside","WA",9.3
1992,"at-sea","",389.6
1992,"shoreside","CA",13.5
1992,"shoreside","OR",42.1
1992,"shoreside","WA",6.2
1993,"at-sea","",173.2
1993,"shoreside","CA",0.4
1993,"shoreside","OR",91.2
1993,"shoreside","WA",11
1994,"at-sea","",370.7
1994,"shoreside","CA",2.1
1994,"shoreside","OR",210.8
1994,"shoreside","WA",28.6
1995,"at-sea","",228.6
1995,"shoreside","CA",7.2
1995,"shoreside","OR",192.1
1995,"shoreside","WA",36.8
1996,"at-sea","",252.2
1996,"shoreside","CA",5.7
1996,"shoreside","OR",475.1
1996,"shoreside","WA",104.7
1997,"at-sea","",215.5
1997,"shoreside","CA",7.2
1997,"shoreside","OR",133.9
1997,"shoreside","WA",22.1
1998,"at-sea","",268.5
1998,"shoreside","CA",40.4
1998,"shoreside","OR",278
1998,"shoreside","WA",28.1
1999,"at-sea","",191.8
1999,"shoreside","CA",12.7
1999,"shoreside","OR",166.4
1999,"shoreside","WA",15.2
2000,"at-sea","",205.4
2000,"shoreside","CA",7.7
2000,"shoreside","OR",70.9
2000,"shoreside","WA",4.7
2001,"at-sea","",174
2001,"shoreside","CA",9.2
2001,"shoreside","OR",26.4
2001,"shoreside","WA",9
2002,"at-sea","",154.9
2002,"shoreside","CA",1.2
2002,"shoreside","OR",2.6
2002,"shoreside","WA",1.4
2003,"at-sea","",14.5
2003,"shoreside","CA",0.4
2003,"shoreside","OR",7.6
2003,"shoreside","WA",4.6
2004,"at-sea","",21.2
2004,"shoreside","CA",7.4
2004,"shoreside","OR",12.4
2004,"shoreside","WA",8.5
2005,"at-sea","",80.1
2005,"shoreside","CA",5.2
2005,"shoreside","OR",59.1
2005,"shoreside","WA",13.6
2006,"at-sea","",143
2006,"shoreside","CA",3.6
2006,"shoreside","OR",11.3
