Year,2025 Total (mt)
1889,0.002
1890,0.002
1891,0.003
1892,0.004
1893,0.000
1894,0.000
1895,0.000
1896,0.000
1897,0.000
1898,0.000
1899,0.001
1900,0.000
1901,0.000
1902,0.000
1903,0.000
1904,0.004
1905,0.000
1906,0.000
1907,0.000
1908,0.015
1909,0.000
1910,0.000
1911,0.000
1912,0.000
1913,0.000
1914,0.000
1915,0.010
1916,0.000
1917,0.000
1918,0.271
1919,0.092
1920,0.074
1921,0.068
1922,0.035
1923,0.045
1924,0.112
1925,0.146
1926,0.243
1927,0.327
1928,0.287
1929,0.350
1930,0.561
1931,0.741
1932,0.163
1933,0.123
1934,0.442
1935,0.281
1936,0.587
1937,0.136
1938,0.281
1939,0.212
1940,0.444
1941,0.986
1942,1.296
1943,4.182
1944,6.885
1945,17.213
1946,7.866
1947,6.106
1948,7.192
1949,6.282
1950,8.707
1951,11.088
1952,13.090
1953,6.530
1954,9.198
1955,8.885
1956,7.646
1957,7.692
1958,12.247
1959,11.522
1960,12.817
1961,12.167
1962,15.677
1963,12.478
1964,14.096
1965,12.307
1966,4.612
1967,5.222
1968,21.165
1969,23.132
1970,4.024
1971,12.517
1972,15.817
1973,35.033
1974,10.910
1975,14.611
1976,40.630
1977,202.246
1978,384.661
1979,2772.007
1980,7377.589
1981,7258.564
1982,6167.192
1983,3467.337
1984,1628.539
1985,1636.349
1986,2860.499
1987,3977.216
1988,3322.941
1989,3662.963
1990,2394.081
1991,1234.084
1992,987.971
1993,1764.919
1994,1069.432
1995,1080.594
1996,953.786
1997,1000.179
1998,525.014
1999,514.338
2000,387.203
2001,297.327
2002,63.596
2003,14.062
2004,29.865
2005,41.511
2006,44.812
2007,36.110
2008,50.620
2009,94.080
2010,64.018
2011,58.244
2012,72.868
2013,68.240
2014,105.337
2015,172.838
2016,65.018
