year,gear_group,landings_mt
1889,non-trawl,0.0019
1890,non-trawl,0.0032
1891,non-trawl,0.0038
1892,non-trawl,0.0003
1895,non-trawl,0.0007
1899,non-trawl,0.0037
1904,non-trawl,0.0154
1908,non-trawl,0.0099
1915,non-trawl,0.2711
1918,non-trawl,0.0919
1919,non-trawl,0.0735
1920,non-trawl,0.0682
1921,non-trawl,0.0349
1922,non-trawl,0.0453
1923,non-trawl,0.1122
1924,non-trawl,0.1464
1925,non-trawl,0.2426
1926,non-trawl,0.3274
1927,non-trawl,0.2871
1928,non-trawl,0.3503
1929,non-trawl,0.5608
1930,non-trawl,0.7414
1931,non-trawl,0.1633
1932,non-trawl,0.1231
1933,non-trawl,0.4264
1934,non-trawl,0.2154
1935,non-trawl,0.5786
1936,non-trawl,0.1225
1937,non-trawl,0.2402
1938,non-trawl,0.1372
1939,non-trawl,0.3385
1940,non-trawl,0.8711
1941,non-trawl,1.1355
1942,non-trawl,0.0928
1943,non-trawl,0.1907
1944,non-trawl,0.0864
1945,non-trawl,0.2081
1946,non-trawl,2.6258
1947,non-trawl,2.7503
1948,non-trawl,2.5688
1949,non-trawl,2.6464
1950,non-trawl,4.4852
1951,non-trawl,3.0146
1952,non-trawl,2.4726
1953,non-trawl,3.3586
1954,non-trawl,2.9013
1955,non-trawl,1.6328
1956,non-trawl,4.1903
1957,non-trawl,6.4085
1958,non-trawl,5.5461
1959,non-trawl,5.9088
1960,non-trawl,5.0513
1961,non-trawl,4.1973
1962,non-trawl,3.5282
1963,non-trawl,5.7425
1964,non-trawl,4.5958
1965,non-trawl,4.3966
1966,non-trawl,4.4141
1967,non-trawl,4.4848
1968,non-trawl,6.3755
1969,non-trawl,1.0248
1970,non-trawl,0.8405
1971,non-trawl,1.5302
1972,non-trawl,1.9504
1973,non-trawl,4.2255
1974,non-trawl,2.4577
1975,non-trawl,2.9918
1976,non-trawl,4.4627
1977,non-trawl,6.4356
1978,non-trawl,7.1291
1979,non-trawl,3.8906
1980,non-trawl,6.5704
1981,non-trawl,3.7315
1982,non-trawl,4.1335
1983,non-trawl,1.8982
1984,non-trawl,2.7746
1985,non-trawl,2.1081
1986,non-trawl,2.7653
1987,non-trawl,2.7631
1988,non-trawl,5.8288
1989,non-trawl,2.5664
1990,non-trawl,1.7914
1991,non-trawl,3.2755
1992,non-trawl,3.2219
1993,non-trawl,1.4680
1994,non-trawl,0.2000
1995,non-trawl,0.8373
1996,non-trawl,0.1864
1997,non-trawl,0.3664
1998,non-trawl,0.3203
1999,non-trawl,0.2023
2000,non-trawl,0.0454
2001,non-trawl,0.0113
2002,non-trawl,0.0032
2003,non-trawl,0.0667
2005,non-trawl,0.0222
2006,non-trawl,0.0077
2007,non-trawl,0.0109
2008,non-trawl,0.0277
2010,non-trawl,0.0304
2011,non-trawl,0.0562
2012,non-trawl,0.0835
2013,non-trawl,0.0349
2014,non-trawl,1.3268
2015,non-trawl,0.0286
2016,non-trawl,0.0286
1934,trawl,0.015255206
1935,trawl,0.065883331
1936,trawl,0.008491242
1937,trawl,0.013745652
1938,trawl,0.040525724
1939,trawl,0.074766477
1940,trawl,0.105944576
1941,trawl,0.114943842
1942,trawl,0.160869124
1943,trawl,4.089125784
1944,trawl,6.694112986
1945,trawl,17.12696485
1946,trawl,7.657860416
1947,trawl,3.480265468
1948,trawl,4.441353543
1949,trawl,3.712970357
1950,trawl,6.060240229
1951,trawl,6.602419835
1952,trawl,10.0749969
1953,trawl,4.057856349
1954,trawl,5.839502494
1955,trawl,5.984188726
1956,trawl,6.013296858
1957,trawl,3.501450873
1958,trawl,5.838839932
1959,trawl,5.976203329
1960,trawl,6.908269708
1961,trawl,7.115502149
1962,trawl,11.47998547
1963,trawl,8.949784698
1964,trawl,8.353957223
1965,trawl,7.711268389
1966,trawl,0.215305154
1967,trawl,0.807947646
1968,trawl,16.68008755
1969,trawl,16.7566915
1970,trawl,2.99905333
1971,trawl,11.67645613
1972,trawl,14.28638406
1973,trawl,33.08290446
1974,trawl,6.684682414
1975,trawl,12.15314789
1976,trawl,37.63820465
1977,trawl,197.7837813
1978,trawl,378.2252131
1979,trawl,2764.878016
1980,trawl,7373.698562
1981,trawl,7251.993592
1982,trawl,6163.46039
1983,trawl,3463.203185
1984,trawl,1626.640639
1985,trawl,1633.573862
1986,trawl,2858.39114
1987,trawl,3974.450867
1988,trawl,3320.17748
1989,trawl,3657.13442
1990,trawl,2391.514318
1991,trawl,1232.292511
1992,trawl,984.6954748
1993,trawl,1761.69677
1994,trawl,1067.963639
1995,trawl,1080.394447
1996,trawl,952.9487364
1997,trawl,999.9930699
1998,trawl,524.6479311
1999,trawl,514.0180321
2000,trawl,387.0010623
2001,trawl,297.281525
2002,trawl,63.58475499
2003,trawl,14.05908404
2004,trawl,29.86487966
2005,trawl,41.44471506
2006,trawl,44.78989795
2007,trawl,36.10184087
2008,trawl,50.60913069
2009,trawl,94.0804239
2010,trawl,63.99049272
2011,trawl,58.21354369
2012,trawl,72.81189332
2013,trawl,68.15631743
2014,trawl,105.3021532
2015,trawl,171.5107698
2016,trawl,64.98931065
