"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2004,"Month","bottomtrawl-coastwide",0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170667880304927,25.6961827284105,14.4427693708044,8.17072476959836,24.47946296507,11.4987484355444,5.00270224143816,6.35737854135852,4.1813630674707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"Month","bottomtrawl-coastwide",0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0.932169844697192,0.141595419447675,8.5924820368164,12.7017833883586,14.6645656074642,18.2626955960255,22.0636005375073,19.7667205548954,2.02481449810175,0.849572516686048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Month","bottomtrawl-coastwide",0,1,7,0,0,0,0,0,0,0,0,0,0,0,3.45224395857307,0,0,0,20.7134637514384,58.5730724971231,6.90448791714614,3.45224395857307,0,6.90448791714614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","bottomtrawl-coastwide",0,1,43,0,0,0,0,0,0,0,0,0,0,0,0.685413172055898,0.945914667868471,0,0.547723885207035,1.46592363904585,3.07076295262928,20.0729058533931,52.1717206482416,17.4785903286694,0.496889979472938,2.39991406968812,0.283937131127393,0,0.380303672600932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","hook-and-line-coastwide",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2286773794808,0,0,0,20.4573547589617,28.3992583436341,30.6860321384425,10.2286773794808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","bottomtrawl-coastwide",0,1,44,0,0,0,0,0,0,0,0,0,0,0,9.30567927988634,11.4484343772286,5.1426122336214,10.9586617835504,5.38749853046052,14.6754855042285,18.1957260212908,12.8082274908302,5.15553071460793,3.84250349354068,2.4335575748387,0.646082995915961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","hook-and-line-coastwide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Month","bottomtrawl-coastwide",0,1,87,0,0,0,0,0,0,0,0.0464118358124001,0,0,0,0.621299775408662,0,0.210179313607583,0.1392355074372,8.62276932430325,30.306526750626,22.6693028764176,19.8192705834863,12.9222733904672,3.80731759781055,0.640483334211121,0.19492971041208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Month","bottomtrawl-coastwide",0,1,39,0,0,0,0,0,0.0717354770344536,0,0,0,0,0,0,0,0.380198028282604,0.208032883399915,0.337156742061932,1.7551280047763,14.2426283878785,8.43609209925174,31.7572956831526,36.305324927137,3.04875777396428,3.45764999306066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Month","hook-and-line-coastwide",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.377581120944,0,51.622418879056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Month","bottomtrawl-coastwide",0,1,17,0,0,0,0,0,0,0,0,2.6027397260274,24.2465753424658,17.2602739726027,14.7945205479452,4.10958904109589,2.73972602739726,0,1.36986301369863,1.36986301369863,0,12.8767123287671,10.1369863013699,1.36986301369863,7.12328767123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Month","bottomtrawl-coastwide",0,1,5,0,0,0,0,0,53.125,0,0,7.8125,0,23.4375,7.8125,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Month","bottomtrawl-coastwide",0,1,22,0,0,0,0,0,0,0.0913520097442144,0.931790499390986,3.51705237515225,5.4537149817296,46.7113276492083,25.4141291108404,15.7856272838002,1.92752740560292,0.0152253349573691,0,0.0304506699147381,0,0,0.0609013398294762,0.0609013398294762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Month","midwaterhake-coastwide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Month","bottomtrawl-coastwide",0,1,25,0,0,0,0,0,2.50794772165313,3.53232073472271,0,5.65171317555634,5.36912751677852,16.955139526669,20.2048746026139,13.5641116213352,7.91239844577888,15.6835040621688,1.41292829388909,4.38007771105616,2.11939244083363,0.706464146944543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Month","hook-and-line-coastwide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Month","midwaterhake-coastwide",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1387283236994,28.3236994219653,20.2312138728324,20.8092485549133,4.04624277456647,6.35838150289017,4.04624277456647,0,4.04624277456647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Month","bottomtrawl-coastwide",0,1,4,0,0,0,0,0,0,0,0,0,3.125,39.0625,18.75,37.5,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Month","hook-and-line-coastwide",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8846153846154,24.0384615384615,48.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","bottomtrawl-coastwide",0,1,15,0,0,0,0,0,0,0,3.125,6.25,3.125,12.5,15.625,31.25,0,6.25,3.125,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","hook-and-line-coastwide",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0210700579937,3.9267978095497,7.36461672684116,9.81911179705852,43.5353762825456,7.85701171114773,10.4760156148636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","midwaterrockfish-coastwide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Month","bottomtrawl-coastwide",0,1,8,0,0,0,0,0,0,1.61143950848955,0,0.63130764276815,39.7814269253283,46.5535650236204,5.6441909490343,5.14676230799119,0,0,0,0,0,0.63130764276815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Month","hook-and-line-coastwide",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16889779581,30.2533466937151,0,29.8341055597572,10.084448897905,9.65920105281264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","bottomtrawl-coastwide",0,1,5,0,0,0,0,0,0,0,14.2857142857143,0,0,0,71.4285714285714,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","hook-and-line-coastwide",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75068527875942,7.09951142050889,3.75068527875942,16.3223371838813,29.1766780246923,8.77493928718416,8.77493928718416,22.3502242390303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","midwaterhake-coastwide",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421817038927096,44.5368490267192,27.5206669671768,0,27.5206669671768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","midwaterrockfish-coastwide",0,1,18,0,0,0,0,0,0,0,0,0,2.19047619047619,0.476190476190476,5.53968253968254,36.9285714285714,25.4444444444444,11.3333333333333,9.83333333333333,2.80952380952381,1.14285714285714,1.77777777777778,1.85714285714286,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Month","bottomtrawl-coastwide",0,1,17,0,0,0,0,0,0,0,0.248160808991357,19.2895788605345,73.3191217500954,3.86838908133586,1.6495394950602,0.291953892931008,0.12164745538792,1.13862018243093,0,0.0729884732327521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Month","hook-and-line-coastwide",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,37.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Month","midwaterrockfish-coastwide",0,1,46,0,0,0,0,0,0,0,0,0,0,2.24148606811146,8.85448916408669,16.594427244582,33.3374613003096,31.1702786377709,3.29411764705882,1.60990712074303,2.08049535603715,0.346749226006192,0.198142414860681,0.272445820433437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Month","bottomtrawl-coastwide",0,1,19,0,0,0,0,0,0,0.448585528081731,0,0,8.25397371670385,14.0016566765124,27.2193473102637,20.4203559588881,8.99642853971259,6.84321800492029,4.30642106958462,4.75500659766635,4.30642106958462,0,0.448585528081731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Month","bottomtrawl-coastwide",0,1,19,0,0,0,0,0,0,5.56428768575953,0,8.34643152863929,3.97449120411395,3.97449120411395,25.4782899228635,17.8852104185128,9.93622801028487,0,7.94898240822789,10.9298508113134,5.96173680617092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Month","bottomtrawl-coastwide",0,1,16,0,0,0,0,0,0,0,7.69230769230769,0,3.84615384615385,13.4615384615385,18.8461538461538,22.3076923076923,14.6153846153846,0,1.92307692307692,11.5384615384615,3.84615384615385,0,1.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Month","hook-and-line-coastwide",0,1,7,0,0,0,0,0,12.5,0,0,12.5,25,12.5,12.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Month","bottomtrawl-coastwide",0,1,24,0,0,0,0,0,0,1.0989010989011,1.0989010989011,0,10.989010989011,15.3846153846154,19.7802197802198,21.978021978022,3.2967032967033,4.3956043956044,14.2857142857143,6.59340659340659,1.0989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
