"year","fleet","catch_shares","n_obs","n_hauls","n_trips","n_vessels","observed_discard_mt","observed_retained_mt","discard_rate"
2011,"bottomtrawl-coastwide",TRUE,260244,9525,1229,84,0.151465118388823,25.8135952059619,0.006
2011,"hook-and-line-coastwide",TRUE,20853,1825,462,106,0.00299374036106323,0,1
2011,"midwaterhake-coastwide",TRUE,16319,1718,929,27,11.799237956999,111.275061235598,0.096
2012,"bottomtrawl-coastwide",TRUE,259351,9154,1152,74,0.0246031026036469,74.4539000384438,0
2012,"midwaterhake-coastwide",TRUE,22987,1602,744,24,0.0476276875623696,107.355499777039,0
2012,"midwaterrockfish-coastwide",TRUE,807,48,12,6,0,13.3262443407239,0
2013,"bottomtrawl-coastwide",TRUE,301374,10217,1254,73,4.85700807402703,98.8948133131336,0.047
2013,"hook-and-line-coastwide",TRUE,8586,846,234,61,0.00107048897759231,0.0527533339381294,0.02
2013,"midwaterhake-coastwide",TRUE,17710,1735,960,24,0.910233148870543,191.604770784038,0.005
2013,"midwaterrockfish-coastwide",TRUE,641,79,26,8,0.00197314705615531,167.183589177211,0
2014,"bottomtrawl-coastwide",TRUE,246271,8458,1083,71,0.170062596389368,102.699563535441,0.002
2014,"hook-and-line-coastwide",TRUE,10423,898,221,63,0.00658622879433911,0.401886963621519,0.016
2014,"midwaterhake-coastwide",TRUE,19403,1726,996,25,4.18935407783725,300.119579423333,0.014
2014,"midwaterrockfish-coastwide",TRUE,1045,133,34,9,0.0136079107321056,298.271834914669,0
2015,"bottomtrawl-coastwide",TRUE,237565,8003,1036,73,0.0886467881889546,23.4085379355388,0.004
2015,"midwaterhake-coastwide",TRUE,38151,1468,587,22,0.22467943458799,323.202033501043,0.001
2015,"midwaterrockfish-coastwide",TRUE,2288,228,69,15,0.87947495160035,479.183507095378,0.002
2016,"bottomtrawl-coastwide",TRUE,226496,7855,1044,75,0.0472648099428468,12.5881742620614,0.004
2016,"midwaterhake-coastwide",TRUE,30324,1619,742,24,3.05592003868877,237.367982140969,0.013
2016,"midwaterrockfish-coastwide",TRUE,1457,123,46,10,1.56147056783658,587.295946239844,0.003
2017,"bottomtrawl-coastwide",TRUE,229270,8017,1165,86,0.526880521050132,66.6112769902609,0.008
2017,"midwaterhake-coastwide",TRUE,52780,2314,1232,26,3.64992907950403,969.405264026422,0.004
2017,"midwaterrockfish-coastwide",TRUE,3862,369,191,21,9.74750312733515,4847.61733326257,0.002
2018,"bottomtrawl-coastwide",TRUE,204457,7343,1085,79,0.0142644127373909,43.2980283661107,0
2018,"hook-and-line-coastwide",TRUE,17913,1234,270,89,0,0.00272158214642112,0
2018,"midwaterhake-coastwide",TRUE,55041,2093,1116,28,1.01299452942267,867.364041904645,0.001
2018,"midwaterrockfish-coastwide",TRUE,6670,545,306,25,37.2343679474164,9386.7764112305,0.004
2019,"bottomtrawl-coastwide",TRUE,197551,6868,1056,78,0.783155568119869,72.1936385997913,0.011
2019,"midwaterhake-coastwide",TRUE,65523,2357,1230,27,4.37982399977649,900.976026255851,0.005
2019,"midwaterrockfish-coastwide",TRUE,7268,542,286,28,18.7848225363228,8355.78636382843,0.002
2020,"bottomtrawl-coastwide",TRUE,144898,4812,751,67,0.276274517635417,140.515860867929,0.002
2020,"midwaterhake-coastwide",TRUE,60299,2763,1233,28,7.07310992865695,677.279682292866,0.01
2020,"midwaterrockfish-coastwide",TRUE,5461,385,216,31,45.4411242642106,7454.86995921848,0.006
2021,"bottomtrawl-coastwide",TRUE,155336,5084,830,67,0.144010801175155,206.373674405032,0.001
2021,"midwaterhake-coastwide",TRUE,51986,2013,1013,25,2.69498890909933,502.245684102731,0.005
2021,"midwaterrockfish-coastwide",TRUE,6604,448,268,27,36.3849337031524,10025.3873772976,0.004
2022,"bottomtrawl-coastwide",TRUE,180345,5589,888,76,0.0749988566902282,206.46165695406,0
2022,"midwaterhake-coastwide",TRUE,65192,1949,891,26,3.45649875681749,934.029526679783,0.004
2022,"midwaterrockfish-coastwide",TRUE,8597,595,313,29,47.5985649939736,10814.3514958933,0.004
2023,"bottomtrawl-coastwide",TRUE,179139,5399,870,67,0.118423409608306,132.991397278716,0.001
2023,"midwaterhake-coastwide",TRUE,45544,1725,860,27,7.35890205564202,486.372129032564,0.015
2023,"midwaterrockfish-coastwide",TRUE,6962,497,310,27,17.3709015598407,10209.6184228367,0.002
