"year","fleet","n_obs","n_hauls","n_trips","n_vessels","n_boot","obs_discard","obs_retained","obs_ratio","median_discard","sd_discard","median_ratio","sd_ratio"
2002,"bottomtrawl-coastwide",374,360,100,54,10000,0.371681937766488,0.461234779843349,0.446241418749617,0.369933321237413,0.0737626503512061,0.447322496685046,0.0852618298074259
2003,"bottomtrawl-coastwide",37,36,15,12,10000,0.201510478091264,0.141522271613898,0.587438016528926,0.199120021772657,0.0876743811253302,0.592488064779891,0.206988708640678
2004,"bottomtrawl-coastwide",107,106,42,29,10000,1.12832259820376,0.568218270586408,0.665072453579255,1.08986664247483,0.525904244089464,0.678940603507566,0.175093288896867
2005,"bottomtrawl-coastwide",363,341,63,27,10000,0.936301369863014,0.959886244378655,0.493780975485099,0.865351991290937,0.51488121595069,0.486734498247268,0.241251096489039
2006,"bottomtrawl-coastwide",183,178,37,20,10000,0.131656536333122,1.71477166562095,0.0713033608313552,0.131166651546766,0.0122085608697146,0.0710084307237833,0.105004294109779
2007,"bottomtrawl-coastwide",258,255,59,34,10000,1.67324684750068,0.463343686479648,0.783138753490371,1.65481493241404,1.40625880163586,0.771892721096831,0.205423114143194
2007,"hook-and-line-coastwide",5,5,4,4,10000,0.015975687199492,0.00190057153225075,0.893681806648059,0.015975687199492,0.00507293277379575,0.893681806648059,0.141815430403493
2008,"bottomtrawl-coastwide",417,398,64,34,10000,0.733783906377574,0.369361300252547,0.665174359610491,0.699675678127551,0.371565390811781,0.665498901919703,0.10715932145195
2008,"hook-and-line-coastwide",5,4,4,4,10000,0.0116665154676585,0.0099609906559013,0.539429530201342,0.0116665154676585,0.00329726911315924,0.539429530201342,0.201595640322771
2009,"bottomtrawl-coastwide",659,636,116,54,10000,6.17782364147691,1.12800569039045,0.84560196534154,5.96223351174816,2.7001900136681,0.843255622757089,0.0698971062207336
2010,"bottomtrawl-coastwide",379,374,66,37,10000,4.48555293477275,0.727984953810109,0.860366421158207,4.31245123831988,3.34217955940922,0.850004930059248,0.165830108505742
2010,"hook-and-line-coastwide",6,6,5,5,10000,0.00796516374852581,0.00313889140887236,0.717320261437909,0.00796516374852581,0,0.717320261437908,0
2011,"hook-and-line-coastwide",7,5,4,4,10000,0.0081057788260909,0.0196226072756963,0.292327825944708,0.0081057788260909,0,0.292327825944708,0.0607103672775049
2012,"hook-and-line-coastwide",4,4,4,3,10000,0.000884514197586864,0.0124058786174363,0.0665529010238908,0.000884514197586864,0,0.0665529010238908,0
2014,"hook-and-line-coastwide",6,6,5,4,10000,0.00213190601469654,0.0190510750249478,0.100642398286938,0.00213190601469654,0,0.100642398286938,0
2015,"hook-and-line-coastwide",16,12,7,5,10000,0.0548217363694094,0.0542275242674408,0.502724512291502,0.0548217363694094,0.0306119534388797,0.502724512291502,0.154006781539912
2016,"hook-and-line-coastwide",59,55,11,8,10000,0.187934319150866,0.0628685475823279,0.749330825435868,0.187934319150866,0.0296269872585121,0.749330825435868,0.0307959522279501
2017,"hook-and-line-coastwide",24,22,10,7,10000,0.037371858840606,0.0778916810305724,0.324229664318602,0.037371858840606,0.0175684333382194,0.330737425233832,0.192710812161772
2018,"hook-and-line-coastwide",27,27,13,8,10000,0.138111221990384,0.0627097886237866,0.687732929776613,0.136251474190329,0.0831512888990081,0.680142580750577,0.208646405985747
2019,"hook-and-line-coastwide",25,25,8,6,10000,0.0122244398076749,0.0644218452326953,0.159491615297939,0.0122244398076749,0,0.159491615297939,0
2021,"hook-and-line-coastwide",11,11,6,5,10000,0,0.248797967885331,0,0,0,0,0
2022,"hook-and-line-coastwide",46,36,36,11,10000,0.0267803683207838,0.420597840878164,0.0598606900607326,0.0267803683207838,0.0146518753805348,0.0598606900607326,0.0797726831505227
2023,"hook-and-line-coastwide",74,71,21,10,10000,0.00214551392542865,0.440320994265808,0.00484898604913469,0.00214551392542865,0.00138979127922903,0.00484898604913469,0.00275514266896187
