"Year","Number of positive tows, Tri","Number of positive tows, NW","Number of tows with lengths, Tri","Number of tows with lengths, NW","Number of lengths, Tri","Number of lengths, NW","Number of twos with ages, Tri","Number of tows with ages, NW","Number of ages, Tri","Number of ages, NW"
1977,"80","","1","","9","","","","",""
1978,"","","","","","","","","",""
1979,"","","","","","","","","",""
1980,"38","","3","","166","","1","","22",""
1981,"","","","","","","","","",""
1982,"","","","","","","","","",""
1983,"70","","5","","385","","","","",""
1984,"","","","","","","","","",""
1985,"","","","","","","","","",""
1986,"46","","8","","317","","","","",""
1987,"","","","","","","","","",""
1988,"","","","","","","","","",""
1989,"38","","20","","713","","","","",""
1990,"","","","","","","","","",""
1991,"","","","","","","","","",""
1992,"50","","10","","708","","","","",""
1993,"","","","","","","","","",""
1994,"","","","","","","","","",""
1995,"43","","43","","500","","","","",""
1996,"","","","","","","","","",""
1997,"","","","","","","","","",""
1998,"59","","58","","738","","","","",""
1999,"","","","","","","","","",""
2000,"","","","","","","","","",""
2001,"28","","28","","130","","","","",""
2002,"","","","","","","","","",""
2003,"","20","","18","","216","","","",""
2004,"36","12","33","12","219","84","","12","","43"
2005,"","20","","20","","78","","18","","65"
2006,"","26","","26","","172","","26","","89"
2007,"","27","","27","","92","","27","","83"
2008,"","17","","17","","26","","15","","20"
2009,"","31","","31","","141","","31","","123"
2010,"","28","","28","","240","","28","","116"
2011,"","31","","31","","313","","31","","152"
2012,"","32","","32","","181","","32","","91"
2013,"","18","","18","","364","","18","","246"
2014,"","29","","28","","349","","28","","264"
2015,"","21","","21","","149","","21","","93"
2016,"","40","","40","","888","","40","","556"
2017,"","30","","30","","310","","30","","213"
2018,"","34","","34","","410","","34","","353"
2019,"","23","","23","","219","","23","","161"
2020,"","","","","","","","","",""
2021,"","18","","17","","66","","17","","66"
2022,"","18","","18","","125","","18","","109"
2023,"","30","","29","","159","","29","","110"
2024,"","35","","35","","485","","35","","347"
