"Fleet","Composition data type","Log(Mean effN), 2025 base model","Log(Mean effN), Francis","Base model (McAllister Ianelli) weighting","Francis weighting"
"BottomTrawl","Length",4.36494914082628,4.36732534838348,0.05065,0.047336
"Hake","Length",5.03119580406144,4.96303342362613,0.027593,0.022136
"HnL","Length",3.10742122237047,3.07655160265594,0.163975,0.151737
"MidwaterTrawl","Length",5.09926868823787,4.91106538785923,0.043474,0.037357
"Net","Length",3.84433713658386,3.86574867389616,0.117189,0.12359
"Triennial","Length",3.22291963762522,3.19682651567123,0.092958,0.092528
"WCGBTS","Length",3.82279608502466,3.76715213467486,0.101256,0.09104
"BottomTrawl","Age",4.50847865255399,4.65798082862033,0.208474,0.237723
"Hake","Age",4.41364157404313,4.48368819261485,0.182336,0.219824
"HnL","Age",1.97820584059896,2.01037947137013,0.527511,0.526337
"MidwaterTrawl","Age",4.43492145842838,4.46452555415719,0.130392,0.128981
"Net","Age",3.53183667954278,3.57050124137481,0.185949,0.210475
"WCGBTS","Age",2.40922179398085,2.01764858137171,0.122436,0.119538
