"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40"
2003,8.8,-8,3,0,1,-1,-1,6,0,0,0,0,0,0,0,0,0,19.85,0,0,0,0,1.3,1.3,0,1.18,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,16.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,8.8,-8,3,0,1,-1,-1,15,0,0,0.05,0,0.46,2.29,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.41,14.66,0.74,8.23,8.23,0,14.43,12.13,0,0,0,14.86,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8.8,-8,3,0,1,-1,-1,24,0,0,0,0,0,4.54,2.92,0.17,0.12,3.73,5.45,3.59,2.72,3.26,2.84,4.11,4.23,0,0,3.73,0,2.75,4.11,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,4.84,11.28,2.29,0,7.51,1.82,4.28,5.06,6.25,4.11,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8.8,-8,3,0,1,-1,-1,32,0,0,0,0,0,3.86,9.42,4.42,5.91,2.23,0.55,1.36,3.65,6.15,0,2.45,5.13,0.41,0.46,1.99,0.55,0,0,0.33,0.55,0.92,0,0.92,0,0.46,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,3.86,4.24,2.75,6.59,7.39,2.26,0.55,0.55,3.1,1.53,1.43,1.96,3.94,0,0,0,3.94,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,8.8,-8,3,0,1,-1,-1,32,0,0,0,0,0,1.69,1.38,3.4,9.15,5.53,8.29,3.32,3.46,2.67,2.17,2.65,1.23,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,1.41,3.28,15.43,6.21,3.23,6.84,1.23,2.43,2.25,0,5.84,1,0,1,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,8.8,-8,3,0,1,-1,-1,18,0,0,0,0,0,0,0,0,4.22,11.2,0,0,0,4.57,0,6.66,0,5.26,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,10.43,5.96,0,0,3.01,8.88,15.82,0,5.64,5.64,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,8.8,-8,3,0,2,-1,-1,40,0,0,0,0,0,10,0.92,3.17,4,5.83,3.58,4.1,5.02,1.51,3.35,1.8,2.26,3.66,2.57,2.38,1.41,0.71,0.75,0.93,0.57,0.93,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,2.87,2.08,0.92,3.17,7.41,3.99,1.55,1.5,2.58,2.14,2.21,0,0.58,0,0,0,0,0,0.75,0,0.83,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,8.8,-8,3,0,2,-1,-1,36,0,0,0.79,0.2,0.2,0,0.88,0.27,0,3.89,10.15,19.9,4.58,7.18,4.57,1.14,0.52,0.15,1.14,3.42,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.2,0.2,0,0.44,3.8,0,4.25,5.3,6.09,0.76,6.72,2.68,0.78,0.88,0.1,3.69,0.18,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8.8,-8,3,0,1,-1,-1,41,0,0,0,0.98,0,1.85,0,8.66,2.01,2.4,3.02,4.45,1.79,2.76,1.96,0.49,0.61,1.89,2.87,0.68,0.49,0,0.68,0,2.88,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,1.39,0.06,8.29,1.41,1.12,8.66,14.12,5.43,1.51,1.04,4.93,4.24,0.75,0,0.98,1.47,0.73,0,0.06,0.07,0,0.98,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
2012,8.8,-8,3,0,1,-1,-1,38,0,0,0,0,16.87,0,0.18,1.2,5.96,0.22,4.07,0.95,5.65,1.45,0,1.38,6.84,1.56,0,0,1.63,2.54,3,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,11.23,5.07,2.28,2.01,3.78,0,0.85,0,3.08,3.95,0,0.72,5.02,2.28,0,0,0.8,0,0,0.68,0,0,0,0,0,0,0,0,0.68,0,0.17,0,0,0,0,0,0
2013,8.8,-8,3,0,1,-1,-1,35,0.03,0,0,7.37,6.24,15.6,1.56,1.73,0,0.06,0.59,0.11,2.18,2.71,1.68,1.68,0.24,0.42,0,0.42,0.42,1.26,0.42,0.89,0.84,0,0,0.24,0,0.42,0.42,0.42,0,0,0,0,0,0,0,0,0,0.03,0,0.12,10.37,4.6,9.98,8.47,0.58,4.54,0.16,0.15,0.35,1.73,0.58,0.84,2.41,1.73,0.42,2.65,0.24,0.59,0,1.26,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0
2014,8.8,-8,3,0,1,-1,-1,46,0,0,0,0,3.85,0.37,13.89,1.72,6.02,1.56,1.06,1.49,2.78,0.46,2.87,2.62,0.9,0,1.46,0.32,0,0,0,0,0,0,0.23,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.14,27.96,5.24,4.25,1.2,1.84,1.58,2.29,1.22,0.63,2.08,0.59,0.89,0.26,0.69,0,0.13,0,0.28,0,0.13,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0
2015,8.8,-8,3,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.8,-8,3,0,1,-1,-1,5,0,0,0,0,0,0,1,1,1,2,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.8,-8,3,0,1,-1,-1,6,0,0,0,0,1,0,0,0,0,1,0,2.14,1.14,4.55,2.27,0,0,2.27,2.27,0,0,0,1.14,1.14,0,0,0,0,0,1.14,1.14,0,0,0,1.14,0,0,0,0,1.14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8.8,-8,3,0,1,-1,-1,8,0,0,0,0,0,0,1.11,0,0,0,0,2.12,2.21,1.22,0,1,0,0,0,1.22,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
