"Year","BottomTrawl (mt)","MidwaterTrawl (mt)","Hake (mt)","Net (mt)","HnL (mt)","Total Landings (mt)","Total Dead (mt)"
1916,6.2,0,0,0,72.11,78.31,79.10383
1917,9.63,0,0,0,112.22,121.85,123.08527
1918,11.23,0,0,0,128.84,140.07,141.4904
1919,7.8,0,0,0,88.9,96.7,97.68029
1920,7.96,0,0,0,91.01,98.97,99.9733
1921,6.58,0,0,0,75.48,82.06,82.89186
1922,5.66,0,0,0,65.58,71.24,71.96217
1923,6.14,0,0,0,72.1,78.24,79.03312
1924,3.62,0,0,0,46.64,50.26,50.76957
1925,3.06,0,0,0,59.17,62.23,62.86091
1926,8.68,0,0,0,85.96,94.64,95.59938
1927,11.74,0,0,0,66.81,78.55,79.3461
1928,16.6,0,0,0,72.8,89.4,90.3059
1929,23.36,0,0,0,63.4,86.76,87.6389
1930,20.8,0,0,0,91.56,112.36,113.4986
1931,20.39,0,0,0,79.52,99.91,100.9224
1932,22.13,0,0,0,77.96,100.09,101.1041
1933,34.53,0,0,0,51.34,85.87,86.7394
1934,30.69,0,0,0,60.23,90.92,91.8408
1935,29.76,0,0,0,68.36,98.12,99.1138
1936,25.17,0,0,0,85.48,110.65,111.771
1937,35.89,0,0,0,67.63,103.52,104.5683
1938,33.27,0,0,0,50.56,83.83,84.6788
1939,41.69,0,0,0,34.89,76.58,77.3549
1940,75.27,0,0,0,45.37,120.64,121.8604
1941,93.58,0,0,0,35.94,129.52,130.8298
1942,133.37,0,0,0,13.27,146.64,148.1216
1943,468.72,0,0,0,21.91,490.63,495.5872
1944,921.32,0,0,0,39.37,960.69,970.3952
1945,1553.45,0,0,0,67.92,1621.37,1637.7488
1946,1089.08,0,0,0,70.98,1160.06,1171.7798
1947,551.2,0,0,0,92.01,643.21,649.711
1948,436.8,0,0,0,40.86,477.66,482.4863
1949,329.83,0,0,0,44.52,374.35,378.1335
1950,359.46,0,0,0,64.15,423.61,427.8915
1951,504.25,0,0,0,49.69,553.94,559.5369
1952,501.06,0,0,0,40.42,541.48,546.9509
1953,455.27,0,0,0,14.03,469.3,474.0413
1954,426.22,0,0,0,21.71,447.93,452.4552
1955,446.34,0,0,0,18.65,464.99,469.6871
1956,558.84,0,0,0,42.04,600.88,606.9513
1957,722.76,0,0,0,37.97,760.73,768.416
1958,664.89,0,0,0,36.74,701.63,708.7186
1959,642.75,0,0,0,28.83,671.58,678.3644
1960,788.79,0,0,0,22.08,810.87,819.0619
1961,661.65,0,0,0,15.44,677.09,683.9296
1962,741.75,0,0,0,15.8,757.55,765.2022
1963,413.46,0,0,0,19.95,433.41,437.7883
1964,588.18,0,0,0,13.11,601.29,607.3639
1965,238.71,0,0,0,20.75,259.46,262.0814
1966,579.45,0,3670,0,37.81,4287.26,4293.4964
1967,886.31,0,3902,0,33.03,4821.34,4830.6279
1968,412.41,0,1956,0,20.07,2388.48,2392.8495
1969,469.5,0,358,0,19.98,847.48,852.4246
1970,287.99,0,554,0,9.86,851.85,854.85899
1971,378.59,0,701,0,12.04,1091.63,1095.5761
1972,477.77,0,421,0,20.15,918.92,923.9503
1973,481.42,0,656,0,18.25,1155.67,1160.7181
1974,440.23,0,418,0,44.4,902.63,907.5272
1975,450.93,0,391.16,0,30,872.09,876.9492
1976,559.54,0,718.52,0,41.7,1319.76,1325.8349
1977,924.82,0,119.34,0,40.75,1084.91,1094.6652
1978,1215.76,0,191.88,0,161.22,1568.86,1582.775
1979,3139.81,5945.77,197.9,0,103.47,9386.95,9480.009
