"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 4+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_50%)","Exploitation Rate"
1916,179236,87915.3,171144,0.9990942667197,49461.7,79.10383,0.00939821,0.000462206270742766
1917,179130,87860.4,171041,0.998470367634525,49434.7,123.08527,0.0146015,0.000719624359071802
1918,178984,87783.1,170899,0.997591908631172,49403.6,141.4904,0.0167839,0.000827918244109094
1919,178827,87698.7,170747,0.996632763225183,49369.1,97.68029,0.0116224,0.000572076171177239
1920,178718,87641.3,170642,0.995980453434854,49332.7,99.9733,0.0119014,0.000585865730593875
1921,178609,87585.1,170539,0.995341780782999,49292.5,82.89186,0.00988218,0.000486058086420115
1922,178518,87540,170454,0.994829251662026,49248.7,71.96217,0.00858809,0.000422179414974128
1923,178437,87501.7,170379,0.994393999659071,49200.6,79.03312,0.0094329,0.00046386655632443
1924,178345,87459.4,170294,0.993913290527871,49147.1,50.76957,0.00607167,0.000298128941712568
1925,178277,87431.5,170234,0.993596227058356,49088.6,62.86091,0.0075197,0.00036926178084284
1926,178190,87394.9,170155,0.993180294334905,49023.2,95.59938,0.0114114,0.000561837030942376
1927,178065,87338.2,170039,0.992535939542019,48949.4,79.3461,0.00947237,0.000466634713212851
1928,177948,87287.9,169933,0.991964316154327,48868.1,90.3059,0.0107722,0.000531420618714435
1929,177813,87228.8,169809,0.991292687084493,48777.6,87.6389,0.0104423,0.000516102797849348
1930,177671,87167.8,169680,0.990599465878743,48677.4,113.4986,0.0135427,0.000668897925506836
1931,177494,87089.3,169517,0.989707369736917,48565.6,100.9224,0.0120553,0.000595352678492423
1932,177318,87013.7,169357,0.988848230013069,48442.1,101.1041,0.0120829,0.000596988019390991
1933,177128,86933.3,169184,0.987934541735326,48305.2,86.7394,0.0103393,0.000512692689616039
1934,176937,86854.9,169012,0.987043582021706,48153.9,91.8408,0.0109716,0.000543398101909924
1935,176722,86767,168819,0.986044661628502,47986.3,99.1138,0.0118582,0.000587100977970489
1936,176479,86667.4,168600,0.984912779135178,47800.1,111.771,0.0134043,0.000662935943060498
1937,176201,86552.4,168348,0.983605886698108,47592,104.5683,0.0125269,0.000621143702330886
1938,175905,86431.5,168082,0.982231944996875,47359.3,84.6788,0.010157,0.000503794576456729
1939,175599,86310.3,167809,0.980854594011023,47098.3,77.3549,0.00926284,0.000460969912221633
1940,175267,86180,167513,0.979373828058412,46806.6,121.8604,0.0145544,0.000727468315891901
1941,174853,86010.9,167140,0.977452127961816,46481,130.8298,0.0156127,0.000782755773602968
