"Year","BottomTrawl (mt)","MidwaterTrawl (mt)","Hake (mt)","Net (mt)","HnL (mt)","Total Landings (mt)","Total Dead (mt)"
2009,4.19,36.45,135.35,0.21,0.41,176.61,186.205882
2010,4.73,54.67,106.35,0,0.15,165.9,178.844434
2011,18.34,43.88,149.65,0,0.12,211.99,212.629001
2012,41.23,47.36,181.43,0,0.33,270.35,271.266508
2013,51.27,241.09,176.41,0,0.98,469.75,472.74838
2014,71.28,306.62,342.16,0.03,1.84,721.93,725.76755
2015,12.18,479.2,386.2,0,2.04,879.62,884.79272
2016,9.62,588,440.8,0,0.82,1039.24,1045.380071
2017,35.93,4852.1,1455.2,0,2.66,6345.89,6395.40549
2018,35.93,9374.3,1081.3,0,1.5,10493.03,10588.13603
