"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2009,48958.4,29603.755652667,68313.044347333,0.556377,0.411168952280983,0.701585047719017
2010,50863.9,31198.7973575158,70529.0026424842,0.578031,0.434327420635516,0.721734579364484
2011,53402.9,33186.2634922663,73619.5365077337,0.606885,0.463057158918896,0.750712841081104
2012,56191.7,35332.3913017356,77051.0086982644,0.638578,0.494146490011657,0.783009509988343
2013,60046.7,38128.0307680917,81965.3692319083,0.682388,0.534391707516576,0.830384292483424
2014,64420.7,41214.5304266473,87626.8695733527,0.732094,0.578794828960004,0.885393171039996
2015,68546.6,44090.1694009092,93003.0305990908,0.778983,0.620377814461057,0.937588185538943
2016,72781.9,46970.1543055998,98593.6456944002,0.827113,0.662047577171615,0.992178422828385
2017,76823.6,49668.494990596,103978.705009404,0.873045,0.701267484510159,1.04482251548984
2018,79032,50137.4269543167,107926.573045683,0.898142,0.7120208800821,1.0842631199179
2019,80909.5,49647.8784501877,112171.121549812,0.919478,0.710347882885592,1.12860811711441
