"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,113.248,460.479,1201.59,2320.31,3638.92,4798.85,5679.69,6248.5,6525.74,6558.21,6401.19,6108.12,5725.52,5291.17,4834.14,4375.77,3930.93,3511.21,3118.41,2757.82,2430.37,2135.53,1871.89,1637.46,1429.95,1246.96,1086.09,945.022,821.589,713.775,619.741,537.828,466.546,404.57,350.722,303.966,263.388,228.187,197.661,171.197,1103.02
1917,113.186,460.238,1201.12,2319.5,3637.73,4797.13,5677.03,6244.76,6521.3,6553.57,6396.68,6103.91,5721.67,5287.7,4831.04,4373.02,3928.51,3507.27,3116.77,2756.37,2429.09,2134.41,1870.91,1636.6,1429.2,1246.3,1085.51,944.525,821.157,713.399,619.415,537.545,466.301,404.357,350.538,303.806,263.25,228.067,197.557,171.107,1102.44
1918,113.115,459.986,1200.49,2318.59,3636.43,4795.37,5674.34,6240.59,6515.73,6547.27,6390.3,6097.83,5716.05,5282.59,4826.46,4368.94,3924.89,3504.08,3112.35,2754.12,2427.1,2132.66,1869.37,1635.26,1428.03,1245.28,1084.63,943.751,820.485,712.815,618.908,537.105,465.919,404.026,350.251,303.558,263.034,227.88,197.395,170.967,1101.54
1919,113.036,459.697,1199.83,2317.37,3635,4793.57,5671.98,6237.11,6510.67,6540.9,6383.38,6091,5709.65,5276.75,4821.2,4364.25,3920.74,3500.42,3109.14,2749.88,2424.81,2130.65,1867.61,1633.72,1426.68,1244.11,1083.6,942.862,819.712,712.144,618.325,536.599,465.48,403.645,349.921,303.272,262.786,227.666,197.209,170.806,1100.5
1920,112.953,459.376,1199.08,2316.1,3633.11,4791.87,5670.5,6235.75,6508.69,6537.65,6379.01,6086.17,5704.92,5272.38,4817.27,4360.77,3917.68,3497.74,3106.8,2747.84,2421.79,2129.26,1866.4,1632.65,1425.75,1243.3,1082.9,942.248,819.178,711.68,617.922,536.25,465.177,403.382,349.693,303.074,262.615,227.517,197.081,170.695,1099.78
1921,112.861,459.037,1198.24,2314.65,3631.12,4789.38,5668.46,6234.06,6507.19,6535.56,6375.74,6081.91,5700.3,5267.93,4813.21,4357.15,3914.49,3494.95,3104.37,2745.73,2419.95,2126.57,1865.15,1631.56,1424.8,1242.47,1082.18,941.62,818.632,711.205,617.51,535.892,464.867,403.113,349.46,302.872,262.44,227.366,196.95,170.581,1099.05
1922,112.76,458.663,1197.36,2313.03,3628.85,4786.83,5665.77,6232.3,6506.08,6534.77,6374.42,6079.48,5696.96,5264.26,4809.69,4353.97,3911.68,3492.5,3102.25,2743.89,2418.37,2125.21,1863.01,1630.66,1424.01,1241.78,1081.58,941.099,818.179,710.812,617.169,535.596,464.61,402.89,349.266,302.705,262.295,227.24,196.841,170.487,1098.44
1923,112.65,458.255,1196.38,2311.33,3626.32,4783.89,5662.92,6229.65,6504.65,6534.1,6374.1,6078.67,5695.1,5261.56,4806.69,4351.1,3909.11,3490.25,3100.3,2742.22,2416.93,2123.97,1861.94,1628.9,1423.33,1241.18,1081.06,940.647,817.786,710.47,616.872,535.338,464.387,402.697,349.099,302.559,262.169,227.131,196.746,170.405,1097.91
1924,112.528,457.808,1195.32,2309.44,3623.64,4780.52,5659.32,6226.31,6501.61,6532.37,6373.16,6078.07,5694.07,5259.59,4804,4348.18,3906.35,3487.79,3098.16,2740.37,2415.34,2122.6,1860.77,1627.9,1421.73,1240.53,1080.49,940.15,817.354,710.095,616.547,535.056,464.141,402.484,348.914,302.399,262.031,227.011,196.642,170.315,1097.33
1925,112.394,457.31,1194.15,2307.39,3620.7,4777.11,5655.76,6223.16,6499.2,6530.5,6372.66,6078.32,5694.59,5259.63,4803.11,4346.56,3904.47,3485.99,3096.56,2738.99,2414.16,2121.6,1859.93,1627.18,1421.12,1239.37,1080.12,939.831,817.077,709.855,616.338,534.874,463.984,402.348,348.796,302.297,261.942,226.934,196.575,170.257,1096.96
1926,112.244,456.766,1192.85,2305.14,3617.48,4773.18,5651.53,6218.89,6495.44,6527.57,6370.33,6077.35,5694.36,5259.69,4802.76,4345.41,3902.71,3484.03,3094.71,2737.35,2412.76,2120.4,1858.9,1626.31,1420.38,1238.74,1079.02,939.437,816.734,709.557,616.079,534.65,463.789,402.179,348.65,302.17,261.832,226.839,196.493,170.186,1096.5
1927,112.075,456.157,1191.43,2302.63,3613.93,4768.8,5646.42,6213.33,6489.75,6522.43,6366.08,6073.79,5692.2,5258.32,4801.75,4344.14,3900.81,3481.69,3092.29,2735.12,2410.78,2118.7,1857.44,1625.06,1419.3,1237.82,1078.24,938.275,816.211,709.103,615.685,534.308,463.493,401.922,348.427,301.977,261.664,226.693,196.367,170.077,1095.8
1928,111.889,455.471,1189.85,2299.89,3610.01,4764.21,5641.51,6208.2,6484.59,6517.39,6361.74,6070.39,5689.47,5256.89,4801.01,4343.69,3900.08,3480.37,3090.54,2733.27,2409.07,2117.19,1856.15,1623.95,1418.36,1237.02,1077.55,937.691,815.289,708.725,615.356,534.023,463.245,401.707,348.241,301.816,261.525,226.573,196.263,169.986,1095.22
1929,111.682,454.715,1188.06,2296.83,3605.71,4759,5635.94,6202.52,6478.83,6511.75,6356.36,6065.8,5685.86,5253.97,4799.34,4342.69,3899.38,3479.45,3089.13,2731.51,2407.26,2115.53,1854.69,1622.7,1417.29,1236.1,1076.77,937.025,814.719,707.87,614.982,533.698,462.963,401.463,348.029,301.632,261.365,226.435,196.143,169.883,1094.55
