"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,103.191,441.281,1171.81,2279.68,3610.99,4657.57,5319.72,5616.74,5620.15,5413.15,5070.85,4653.09,4203.8,3753.12,3320.38,2916.94,2548.55,2218.37,1923.42,1663.35,1435.52,1236.91,1064.43,915.099,786.102,674.872,579.099,496.728,425.944,365.16,312.991,268.235,229.852,196.944,168.734,144.557,123.838,106.085,90.875,77.8436,464.773
1917,103.135,441.05,1171.35,2278.88,3609.81,4655.87,5317.18,5613.39,5616.39,5409.38,5067.32,4649.9,4200.98,3750.66,3318.26,2915.11,2546.98,2215.88,1922.41,1662.48,1434.76,1236.26,1063.87,914.618,785.688,674.517,578.795,496.467,425.72,364.968,312.826,268.094,229.731,196.84,168.645,144.481,123.773,106.03,90.8272,77.8026,464.529
1918,103.07,440.808,1170.73,2277.99,3608.52,4654.14,5314.6,5609.59,5611.63,5404.28,5062.35,4645.32,4196.88,3747.05,3315.11,2912.39,2544.64,2213.87,1919.69,1661.12,1433.59,1235.25,1063,913.869,785.045,673.965,578.321,496.06,425.372,364.669,312.57,267.875,229.543,196.679,168.507,144.363,123.672,105.943,90.7528,77.7389,464.148
1919,102.998,440.531,1170.09,2276.8,3607.09,4652.39,5312.35,5606.4,5607.24,5399.07,5056.96,4640.2,4192.23,3742.94,3311.51,2909.27,2541.95,2211.56,1917.71,1658.56,1432.24,1234.08,1062,913.008,784.305,673.33,577.776,495.593,424.971,364.325,312.276,267.622,229.327,196.494,168.349,144.227,123.555,105.843,90.6673,77.6657,463.711
1920,102.922,440.224,1169.36,2275.55,3605.23,4650.75,5310.99,5605.14,5605.44,5396.33,5053.53,4636.6,4188.82,3739.88,3308.84,2906.96,2539.97,2209.87,1916.27,1657.33,1430.45,1233.28,1061.31,912.414,783.795,672.892,577.4,495.27,424.694,364.088,312.072,267.448,229.178,196.366,168.239,144.133,123.475,105.774,90.6083,77.6151,463.409
1921,102.838,439.899,1168.54,2274.12,3603.25,4648.33,5309.1,5603.64,5604.11,5394.51,5050.88,4633.38,4185.51,3736.78,3306.08,2904.56,2537.91,2208.11,1914.77,1656.06,1429.37,1231.72,1060.6,911.806,783.272,672.443,577.015,494.94,424.411,363.846,311.864,267.27,229.025,196.235,168.127,144.037,123.393,105.704,90.5479,77.5634,463.1
1922,102.747,439.54,1167.68,2272.53,3601,4645.87,5306.58,5602.07,5603.16,5393.81,5049.74,4631.47,4183.07,3734.24,3303.72,2902.47,2536.11,2206.57,1913.46,1654.96,1428.44,1230.93,1059.38,911.302,782.839,672.071,576.696,494.666,424.176,363.644,311.692,267.122,228.898,196.126,168.034,143.957,123.324,105.645,90.4978,77.5205,462.844
1923,102.646,439.15,1166.73,2270.85,3598.49,4643.01,5303.93,5599.7,5601.93,5393.25,5049.44,4630.76,4181.65,3732.34,3301.71,2900.61,2534.47,2205.16,1912.27,1653.95,1427.59,1230.21,1058.78,910.32,782.463,671.748,576.419,494.429,423.972,363.47,311.542,266.994,228.788,196.032,167.953,143.888,123.265,105.594,90.4543,77.4833,462.622
1924,102.535,438.721,1165.69,2269,3595.83,4639.75,5300.56,5596.71,5599.33,5391.84,5048.69,4630.26,4180.81,3730.9,3299.87,2898.71,2532.72,2203.63,1910.96,1652.84,1426.65,1229.42,1058.11,909.759,781.583,671.394,576.115,494.168,423.749,363.278,311.378,266.853,228.668,195.928,167.864,143.812,123.2,105.539,90.4066,77.4424,462.378
1925,102.413,438.244,1164.55,2266.99,3592.91,4636.45,5297.24,5593.88,5597.25,5390.29,5048.29,4630.44,4181.15,3730.85,3299.22,2897.65,2531.54,2202.53,1909.99,1652.02,1425.96,1228.85,1057.63,909.358,781.249,670.765,575.92,494,423.605,363.155,311.272,266.762,228.59,195.862,167.808,143.763,123.158,105.503,90.3759,77.4161,462.221
