"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2009,21292.5,10442.8490389883,43414.4508416569,-0.619508,-1.21817115922182,-0.0208448407781787
2010,101007,60928.8225479126,167448.075021918,0.931229,0.630078573811436,1.23237942618856
2011,6739.69,3219.89874138646,14107.0961991001,-1.78344,-2.42430314377295,-1.14257685622705
2012,6073.63,3040.1128075975,12134.0830789934,-1.895,-2.49339464415594,-1.29660535584406
2013,240825,144208.971382009,402171.09982268,1.7758,1.41832020889576,2.13327979110425
2014,101692,47924.1214634055,215784.088434391,0.904385,0.242738398134984,1.56603160186502
2015,34199.7,14729.2543725467,79407.9218476948,-0.244096,-1.04727160118865,0.559079601188653
2016,63176.7,22368.3884967532,178434.64331234,0.311529,-0.738935257118072,1.36199325711807
2017,40749.7,13832.3668730209,120047.282242692,-0.184038,-1.28850710474809,0.920431104748088
2018,37521.5,12654.1425948766,111257.080572176,-0.269645,-1.38228127467167,0.842991274671667
2019,49256.8,15883.8114599404,152748.75003138,0,-1.17597839072403,1.17597839072403
