"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","87995","70867.4627282998","105122.5372717"
"Unfished Age 4+ Biomass (mt)","171336","137799.644249731","204872.355750269"
"Unfished Recruitment (R0)","49676.1","32155.4331522808","67196.7668477192"
"2019 Spawning Biomass (mt)","80909.5","49647.8784501877","112171.121549812"
"2019 Fraction Unfished","0.919478","0.710347882885592","1.12860811711441"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Biomass (mt) SB40\%","35198","28346.9850913199","42049.0149086801"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0959704","0.086682973461778","0.105257826538222"
"Yield with SPR Based On SB40\% (mt)","7605.72","5717.34369999527","9494.09630000473"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR50)","39259.3","31617.7924170752","46900.8075829248"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0835998","0.0754154019929975","0.0917841980070025"
"Yield with SPR50 at SB SPR (mt)","7239.78","5446.55799148071","9033.00200851929"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","23063.4","18611.0478145196","27515.7521854804"
"SPR MSY","0.333839","0.330429133058257","0.337248866941743"
"Exploitation Rate Corresponding to SPR MSY","0.144749","0.130136292516863","0.159361707483137"
"MSY (mt)","8168.94","6123.05119437771","10214.8288056223"
