"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 4+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2019,14669.9,10868.1,180855,80909.5,0.919478
2020,15633,10868.1,179751,83054.3,0.943852
2021,15748.9,14725.2,173890,83672.9,0.950882
2022,14825.5,13787.7,161799,80274.7,0.912264
2023,13633.4,12624.5,151137,75720.3,0.860506
2024,12452.7,11481.4,141681,70914.3,0.80589
2025,11486.8,10533.4,133763,66508.6,0.755822
2026,10768.7,9831.82,127304,62789.7,0.71356
2027,10240,9308.19,122045,59739.3,0.678894
2028,9841.88,8897.06,117739,57241.5,0.650509
2029,9533.85,8580.47,114196,55185.4,0.627142
2030,9288.02,8322.07,111249,53473.4,0.607687
