"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,24730.9,21416.8,18544.4,16056.5,13902,12036.2,10420.5,9021.54,7810.24,6761.45,5853.39,5067.18,4386.5,3797.19,3287,2845.32,2462.96,2133.07,1846.26,1598.01,1383.14,1197.17,1036.2,896.87,776.278,671.9,581.557,503.361,435.679,377.098,326.394,282.507,244.521,211.643,183.186,158.555,137.236,118.783,102.812,88.9875,572.83
1917,24717.3,21405.6,18537.1,16050.9,13897.4,12031.9,10415.6,9016.14,7804.93,6756.67,5849.27,5063.69,4383.55,3794.69,3284.89,2843.54,2461.45,2130.67,1845.29,1597.17,1382.42,1196.54,1035.65,896.398,775.869,671.546,581.251,503.096,435.45,376.9,326.222,282.359,244.393,211.532,183.089,158.471,137.163,118.721,102.757,88.9407,572.529
1918,24701.8,21393.9,18527.4,16044.6,13892.5,12027.4,10410.7,9010.12,7798.26,6750.17,5843.43,5058.64,4379.24,3791.03,3281.77,2840.88,2459.18,2128.74,1842.67,1595.86,1381.28,1195.56,1034.8,895.664,775.234,670.997,580.775,502.684,435.094,376.591,325.955,282.127,244.193,211.359,182.94,158.342,137.051,118.623,102.673,88.8679,572.06
1919,24684.6,21380.4,18517.3,16036.2,13887,12022.9,10406.4,9005.09,7792.21,6743.61,5837.1,5052.98,4374.34,3786.84,3278.2,2837.83,2456.58,2126.52,1840.77,1593.41,1379.98,1194.43,1033.83,894.821,774.504,670.364,580.228,502.211,434.684,376.236,325.648,281.861,243.963,211.16,182.767,158.192,136.922,118.512,102.577,88.7842,571.521
1920,24666.3,21365.5,18505.6,16027.4,13879.8,12018.7,10403.7,9003.13,7789.84,6740.26,5833.11,5048.97,4370.71,3783.7,3275.53,2835.57,2454.66,2124.89,1839.39,1592.23,1378.26,1193.65,1033.16,894.238,773.999,669.928,579.85,501.884,434.401,375.991,325.436,281.678,243.804,211.022,182.648,158.089,136.833,118.434,102.51,88.7264,571.149
1921,24646.2,21349.7,18492.7,16017.4,13872.2,12012.4,10399.9,9000.7,7788.04,6738.11,5830.12,5045.43,4367.18,3780.51,3272.76,2833.21,2452.66,2123.19,1837.95,1591,1377.22,1192.14,1032.47,893.642,773.483,669.481,579.463,501.549,434.111,375.741,325.219,281.49,243.641,210.881,182.526,157.984,136.742,118.355,102.441,88.6672,570.768
1922,24624.3,21332.3,18479,16006.2,13863.5,12006,10395,8998.15,7786.71,6737.28,5828.92,5043.42,4364.61,3777.88,3270.37,2831.14,2450.9,2121.7,1836.69,1589.94,1376.32,1191.38,1031.28,893.147,773.055,669.111,579.143,501.271,433.871,375.533,325.039,281.334,243.506,210.765,182.425,157.897,136.666,118.29,102.385,88.6181,570.452
1923,24600.3,21313.4,18464,15994.4,13853.9,11998.6,10389.7,8994.32,7785,6736.6,5828.62,5042.75,4363.19,3775.94,3268.34,2829.28,2449.29,2120.34,1835.54,1588.97,1375.5,1190.68,1030.69,892.185,772.684,668.789,578.864,501.031,433.662,375.352,324.883,281.199,243.389,210.663,182.338,157.821,136.6,118.233,102.336,88.5756,570.178
1924,24573.6,21292.6,18447.6,15981.3,13843.6,11990.2,10383.1,8989.5,7781.36,6734.82,5827.76,5042.25,4362.4,3774.53,3266.5,2827.38,2447.56,2118.84,1834.27,1587.89,1374.59,1189.92,1030.04,891.634,771.815,668.436,578.559,500.766,433.433,375.154,324.711,281.051,243.261,210.552,182.241,157.737,136.528,118.171,102.282,88.5288,569.877
1925,24544.3,21269.4,18429.6,15967.1,13832.4,11981.6,10376.6,8984.95,7778.47,6732.89,5827.3,5042.46,4362.8,3774.55,3265.9,2826.33,2446.39,2117.75,1833.32,1587.1,1373.92,1189.36,1029.57,891.241,771.484,667.81,578.362,500.596,433.286,375.027,324.601,280.955,243.178,210.481,182.18,157.684,136.482,118.131,102.247,88.4988,569.684
1926,24511.6,21244.1,18409.5,15951.5,13820.1,11971.8,10368.8,8978.78,7773.98,6729.87,5825.17,5041.66,4362.62,3774.59,3265.66,2825.58,2445.28,2116.56,1832.23,1586.15,1373.12,1188.69,1029.01,890.764,771.082,667.471,577.775,500.386,433.105,374.87,324.465,280.838,243.076,210.393,182.103,157.618,136.425,118.081,102.204,88.4617,569.445
1927,24474.7,21215.8,18387.6,15934.2,13806.5,11960.8,10359.5,8970.76,7767.17,6724.56,5821.29,5038.7,4360.97,3773.61,3264.97,2824.75,2444.09,2115.13,1830.79,1584.85,1372,1187.73,1028.2,890.078,770.499,666.976,577.353,499.767,432.828,374.63,324.257,280.658,242.921,210.258,181.987,157.517,136.337,118.005,102.139,88.4051,569.08
1928,24434.1,21183.9,18363.1,15915.2,13791.5,11949.3,10350.5,8963.35,7760.99,6719.37,5817.32,5035.88,4358.88,3772.58,3264.47,2824.46,2443.63,2114.33,1829.76,1583.78,1371.02,1186.89,1027.48,889.472,769.988,666.543,576.987,499.456,432.338,374.43,324.084,280.508,242.791,210.146,181.89,157.433,136.265,117.943,102.084,88.3579,568.777
1929,24388.8,21148.7,18335.5,15894,13775.1,11936.2,10340.2,8955.16,7754.1,6713.56,5812.4,5032.07,4356.11,3770.49,3263.34,2823.81,2443.2,2113.78,1828.93,1582.76,1369.99,1185.95,1026.67,888.785,769.406,666.05,576.569,499.101,432.036,373.978,323.887,280.337,242.643,210.018,181.779,157.337,136.182,117.871,102.022,88.3041,568.431
1930,24338.7,21109.5,18305,15870.1,13756.8,11922.1,10329.1,8946.51,7747.16,6707.71,5807.46,5027.89,4352.87,3768.15,3261.57,2822.87,2442.67,2113.43,1828.47,1582.07,1369.13,1185.08,1025.88,888.1,768.822,665.556,576.15,498.747,431.736,373.723,323.501,280.171,242.499,209.893,181.671,157.244,136.101,117.801,101.961,88.2516,568.093
1931,24282.8,21066.2,18271.1,15843.8,13736,11905.9,10316.1,8935.78,7738.48,6700.59,5801.41,5022.75,4348.51,3764.7,3258.99,2820.86,2441.44,2112.61,1827.86,1581.4,1368.29,1184.13,1024.95,887.261,768.097,664.937,575.624,498.299,431.355,373.398,323.224,279.789,242.313,209.732,181.532,157.123,135.996,117.71,101.883,88.184,567.657
1932,24221.1,21017.8,18233.6,15814.4,13713.2,11888.1,10302.5,8925.04,7729.77,6693.62,5795.73,5017.94,4344.43,3761.24,3256.28,2818.86,2439.9,2111.72,1827.3,1581,1367.83,1183.51,1024.21,886.529,767.436,664.365,575.137,497.886,431.004,373.1,322.971,279.573,242.003,209.589,181.408,157.016,135.903,117.63,101.814,88.1238,567.27
1933,24152.6,20964.3,18191.7,15781.9,13687.8,11868.4,10287.1,8913.23,7720.48,6686.07,5789.69,5013.01,4340.26,3757.7,3253.28,2816.51,2438.16,2110.39,1826.53,1580.52,1367.49,1183.1,1023.67,885.892,766.801,663.792,574.641,497.463,430.645,372.796,322.712,279.353,241.816,209.32,181.283,156.908,135.81,117.549,101.744,88.0634,566.881
1934,24077,20905,18145.5,15745.7,13659.8,11846.7,10270.6,8900.65,7710.97,6678.66,5783.69,5008.24,4336.39,3754.43,3250.51,2814.17,2436.35,2109.07,1825.54,1579.99,1367.19,1182.91,1023.42,885.501,766.319,663.302,574.197,497.079,430.318,372.519,322.478,279.154,241.647,209.177,181.067,156.815,135.729,117.479,101.683,88.0109,566.543
1935,23993.2,20839.6,18094.2,15705.6,13628.4,11822.3,10251.6,8886.13,7699.83,6670.21,5777.08,5002.88,4332.12,3750.96,3247.57,2811.68,2434.24,2107.44,1824.34,1579.08,1366.69,1182.61,1023.21,885.251,765.955,662.863,573.754,496.678,429.972,372.224,322.228,278.942,241.467,209.024,180.937,156.622,135.644,117.406,101.619,87.9556,566.187
