"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,24730.9,21193.8,18160.2,15560.2,13332,11422.5,9786.24,8384.21,7182.91,6153.61,5271.71,4516.12,3868.76,3314.13,2838.98,2431.91,2083.19,1785.38,1529.23,1309.83,1121.91,960.944,823.076,704.989,603.843,517.209,443.004,379.446,325.006,278.377,238.438,204.229,174.928,149.831,128.334,109.922,94.1515,80.6435,69.0734,59.1634,353.208
1917,24717.3,21182.7,18153.1,15554.7,13327.6,11418.3,9781.57,8379.2,7178.1,6149.33,5268.05,4513.03,3866.16,3311.96,2837.16,2430.39,2081.91,1783.37,1528.42,1309.14,1121.32,960.439,822.644,704.618,603.525,516.937,442.771,379.246,324.835,278.231,238.313,204.122,174.836,149.752,128.267,109.864,94.102,80.601,69.0371,59.1323,353.022
1918,24701.8,21171.1,18143.6,15548.6,13322.8,11414.1,9776.81,8373.53,7172.02,6143.53,5262.88,4508.58,3862.39,3308.78,2834.47,2428.12,2080,1781.76,1526.26,1308.07,1120.4,959.653,821.97,704.041,603.031,516.514,442.409,378.936,324.569,278.003,238.118,203.955,174.693,149.63,128.162,109.774,94.0249,80.5351,68.9806,59.0839,352.733
1919,24684.6,21157.8,18133.7,15540.5,13317.6,11409.8,9772.68,8368.76,7166.41,6137.61,5257.28,4503.61,3858.11,3305.14,2831.4,2425.52,2077.8,1779.9,1524.69,1306.06,1119.34,958.749,821.196,703.378,602.463,516.027,441.992,378.579,324.264,277.741,237.893,203.762,174.528,149.489,128.041,109.671,93.9363,80.4592,68.9156,59.0282,352.4
1920,24666.3,21143,18122.3,15532,13310.7,11405.8,9770.18,8366.88,7164.11,6134.49,5253.71,4500.11,3854.97,3302.44,2829.11,2423.59,2076.18,1778.54,1523.54,1305.09,1117.95,958.125,820.661,702.92,602.071,515.691,441.704,378.332,324.053,277.56,237.738,203.63,174.415,149.391,127.958,109.6,93.8752,80.4068,68.8707,58.9898,352.171
1921,24646.2,21127.4,18109.6,15522.2,13303.4,11399.8,9766.69,8364.65,7162.4,6132.43,5250.96,4496.99,3851.92,3299.7,2826.75,2421.6,2074.5,1777.12,1522.35,1304.09,1117.1,956.914,820.114,702.451,601.67,515.347,441.41,378.08,323.837,277.375,237.58,203.494,174.298,149.292,127.873,109.527,93.8126,80.3532,68.8248,58.9504,351.936
1922,24624.3,21110.2,18096.2,15511.4,13295.1,11393.8,9762.07,8362.31,7161.18,6131.62,5249.77,4495.14,3849.68,3297.46,2824.73,2419.86,2073.02,1775.88,1521.31,1303.22,1116.37,956.3,819.171,702.063,601.337,515.062,441.166,377.871,323.657,277.222,237.448,203.381,174.202,149.209,127.802,109.466,93.7607,80.3087,68.7867,58.9178,351.742
1923,24600.3,21091.5,18081.5,15499.9,13285.8,11386.8,9757.18,8358.76,7159.62,6131,5249.45,4494.45,3848.37,3295.78,2823.02,2418.3,2071.68,1774.75,1520.36,1302.42,1115.71,955.744,818.705,701.307,601.048,514.815,440.954,377.69,323.502,277.089,237.334,203.284,174.118,149.137,127.74,109.413,93.7157,80.2702,68.7537,58.8895,351.573
1924,24573.6,21070.9,18065.4,15487.3,13276,11378.8,9750.99,8354.31,7156.3,6129.39,5248.68,4493.96,3847.6,3294.51,2821.44,2416.72,2070.25,1773.52,1519.32,1301.55,1114.97,955.13,818.19,700.874,600.372,514.543,440.721,377.49,323.331,276.942,237.209,203.176,174.026,149.059,127.673,109.356,93.6662,80.2278,68.7174,58.8584,351.387
1925,24544.3,21048,18047.8,15473.6,13265.2,11370.7,9744.88,8350.08,7153.63,6127.62,5248.26,4494.14,3847.91,3294.47,2820.89,2415.83,2069.29,1772.63,1518.55,1300.9,1114.44,954.683,817.819,700.566,600.115,514.062,440.572,377.362,323.222,276.849,237.129,203.108,173.967,149.008,127.63,109.319,93.6344,80.2006,68.6941,58.8385,351.268
