"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,75.4879,311.729,833.413,1649.03,2697.56,3665.25,4443,4990.36,5311.47,5434.48,5397.31,5238.98,4994.97,4695.2,4363.59,4018.45,3673.23,3341.63,3020.67,2719.5,2440.19,2183.55,1949.45,1737.17,1545.58,1373.34,1218.98,1081,957.926,848.336,750.895,664.36,587.587,519.531,459.242,405.866,358.631,316.848,279.899,247.234,1864.42
1917,75.4204,311.445,832.851,1648.02,2696.02,3663.06,4439.81,4986.14,5306.61,5429.44,5392.39,5234.35,4990.69,4691.31,4360.09,4015.32,3670.46,3334.95,3018.94,2717.94,2438.79,2182.29,1948.33,1736.17,1544.7,1372.56,1218.28,1080.38,957.377,847.85,750.465,663.98,587.25,519.233,458.979,405.633,358.425,316.666,279.738,247.092,1863.35
1918,75.3445,311.167,832.093,1646.91,2694.36,3660.79,4436.53,4981.41,5300.6,5422.79,5385.69,5227.91,4984.69,4685.79,4355.08,4010.82,3666.43,3331.37,3011.95,2715.52,2436.62,2180.35,1946.59,1734.62,1543.32,1371.33,1217.2,1079.42,956.523,847.093,749.795,663.387,586.727,518.77,458.57,405.271,358.106,316.383,279.489,246.871,1861.69
1919,75.2612,310.854,831.35,1645.41,2692.53,3658.45,4433.52,4977.25,5294.94,5415.96,5378.38,5220.71,4977.89,4679.52,4349.38,4005.67,3661.82,3327.26,3008.31,2708.86,2434.11,2178.11,1944.59,1732.84,1541.73,1369.92,1215.95,1078.31,955.541,846.224,749.025,662.706,586.124,518.237,458.099,404.855,357.738,316.059,279.202,246.618,1859.78
1920,75.1727,310.51,830.514,1643.94,2690.1,3656.15,4431.3,4975.01,5292.02,5411.83,5373.29,5215.28,4972.61,4674.62,4344.94,4001.7,3658.28,3324.14,3005.55,2706.44,2428.92,2176.56,1943.21,1731.61,1540.64,1368.95,1215.08,1077.55,954.863,845.623,748.494,662.236,585.708,517.869,457.774,404.568,357.484,315.834,279.003,246.443,1858.46
1921,75.076,310.145,829.595,1642.29,2687.7,3652.84,4428.49,4972.45,5289.56,5408.75,5369.1,5210.25,4967.35,4669.58,4340.31,3997.54,3654.59,3320.87,3002.68,2703.92,2426.71,2171.88,1941.8,1730.35,1539.52,1367.96,1214.2,1076.76,954.169,845.008,747.949,661.754,585.282,517.493,457.441,404.274,357.224,315.605,278.801,246.264,1857.11
1922,74.9711,309.746,828.619,1640.47,2685,3649.65,4424.72,4969.74,5287.42,5406.88,5366.7,5206.83,4963.17,4665.22,4336.17,3993.78,3651.25,3317.93,3000.1,2701.66,2424.75,2170.17,1937.86,1729.31,1538.59,1367.13,1213.47,1076.11,953.593,844.498,747.498,661.355,584.929,517.18,457.165,404.03,357.009,315.414,278.632,246.115,1855.99
1923,74.8569,309.314,827.553,1638.54,2682.03,3646.03,4421,4965.79,5284.91,5405.11,5365.27,5204.92,4960.31,4661.67,4332.46,3990.28,3648.1,3315.15,2997.68,2699.56,2422.92,2168.59,1936.49,1725.94,1537.78,1366.41,1212.83,1075.55,953.093,844.056,747.106,661.008,584.623,516.909,456.925,403.818,356.821,315.249,278.486,245.986,1855.01
1924,74.7314,308.842,826.398,1636.43,2678.88,3641.98,4416.52,4961.43,5280.46,5402.27,5363.23,5203.26,4958.23,4658.74,4328.94,3986.67,3644.72,3312.13,2995.02,2697.24,2420.9,2166.84,1934.98,1724.63,1534.71,1365.63,1212.13,1074.93,952.544,843.57,746.676,660.628,584.286,516.612,456.662,403.585,356.616,315.067,278.326,245.845,1853.95
1925,74.5952,308.325,825.139,1634.15,2675.44,3637.81,4412,4957.14,5276.8,5398.8,5361.51,5202.36,4957.67,4657.75,4327.11,3984.24,3642.16,3309.74,2992.9,2695.4,2419.32,2165.48,1933.82,1723.63,1533.86,1363.18,1211.69,1074.53,952.192,843.257,746.4,660.383,584.07,516.42,456.493,403.436,356.484,314.951,278.223,245.754,1853.26
