"Year","OFL (mt)","ABC (mt)","ACL (mt)","Landings (mt)","Total Mortality (mt)"
2015,"fill in","fill in","fill in",879.67482,879.85982
2016,"fill in","fill in","fill in",1039.42793,1039.6021
2017,"fill in","fill in","fill in",6345.92737,6361.50027
2018,"fill in","fill in","fill in",10493.16811,10522.92101
2019,"fill in","fill in","fill in",9289.44322,9315.29462
2020,"fill in","fill in","fill in",8355.23895437,8379.59265437
2021,"fill in","fill in","fill in",10866.88616,10899.73416
2022,"fill in","fill in","fill in",12094.4316347,12129.7126347
2023,"fill in","fill in","fill in",10990.57173,11023.50333
2024,"fill in","fill in","fill in",9735.1172,9764.1159
