"Quantity","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","879.67482","1039.42793","6345.92737","10493.16811","9289.44322","8355.23895437","10866.88616","12094.4316347","10990.57173","9735.1172","NA"
"Total Dead","879.85982","1039.6021","6361.50027","10522.92101","9315.29462","8379.59265437","10899.73416","12129.7126347","11023.50333","9764.1159","NA"
"(1-SPR)/(1-SPR_50%)","0.144426","0.161199","0.736208","1.07014","1.05354","1.04078","1.20989","1.2703","1.24828","1.25706",NA
"Exploitation Rate","0.00704019","0.00840339","0.0496841","0.0855249","0.0827456","0.0723537","0.0965787","0.116363","0.119037","0.120756",NA
"Age 4+ Biomass (mt)","124977","123712","128039","123039","112578","115814","112859","104240","92605.6","80858.2","150338"
"Spawning Biomass (mt)","62101.9","64772.2","66368.3","64402.2","60464.7","57485.1","55681.8","53221.5","49723.9","45443.2","40603.1"
"Lower Interval","42367.4146324631","44724.1203949367","46318.4564273506","44577.9482819712","40744.5223695503","37653.7924116268","35407.1485583239","32239.8895491003","28075.3138051613","23459.4599638049","18692.0746276314"
"Upper Interval","81836.3853675369","84820.2796050633","86418.1435726494","84226.4517180288","80184.8776304497","77316.4075883732","75956.4514416761","74203.1104508997","71372.4861948387","67426.9400361951","62514.1253723686"
"Recruits","18395.3","100038","27891.7","10614.7","8288.55","8907.34","18889.1","20463.8","30114.3","26045.5","31045.4"
"Lower Interval","9562.02585793987","61910.4779255311","14431.5752888199","4923.27834451949","3676.17797624987","3770.56682699948","7803.90985800607","7123.83475421055","10086.3486140386","8634.25643404257","9968.80773318702"
"Upper Interval","35388.6370019611","161646.32836525","53905.8913057588","22885.5344356926","18687.9039987564","21042.1163490523","45720.4280036576","58783.9450083381","89910.7396732035","78567.0515384945","96683.2631299901"
"Fraction Unfished","0.759809","0.792479","0.812008","0.787953","0.739778","0.703323","0.681259","0.651158","0.608365","0.555992","0.496774"
"Lower Interval","0.604216083108897","0.638578708005946","0.662501163273691","0.641929215270617","0.593202877401766","0.554011963675746","0.52619056947116","0.485561230935406","0.43036773480162","0.367755098960789","0.301867537517797"
"Upper Interval","0.915401916891103","0.946379291994054","0.961514836726309","0.933976784729383","0.886353122598234","0.852634036324254","0.83632743052884","0.816754769064594","0.78636226519838","0.744228901039211","0.691680462482203"
