
Initial statistics: 11 variables; iteration 0; function evaluation 0; phase 1
Function value 4.5151026e+03; maximum gradient component mag -1.6318e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.12564 -1.70610e+03 |  2  0.30536 -7.67872e+01 |  3  0.07697  1.79864e+01
  4  0.23129 -3.40352e+03 |  5  0.21938 -1.14456e+03 |  6  0.51179  7.22014e+00
  7  0.12559 -1.51718e+04 |  8  0.11025 -1.25639e+04 |  9  0.09368 -1.63175e+04
 10  0.08063 -1.77925e+02 | 11  0.02857 -4.20252e+02 |

 - final statistics:
11 variables; iteration 19; function evaluation 32
Function value 3.2879e+03; maximum gradient component mag -9.0852e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.04708 -1.14448e-01 |  2  0.36055  1.51030e-02 |  3  0.06403  6.72692e-02
  4  0.28294 -3.33649e+00 |  5  0.28006  8.17912e-01 |  6  0.35104  1.01407e+00
  7  0.18994 -6.49868e+00 |  8  0.22411 -4.99203e-01 |  9  0.14074 -9.08521e+00
 10  0.11447  6.26473e-03 | 11  0.14055 -2.03743e-01 |

Initial statistics: 90 variables; iteration 0; function evaluation 0; phase 2
Function value 3.2879085e+03; maximum gradient component mag -2.1238e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.14860 -7.10501e+03 |  2 -0.10858 -7.93356e+03 |  3 -0.17118 -8.36903e+03
  4  0.10188 -5.33645e+03 |  5  0.02100 -2.12379e+05 |  6  0.00000 -1.44083e+03
  7  0.00000 -1.68929e+03 |  8  0.00000 -1.70022e+03 |  9  0.00000 -1.75595e+03
 10  0.00000 -1.96631e+03 | 11  0.00000 -2.26210e+03 | 12  0.00000 -2.51535e+03
 13  0.00000 -3.40267e+03 | 14  0.00000 -3.89396e+03 | 15  0.00000 -3.69302e+03
 16  0.00000 -3.99637e+03 | 17  0.00000 -4.18117e+03 | 18  0.00000 -3.68630e+03
 19  0.00000 -3.02723e+03 | 20  0.00000 -2.82954e+03 | 21  0.00000 -2.32318e+03
 22  0.00000 -1.87301e+03 | 23  0.00000 -1.66128e+03 | 24  0.00000 -1.10948e+03
 25  0.00000 -5.90311e+02 | 26  0.00000 -1.26766e+02 | 27  0.00000  4.07304e+02
 28  0.00000  1.25485e+03 | 29  0.00000  1.80224e+03 | 30  0.00000  2.17531e+03
 31  0.00000  2.42811e+03 | 32  0.00000  2.50191e+03 | 33  0.00000  2.39508e+03
 34  0.00000  2.18917e+03 | 35  0.00000  2.02748e+03 | 36  0.00000  2.07796e+03
 37  0.00000  2.26666e+03 | 38  0.00000  2.38623e+03 | 39  0.00000  2.30408e+03
 40  0.00000  2.10633e+03 | 41  0.00000  2.28746e+03 | 42  0.00000  2.19448e+03
 43  0.00000  2.15703e+03 | 44  0.00000  1.71317e+03 | 45  0.00000  2.18038e+03
 46  0.00000  2.05940e+03 | 47  0.00000  2.38522e+03 | 48  0.00000  2.36822e+03
 49  0.00000  1.91184e+03 | 50  0.00000  2.14442e+03 | 51 -0.63771 -3.88291e+01
 52 -0.04708 -1.14448e-01 | 53 -0.43653 -3.84696e+01 | 54 -0.10766 -1.46669e+01
 55 -0.36657 -8.73901e+01 | 56 -0.27615 -6.40752e+00 | 57  0.36055  1.51030e-02
 58  0.05074 -3.54461e+01 | 59  0.06403  6.72692e-02 | 60 -0.08730 -2.48925e+01
 61  0.28294 -3.33649e+00 | 62 -0.02158 -4.83396e+02 | 63  0.28006  8.17912e-01
 64 -0.03284 -1.79341e+02 | 65 -0.49744 -1.73592e-03 | 66 -0.07048  1.39329e+02
 67  0.35104  1.01407e+00 | 68 -0.53996 -1.16848e+01 | 69  0.01421  1.32941e+02
 70 -0.12040  2.39635e+02 | 71  0.02863 -3.38710e+02 | 72 -0.00793 -6.43046e+00
 73 -0.01044 -3.24225e+01 | 74 -0.17798 -7.58828e+01 | 75 -0.00241 -1.51982e+02
 76  0.18994 -6.49868e+00 | 77 -0.04277  2.08596e+01 | 78  0.10972 -5.22568e+03
