"","M_f 0.132","M_f 0.121","M_f 0.11","M_f 0.099","M_f 0.088","M_f 0.134991","M_f 0.143","M_f 0.154","M_f 0.165","M_f 0.176","M_f 0.187","M_f 0.198"
"totlikelihood",1293.59,1283.47,1277.18,1273.59,1272.14,1272.08,1272.54,1274.59,1278.12,1282.98,1288.99,1296
"surveylike",13.9322,12.8781,12.0325,11.4667,11.2458,11.2502,11.4005,11.9265,12.7973,13.9867,15.4481,17.2143
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",267.097,267.07,267.084,267.06,266.956,266.914,266.779,266.529,266.226,265.95,265.631,265.325
"agelike",986.163,983.155,981.562,980.952,981.116,981.282,981.966,983.488,985.654,988.343,991.588,995.285
"recrlike",26.0719,20.0989,16.05,13.2964,11.4977,11.1448,10.4461,9.99322,10.025,10.4548,11.2084,12.2398
"forerecrlike",0.114596,0.112215,0.111369,0.111458,0.111831,0.11191,0.112014,0.111796,0.111136,0.110048,0.108652,0.106944
"priorlike",0.204621,0.149229,0.332903,0.700368,1.20959,1.36812,1.8283,2.53219,3.30363,4.13092,5.00353,5.82821
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0
"R0",9.92757,10.0653,10.2197,10.3868,10.5605,10.6083,10.7372,10.9163,11.0992,11.2889,11.4881,11.6992
"SB0",25119.7,23179.2,22018.2,21404.9,21140,21110.8,21108.1,21272.3,21652,22309.8,23317.4,24771.2
"SBfinal",4637.64,5809.97,7190.73,8694.77,10183.6,10571.8,11567.1,12841.7,14073.3,15366.8,16827,18552.5
"deplfinal",0.184622,0.250654,0.326581,0.406205,0.481723,0.500777,0.547995,0.603683,0.649978,0.688792,0.721649,0.748956
"yieldspr",4453.6,4646.03,4936.45,5322.6,5790.54,5930.49,6332.24,6954.34,7680.17,8551.66,9627.3,10983.4
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.088,0.099,0.11,0.121,0.132,0.134991,0.143,0.154,0.165,0.176,0.187,0.198
"lminfem",18.8452,18.8677,18.8789,18.8855,18.8905,18.8917,18.8951,18.9035,18.9234,18.9735,19.0085,19.0426
"lmaxfem",49.0514,49.1719,49.2651,49.343,49.413,49.4312,49.4786,49.5414,49.6028,49.6663,49.7226,49.7748
"kfem",0.20059,0.198479,0.196843,0.195437,0.194133,0.193788,0.192878,0.191632,0.190342,0.188871,0.187562,0.186301
"cv1fem",0.143237,0.143107,0.142897,0.142632,0.14235,0.142274,0.142074,0.14172,0.14112,0.139858,0.138934,0.138039
"cv2fem",0.0485044,0.0480108,0.0476632,0.0473994,0.0471874,0.0471367,0.0470138,0.0468815,0.0468004,0.0467919,0.0468003,0.0468342
"mmale",0.0995526,0.110517,0.121638,0.132806,0.143955,0.14698,0.155065,0.166134,0.17717,0.188179,0.199175,0.210161
"lminmale",20.2775,20.2988,20.3107,20.317,20.3205,20.3211,20.3216,20.3205,20.3173,20.3146,20.3086,20.3005
"lmaxmale",43.6356,43.6475,43.6513,43.6503,43.6465,43.6451,43.6407,43.6319,43.619,43.6005,43.5808,43.5597
"kmale",0.268298,0.267561,0.267158,0.2669,0.266669,0.266605,0.266434,0.266234,0.266117,0.266129,0.266138,0.266159
"cv1male",0.0930819,0.0926159,0.0922165,0.0918691,0.0915608,0.091484,0.0912985,0.0910627,0.090825,0.0905321,0.0903139,0.0901397
"cv2male",0.0543793,0.0544984,0.054605,0.0547083,0.0548147,0.0548446,0.0549262,0.0550505,0.0551929,0.0553583,0.0555166,0.0556643
