"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","NatM_uniform_Fem_GP_1",0.088,1293.59,7.56932e-05,25119.7,4637.64,0.184622,0
"4","NatM_uniform_Fem_GP_1",0.099,1283.47,9.26849e-05,23179.2,5809.97,0.250654,0
"3","NatM_uniform_Fem_GP_1",0.11,1277.18,9.94883e-05,22018.2,7190.73,0.326581,0
"2","NatM_uniform_Fem_GP_1",0.121,1273.59,9.5716e-05,21404.9,8694.77,0.406205,0
"1","NatM_uniform_Fem_GP_1",0.132,1272.14,3.94583e-05,21140,10183.6,0.481723,0
"6","NatM_uniform_Fem_GP_1",0.134991,1272.08,8.63e-05,21110.8,10571.8,0.500777,0
"7","NatM_uniform_Fem_GP_1",0.143,1272.54,9.43545e-05,21108.1,11567.1,0.547995,0
"8","NatM_uniform_Fem_GP_1",0.154,1274.59,9.64064e-05,21272.3,12841.7,0.603683,0
"9","NatM_uniform_Fem_GP_1",0.165,1278.12,9.43481e-05,21652,14073.3,0.649978,0
"10","NatM_uniform_Fem_GP_1",0.176,1282.98,7.90746e-05,22309.8,15366.8,0.688792,0
"11","NatM_uniform_Fem_GP_1",0.187,1288.99,9.92425e-05,23317.4,16827,0.721649,1
"12","NatM_uniform_Fem_GP_1",0.198,1296,8.69824e-05,24771.2,18552.5,0.748956,1
