"","M_m 0.143","M_m 0.132","M_m 0.121","M_m 0.11","M_m 0.099","M_m 0.088","M_m 0.14698","M_m 0.154","M_m 0.165","M_m 0.176","M_m 0.187","M_m 0.198"
"totlikelihood",1304.27,1291.26,1282.59,1276.97,1273.64,1272.18,1272.08,1272.4,1274.14,1277.29,1281.7,1287.23
"surveylike",15.0983,13.9101,12.8829,12.0576,11.4947,11.2519,11.2502,11.3618,11.8284,12.6338,13.753,15.1568
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",265.769,266.035,266.33,266.593,266.786,266.894,266.914,266.929,266.909,266.838,266.742,266.652
"agelike",991.646,986.72,983.726,982.026,981.235,981.155,981.282,981.699,982.84,984.573,986.845,989.58
"recrlike",31.2389,24.3274,19.3873,15.8379,13.3137,11.5968,11.1448,10.5403,10.03,9.97393,10.2994,10.9502
"forerecrlike",0.117233,0.113954,0.112032,0.111319,0.111414,0.111792,0.11191,0.112033,0.111926,0.111417,0.110529,0.109293
"priorlike",0.39757,0.149562,0.145052,0.336845,0.687956,1.16787,1.36812,1.75102,2.41703,3.15042,3.93991,4.77697
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0
"R0",9.82748,9.94442,10.0761,10.2229,10.3817,10.5474,10.6083,10.7166,10.8886,11.0645,11.2468,11.4386
"SB0",24955.6,23362.8,22211.9,21507.6,21170.9,21092.2,21110.8,21196.5,21463.8,21916.5,22612.4,23639.6
"SBfinal",3675.09,4591.65,5725.53,7071.01,8552.9,10047.6,10571.8,11465.2,12790.4,14073.1,15401.6,16889
"deplfinal",0.147265,0.196537,0.257768,0.328769,0.403993,0.476368,0.500777,0.5409,0.595906,0.642124,0.681113,0.714435
"yieldspr",4381.19,4486.46,4671.43,4947.35,5312.02,5753.63,5930.49,6264.61,6850.59,7532,8345.35,9346.25
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.0836441,0.0925518,0.101897,0.111543,0.121388,0.13136,0.134991,0.141417,0.151533,0.161704,0.171922,0.182186
"lminfem",18.6102,18.7283,18.8009,18.8456,18.873,18.8885,18.8917,18.8946,18.894,18.8908,18.8884,18.8924
"lmaxfem",48.9872,49.1017,49.1953,49.2739,49.3434,49.4083,49.4312,49.4708,49.5314,49.5903,49.6474,49.7033
"kfem",0.204114,0.201269,0.199083,0.197307,0.195751,0.194299,0.193788,0.192903,0.191545,0.190207,0.188878,0.187529
"cv1fem",0.147369,0.145423,0.14415,0.143278,0.142688,0.142342,0.142274,0.142227,0.142293,0.142434,0.142568,0.142559
"cv2fem",0.048627,0.0482027,0.047877,0.0476184,0.0473996,0.0472036,0.0471367,0.0470231,0.0468589,0.0467182,0.0466046,0.0465248
"mmale",0.088,0.099,0.11,0.121,0.132,0.143,0.14698,0.154,0.165,0.176,0.187,0.198
"lminmale",20.3266,20.3342,20.3359,20.3338,20.3293,20.3235,20.3211,20.3162,20.3076,20.2977,20.2869,20.2758
"lmaxmale",43.5115,43.5681,43.6028,43.6232,43.6352,43.643,43.6451,43.6484,43.652,43.6532,43.652,43.648
"kmale",0.269818,0.268341,0.267511,0.267075,0.266834,0.266662,0.266605,0.266511,0.266378,0.266289,0.266246,0.266256
"cv1male",0.0916705,0.0918187,0.0918231,0.0917485,0.09164,0.0915238,0.091484,0.091423,0.091339,0.0912529,0.0911608,0.0910515
"cv2male",0.0554909,0.0552115,0.0550508,0.0549586,0.0549015,0.0548588,0.0548446,0.0548192,0.0547791,0.0547435,0.0547099,0.054679
