"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_uniform_Mal_GP_1",0.088,1303.63,7.89681e-05,23398.3,3627.31,0.155024,0
"5","NatM_uniform_Mal_GP_1",0.099,1290.91,7.30781e-05,21986.3,4536.08,0.206314,0
"4","NatM_uniform_Mal_GP_1",0.11,1282.41,9.73709e-05,20997.6,5657.1,0.269417,0
"3","NatM_uniform_Mal_GP_1",0.121,1276.87,6.8735e-05,20427.5,6982.75,0.341831,0
"2","NatM_uniform_Mal_GP_1",0.132,1273.59,9.61348e-05,20197.9,8437.25,0.417729,0
"1","NatM_uniform_Mal_GP_1",0.143,1272.16,9.36389e-05,20205.9,9901.15,0.490012,0
"7","NatM_uniform_Mal_GP_1",0.154,1272.38,9.66991e-05,20384.4,11290.7,0.55389,0
"8","NatM_uniform_Mal_GP_1",0.165,1274.13,9.57422e-05,20718.9,12595.2,0.607909,0
"9","NatM_uniform_Mal_GP_1",0.176,1277.28,9.97216e-05,21233.9,13865.4,0.652985,0
"10","NatM_uniform_Mal_GP_1",0.187,1281.68,9.93427e-05,21988.2,15188.9,0.690776,0
"11","NatM_uniform_Mal_GP_1",0.198,1287.22,9.33891e-05,23070.7,16677.3,0.722879,1
