"","h 0.715","h 0.66","h 0.605","h 0.55","h 0.495","h 0.44","h 0.385","h 0.33","h 0.275","h 0.77","h 0.825","h 0.88"
"totlikelihood",1288.78,1282.13,1278.19,1275.76,1274.23,1273.25,1272.64,1272.27,1272.07,1271.99,1272.03,1272.17
"surveylike",14.1347,12.6839,11.9604,11.5858,11.391,11.2939,11.2522,11.2429,11.253,11.2749,11.3036,11.336
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",264.753,264.952,265.246,265.567,265.887,266.191,266.469,266.718,266.937,267.129,267.294,267.436
"agelike",985.714,984.779,984.054,983.428,982.87,982.375,981.94,981.561,981.233,980.948,980.703,980.492
"recrlike",17.6048,14.8851,13.1957,12.185,11.6063,11.2985,11.1589,11.1231,11.1511,11.2177,11.3062,11.4067
"forerecrlike",0.12948,0.121352,0.115812,0.112415,0.110662,0.110103,0.110349,0.11109,0.112102,0.113226,0.114367,0.115466
"priorlike",6.43666,4.69911,3.61612,2.87782,2.35324,1.97355,1.69838,1.50309,1.37345,1.30383,1.29891,1.38134
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0
"R0",11.5317,11.2442,11.0403,10.8951,10.7914,10.7177,10.6659,10.6298,10.6048,10.5876,10.5759,10.568
"SB0",32802.2,28547.4,25822.8,24006.5,22741.6,21832.7,21164.4,20663.4,20281.2,19984.7,19749.6,19559.9
"SBfinal",6286.43,6732.02,7226.44,7753.92,8301.1,8851.74,9388.3,9895.6,10363.2,10785.9,11163.2,11497.5
"deplfinal",0.191646,0.235819,0.279848,0.322992,0.365019,0.405435,0.443589,0.478894,0.510976,0.53971,0.565236,0.587809
"yieldspr",4.14179e-13,1.74321e-11,3193.59,4554.52,5185.74,5527.67,5742.23,5895.58,6016.46,6117.91,6206.26,6284.89
"steep",0.275,0.33,0.385,0.44,0.495,0.55,0.605,0.66,0.715,0.77,0.825,0.88
"mfem",0.163948,0.153909,0.14712,0.142485,0.139361,0.137316,0.13604,0.135298,0.134918,0.134774,0.134787,0.134901
"lminfem",18.876,18.8507,18.8467,18.8516,18.8598,18.8688,18.8775,18.8854,18.8921,18.8977,18.9025,18.9067
"lmaxfem",49.447,49.4325,49.426,49.4237,49.4237,49.4251,49.427,49.4292,49.4314,49.4334,49.4352,49.4369
"kfem",0.192694,0.193283,0.193586,0.19374,0.193812,0.193835,0.193831,0.193813,0.193789,0.193765,0.19374,0.193716
"cv1fem",0.141687,0.142682,0.143044,0.143105,0.143015,0.142851,0.142656,0.142453,0.14226,0.142086,0.141924,0.141775
"cv2fem",0.046669,0.0467966,0.0468912,0.0469628,0.0470177,0.0470601,0.047093,0.0471186,0.0471383,0.0471532,0.0471647,0.0471738
"mmale",0.176437,0.166049,0.159079,0.154361,0.151212,0.14918,0.147938,0.147241,0.146911,0.146817,0.146878,0.147038
"lminmale",20.3789,20.363,20.3508,20.3416,20.3347,20.3295,20.3258,20.323,20.3209,20.3191,20.3177,20.3167
"lmaxmale",43.6645,43.6639,43.6616,43.6586,43.6554,43.6524,43.6496,43.6471,43.6451,43.6433,43.6419,43.6408
"kmale",0.264806,0.26507,0.265349,0.265619,0.26587,0.266097,0.266296,0.266468,0.266617,0.266745,0.266853,0.266944
"cv1male",0.0904226,0.0908382,0.0911134,0.0912918,0.0914013,0.0914617,0.0914878,0.0914919,0.0914852,0.0914756,0.0914611,0.0914429
"cv2male",0.0541379,0.0543124,0.0544458,0.0545528,0.0546399,0.0547106,0.0547674,0.0548123,0.0548471,0.0548734,0.0548934,0.0549085
