"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"9","SR_BH_steep",0.275,1289.78,7.89323e-05,34115.9,6385.73,0.187177,0
"8","SR_BH_steep",0.33,1282.9,9.64865e-05,29830.5,6816.66,0.228513,0
"7","SR_BH_steep",0.385,1278.76,9.13677e-05,27036.4,7305.43,0.270208,0
"6","SR_BH_steep",0.44,1276.16,8.91214e-05,25145.6,7832.77,0.311497,0
"5","SR_BH_steep",0.495,1274.49,8.9139e-05,23810.3,8385.32,0.352173,0
"4","SR_BH_steep",0.55,1273.42,9.57296e-05,22838,8947.72,0.391791,0
"3","SR_BH_steep",0.605,1272.73,9.75378e-05,22114.4,9502.63,0.429704,0
"2","SR_BH_steep",0.66,1272.32,9.20591e-05,21566.1,10033.8,0.465257,0
"1","SR_BH_steep",0.715,1272.09,7.80397e-05,21144.1,10528.9,0.497958,0
"10","SR_BH_steep",0.72,1272.08,8.79161e-05,21110.8,10571.8,0.500779,0
"11","SR_BH_steep",0.77,1272,9.17799e-05,20814.5,10980.7,0.527549,0
"12","SR_BH_steep",0.825,1272.02,4.13856e-05,20552.1,11386.7,0.554039,0
"13","SR_BH_steep",0.88,1272.17,8.31867e-05,20339.4,11748.1,0.577603,0
