"","R0 10.6","R0 10.4","R0 10.2","R0 10","R0 9.8","R0 10.6083","R0 10.8","R0 11","R0 11.2","R0 11.4"
"totlikelihood",1294.89,1282.8,1277.93,1274.79,1272.08,1272.08,1272.8,1274.93,1278.22,1282.39
"surveylike",16.2538,14.0363,12.4485,11.5566,11.2511,11.2502,11.4732,12.1706,13.2762,14.7289
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",263.741,264.87,266.956,267.639,266.897,266.914,267.257,267.533,267.756,267.851
"agelike",980.233,979.639,979.848,980.504,981.241,981.282,982.345,983.653,985.093,986.721
"recrlike",34.3815,23.9345,18.1084,14.1308,11.2254,11.145,9.70694,8.94793,8.81355,9.16906
"forerecrlike",0.122713,0.114837,0.111412,0.111023,0.111826,0.11191,0.114077,0.116379,0.118219,0.119483
"priorlike",0.147771,0.201978,0.452575,0.844029,1.34639,1.36807,1.89886,2.50739,3.16092,3.79332
"parmlike",0,0,0,0,0,0,0,0,0,0
"R0",9.8,10,10.2,10.4,10.6,10.6083,10.8,11,11.2,11.4
"SB0",19636.2,19577.7,19808.3,20354.1,21066.7,21110.6,22271,23767.5,25576.5,27741.9
"SBfinal",2682.91,3936.64,5828.96,8040.13,10457.9,10571.5,13337.2,16488.4,19900.8,23586.1
"deplfinal",0.136631,0.201077,0.294268,0.395012,0.496418,0.500767,0.598858,0.693735,0.778091,0.850194
"yieldspr",3785.44,4196.09,4668.92,5235.61,5899.85,5930.42,6697.48,7633.27,8730.27,10022.4
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.0940679,0.1046,0.114859,0.12473,0.134613,0.13499,0.143512,0.152092,0.160377,0.16834
"lminfem",18.588,18.7234,18.6864,18.7278,18.8902,18.8917,18.9259,18.9683,19.0332,19.0672
"lmaxfem",49.0898,49.2133,49.2847,49.3493,49.429,49.4312,49.4776,49.523,49.5678,49.6008
"kfem",0.202751,0.199378,0.197942,0.196305,0.193845,0.193788,0.192518,0.191225,0.189871,0.188886
"cv1fem",0.148961,0.146496,0.146194,0.144982,0.14232,0.142274,0.141229,0.139975,0.138202,0.137071
"cv2fem",0.0480556,0.0476907,0.0474306,0.0472593,0.0471416,0.0471367,0.0470322,0.0469485,0.0469089,0.04685
"mmale",0.102777,0.114336,0.12556,0.136165,0.146579,0.146979,0.155989,0.165018,0.173709,0.182061
"lminmale",20.3162,20.3262,20.2271,20.2185,20.3212,20.3211,20.3176,20.3152,20.3158,20.3141
"lmaxmale",43.6584,43.6689,43.6592,43.6507,43.6456,43.6451,43.6339,43.6219,43.6083,43.5984
"kmale",0.267765,0.266813,0.267681,0.267741,0.266602,0.266605,0.266658,0.266699,0.266791,0.2668
"cv1male",0.0926694,0.092457,0.0929486,0.0926741,0.0914963,0.091484,0.0912042,0.0908986,0.0905249,0.0902518
"cv2male",0.054417,0.0545227,0.0545744,0.054671,0.0548414,0.0548446,0.0549094,0.0549584,0.0549959,0.0549814
