"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_LN(R0)",9.8,1294.89,9.54211e-05,19636.2,2682.91,0.136631,0
"4","SR_LN(R0)",10,1282.8,7.81127e-05,19577.7,3936.64,0.201077,0
"3","SR_LN(R0)",10.2,1277.93,8.70616e-05,19808.3,5828.96,0.294268,0
"2","SR_LN(R0)",10.4,1274.79,3.14919e-05,20354.1,8040.13,0.395012,0
"1","SR_LN(R0)",10.6,1272.08,9.95661e-05,21066.7,10457.9,0.496418,0
"6","SR_LN(R0)",10.6083,1272.08,0.00072562,21110.6,10571.5,0.500767,0
"7","SR_LN(R0)",10.8,1272.8,9.70934e-05,22271,13337.2,0.598858,0
"8","SR_LN(R0)",11,1274.93,6.14403e-05,23767.5,16488.4,0.693735,0
"9","SR_LN(R0)",11.2,1278.22,0.000225295,25576.5,19900.8,0.778091,0
"10","SR_LN(R0)",11.4,1282.39,6.63465e-05,27741.9,23586.1,0.850194,1
