"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5","Retro -6","Retro -7","Retro -8","Retro -9","Retro -10"
"totlikelihood",1272.08,1217.91,1179.34,1139.54,1108.26,1091.31,1041.41,967.155,915.821,861.469,818.989
"surveylike",11.2502,9.63538,9.7117,8.64159,6.72675,6.3457,5.39039,5.38087,5.57957,0.747515,-1.57866
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",266.914,261.017,252.589,245.768,239.377,235.31,223.757,206.265,191.194,184.557,178.897
"agelike",981.282,935.926,907.055,876.677,853.98,841.587,802.98,747.078,712.017,672.735,638.694
"recrlike",11.1431,9.72713,8.31203,6.72444,6.41926,6.22445,7.2927,6.28497,4.94008,1.03749,0.609522
"forerecrlike",0.11191,0.0705727,0.0066489,0.000149228,0,0,0,0,0,0,0
"priorlike",1.36813,1.52952,1.6584,1.7239,1.74635,1.83586,1.9849,2.13862,2.08414,2.38584,2.35996
"parmlike",0,0,0,0,0,0,0,0,0,0,0
"R0",10.6083,10.6094,10.6576,10.71,10.7368,10.7569,10.7736,10.7959,10.7773,10.8367,10.8353
"SB0",21110.8,20239,20517.9,21332.2,21803.2,21669.6,21158.1,21006.4,20965.7,20842.6,20867.4
"SBfinal",10571.7,8738.08,8929.98,9741.48,10679.8,11073.2,12286.1,12148.1,10367.3,8547.67,9256.44
"deplfinal",0.500771,0.431745,0.435229,0.456656,0.489825,0.511,0.580683,0.578302,0.49449,0.410106,0.443583
"yieldspr",5930.52,5810.78,5982.34,6252.77,6420.39,6488.42,6486.59,6455.23,5860.51,6062.28,6080.81
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.134991,0.138185,0.14075,0.141669,0.142145,0.143807,0.146828,0.149466,0.148705,0.153066,0.152746
"lminfem",18.8917,18.7635,18.7365,18.5857,18.5061,18.3339,17.9787,17.7294,17.5577,16.123,15.562
"lmaxfem",49.4312,49.5523,49.7866,49.8371,49.9296,49.9663,50.0255,50.2239,50.2202,49.9941,49.8713
"kfem",0.193788,0.194088,0.191039,0.190944,0.190097,0.190195,0.192553,0.192854,0.194738,0.206425,0.210563
"cv1fem",0.142274,0.145567,0.148198,0.153161,0.154368,0.156728,0.161627,0.166601,0.170185,0.188581,0.200275
"cv2fem",0.0471367,0.0463681,0.0441961,0.0433373,0.0425269,0.0422248,0.0413001,0.0387804,0.0390671,0.0397845,0.0406402
"mmale",0.14698,0.150427,0.152569,0.15361,0.15395,0.155715,0.158371,0.161007,0.159929,0.16482,0.164673
"lminmale",20.3211,20.3033,20.2366,20.3986,20.4556,20.4298,20.3242,20.0324,19.9097,19.2077,18.9691
"lmaxmale",43.6451,43.7531,43.8059,43.9679,44.0731,44.1264,44.2673,44.4513,44.4875,44.486,44.4927
"kmale",0.266605,0.266431,0.265687,0.260996,0.257595,0.256187,0.254911,0.255296,0.257601,0.266221,0.26788
"cv1male",0.091484,0.0915052,0.0931029,0.091981,0.0913651,0.0917683,0.0921416,0.0957592,0.096753,0.09681,0.0996311
"cv2male",0.0548446,0.0539598,0.0535052,0.0520469,0.0515184,0.05118,0.0500722,0.0473883,0.0464437,0.0454844,0.0455009
