"minLL","base","Label","Yr","recdev","perc_diff"
0.10143,0.124511,"NatM_uniform_Fem_GP_1",NA,FALSE,-0.185373179879689
0.112319,0.136682,"NatM_uniform_Mal_GP_1",NA,FALSE,-0.178245855343059
-0.0078002,-0.00142314,"Early_InitAge_16",1900,TRUE,4.48097868094495
-0.00860604,-0.00160637,"Early_InitAge_15",1901,TRUE,4.35744566942859
-0.0094994,-0.00181154,"Early_InitAge_14",1902,TRUE,4.2438256952648
-0.0104752,-0.00204071,"Early_InitAge_13",1903,TRUE,4.13311543531418
-0.0115332,-0.00229589,"Early_InitAge_12",1904,TRUE,4.02341140037197
-0.0126777,-0.00257898,"Early_InitAge_11",1905,TRUE,3.91578065746923
-0.0139156,-0.00289152,"Early_InitAge_10",1906,TRUE,3.81255533421868
-0.0152518,-0.00323448,"Early_InitAge_9",1907,TRUE,3.71537928816997
-0.0166861,-0.00360795,"Early_InitAge_8",1908,TRUE,3.62481464543577
-0.0182133,-0.00401136,"Early_InitAge_7",1909,TRUE,3.54043017829365
-0.0198295,-0.00444484,"Early_InitAge_6",1910,TRUE,3.46124044959999
-0.0215415,-0.00491158,"Early_InitAge_5",1911,TRUE,3.38585954010726
-0.0233693,-0.00541834,"Early_InitAge_4",1912,TRUE,3.31299992248548
-0.0253379,-0.00597316,"Early_InitAge_3",1913,TRUE,3.24195903006114
-0.027468,-0.00658283,"Early_InitAge_2",1914,TRUE,3.17267345503378
-0.0297784,-0.00725463,"Early_InitAge_1",1915,TRUE,3.10474414270611
-0.0322589,-0.00799345,"Early_RecrDev_1916",1916,TRUE,3.03566670211235
-0.0349578,-0.00880803,"Early_RecrDev_1917",1917,TRUE,2.96885569190841
-0.0378726,-0.00970501,"Early_RecrDev_1918",1918,TRUE,2.90237619538774
-0.0410224,-0.0106929,"Early_RecrDev_1919",1919,TRUE,2.83641481730868
-0.0444273,-0.0117813,"Early_RecrDev_1920",1920,TRUE,2.77100150238089
-0.0481022,-0.0129804,"Early_RecrDev_1921",1921,TRUE,2.70575637114419
-0.052066,-0.0143016,"Early_RecrDev_1922",1922,TRUE,2.64057168428707
-0.0563452,-0.0157571,"Early_RecrDev_1923",1923,TRUE,2.57586104041987
-0.0609704,-0.0173598,"Early_RecrDev_1924",1924,TRUE,2.51216027834422
-0.0659618,-0.0191249,"Early_RecrDev_1925",1925,TRUE,2.44900104052832
-0.071329,-0.0210681,"Early_RecrDev_1926",1926,TRUE,2.38563990108268
-0.0770992,-0.0232059,"Early_RecrDev_1927",1927,TRUE,2.32239645952107
-0.0833158,-0.0255574,"Early_RecrDev_1928",1928,TRUE,2.25994819504331
-0.0899979,-0.0281421,"Early_RecrDev_1929",1929,TRUE,2.1979809609091
-0.0971621,-0.0309824,"Early_RecrDev_1930",1930,TRUE,2.13604175273704
-0.104847,-0.0341021,"Early_RecrDev_1931",1931,TRUE,2.07450274323282
-0.11307,-0.0375269,"Early_RecrDev_1932",1932,TRUE,2.01303864694393
-0.121829,-0.0412834,"Early_RecrDev_1933",1933,TRUE,1.95104085419321
-0.131187,-0.0454027,"Early_RecrDev_1934",1934,TRUE,1.88940966065895
-0.141207,-0.0499224,"Early_RecrDev_1935",1935,TRUE,1.82852987837123
-0.151901,-0.0548917,"Early_RecrDev_1936",1936,TRUE,1.76728540016068
-0.163336,-0.0603769,"Early_RecrDev_1937",1937,TRUE,1.70527304316717
-0.175675,-0.0664687,"Early_RecrDev_1938",1938,TRUE,1.64297330924179
-0.189028,-0.0732696,"Early_RecrDev_1939",1939,TRUE,1.5798967102318
-0.203392,-0.0807999,"Early_RecrDev_1940",1940,TRUE,1.51723083815698
-0.218576,-0.0890867,"Early_RecrDev_1941",1941,TRUE,1.4535199979346
-0.234715,-0.0981526,"Early_RecrDev_1942",1942,TRUE,1.3913273820561
-0.251128,-0.107756,"Early_RecrDev_1943",1943,TRUE,1.33052451835629
-0.267577,-0.117588,"Early_RecrDev_1944",1944,TRUE,1.2755468245059
-0.283959,-0.127628,"Early_RecrDev_1945",1945,TRUE,1.22489579089228
-0.299929,-0.137595,"Early_RecrDev_1946",1946,TRUE,1.17979577746284
-0.315114,-0.147044,"Early_RecrDev_1947",1947,TRUE,1.14299121351432
-0.329751,-0.156086,"Early_RecrDev_1948",1948,TRUE,1.11262380995092
-0.343384,-0.1643,"Early_RecrDev_1949",1949,TRUE,1.0899817407182
-0.35534,-0.170944,"Early_RecrDev_1950",1950,TRUE,1.0786924372894
-0.364687,-0.174979,"Early_RecrDev_1951",1951,TRUE,1.08417581538356
-0.370426,-0.175229,"Early_RecrDev_1952",1952,TRUE,1.11395374053382
-0.371369,-0.170226,"Early_RecrDev_1953",1953,TRUE,1.18162325379202
-0.36648,-0.158556,"Early_RecrDev_1954",1954,TRUE,1.31136002421857
-0.354958,-0.139053,"Early_RecrDev_1955",1955,TRUE,1.55268135171481
-0.336994,-0.111733,"Early_RecrDev_1956",1956,TRUE,2.01606508372638
-0.314749,-0.0793774,"Early_RecrDev_1957",1957,TRUE,2.96522183896172
-0.293222,-0.0493049,"Early_RecrDev_1958",1958,TRUE,4.94711681800389
-0.278882,-0.0319348,"Early_RecrDev_1959",1959,TRUE,7.73285569347546
-0.274476,-0.0332366,"Early_RecrDev_1960",1960,TRUE,7.25824542823273
-0.272698,-0.0444779,"Early_RecrDev_1961",1961,TRUE,5.13108982213639
-0.257142,-0.0438361,"Early_RecrDev_1962",1962,TRUE,4.86598716582908
-0.213594,-0.0130039,"Early_RecrDev_1963",1963,TRUE,15.4253800782842
