"minLL","base","Label","Yr","recdev"
0.10143,0.124511,"NatM_uniform_Fem_GP_1",NA,FALSE
20.901,20.6445,"L_at_Amin_Fem_GP_1",NA,FALSE
49.4653,49.5218,"L_at_Amax_Fem_GP_1",NA,FALSE
0.180513,0.18117,"VonBert_K_Fem_GP_1",NA,FALSE
0.112194,0.115937,"CV_young_Fem_GP_1",NA,FALSE
0.0481828,0.0481557,"CV_old_Fem_GP_1",NA,FALSE
1.59e-05,1.59e-05,"Wtlen_1_Fem_GP_1",NA,FALSE
2.99,2.99,"Wtlen_2_Fem_GP_1",NA,FALSE
5.47,5.47,"Mat50%_Fem_GP_1",NA,FALSE
-0.7747,-0.7747,"Mat_slope_Fem_GP_1",NA,FALSE
1,1,"Eggs/kg_inter_Fem_GP_1",NA,FALSE
0,0,"Eggs/kg_slope_wt_Fem_GP_1",NA,FALSE
0.112319,0.136682,"NatM_uniform_Mal_GP_1",NA,FALSE
21.0584,21.0367,"L_at_Amin_Mal_GP_1",NA,FALSE
43.5391,43.6365,"L_at_Amax_Mal_GP_1",NA,FALSE
0.247062,0.244646,"VonBert_K_Mal_GP_1",NA,FALSE
0.093712,0.0941596,"CV_young_Mal_GP_1",NA,FALSE
0.0572892,0.0568863,"CV_old_Mal_GP_1",NA,FALSE
1.45e-05,1.45e-05,"Wtlen_1_Mal_GP_1",NA,FALSE
3.01,3.01,"Wtlen_2_Mal_GP_1",NA,FALSE
1,1,"CohortGrowDev",NA,FALSE
0.5,0.5,"FracFemale_GP_1",NA,FALSE
10.1432,10.4327,"SR_LN(R0)",NA,FALSE
0.72,0.72,"SR_BH_steep",NA,FALSE
0.6,0.6,"SR_sigmaR",NA,FALSE
0,0,"SR_regime",NA,FALSE
0,0,"SR_autocorr",NA,FALSE
-0.0078002,-0.00142314,"Early_InitAge_16",1900,TRUE
-0.00860604,-0.00160637,"Early_InitAge_15",1901,TRUE
-0.0094994,-0.00181154,"Early_InitAge_14",1902,TRUE
-0.0104752,-0.00204071,"Early_InitAge_13",1903,TRUE
-0.0115332,-0.00229589,"Early_InitAge_12",1904,TRUE
-0.0126777,-0.00257898,"Early_InitAge_11",1905,TRUE
-0.0139156,-0.00289152,"Early_InitAge_10",1906,TRUE
-0.0152518,-0.00323448,"Early_InitAge_9",1907,TRUE
-0.0166861,-0.00360795,"Early_InitAge_8",1908,TRUE
-0.0182133,-0.00401136,"Early_InitAge_7",1909,TRUE
-0.0198295,-0.00444484,"Early_InitAge_6",1910,TRUE
-0.0215415,-0.00491158,"Early_InitAge_5",1911,TRUE
-0.0233693,-0.00541834,"Early_InitAge_4",1912,TRUE
