"run","nll","max_grad"
1,20139.5,634568
2,27192.3,10503200
3,19021.5,0.00169628
4,19017,0.000450243
5,19016.5,0.000577943
6,19032.6,0.00039437
7,19017,0.000839277
8,19032.6,0.000379976
9,23316.4,445797
10,20139.5,634568
11,27192.3,10503200
12,19021.5,0.00169628
13,21277.7,88490.7
14,19065.8,0.000365888
15,19032.6,0.000588085
16,19016.5,0.00392502
17,19311.9,314.65
18,20458.7,786574
19,21598.8,402308
20,21549.4,7773460
21,19016.5,0.00260261
22,39350,0.0953989
23,19019.7,0.115368
24,19150.4,4.27921
25,19021.5,0.00161849
26,20458.7,786574
27,21598.8,402308
28,21549.4,7773460
29,19016.5,0.00260261
30,39350,0.0953989
31,19027.5,0.0011449
32,21613.9,65018.9
33,30423.9,5083890
34,19026.3,0.000714927
35,19136.4,103.766
36,31792.7,44711.6
37,19017,0.0358136
38,19016.5,0.00207014
39,19017.3,0.0019152
40,20442.1,637296
41,19456.5,88.4371
42,19666.4,4245.38
43,19951.9,39898.3
44,19023.6,0.00678752
45,14460.1,1718.92
46,19016.5,9.31375e-05
47,19387,0.00407776
48,19590.3,0.00552395
49,19016.5,0.000923647
50,19021.7,0.00664239
51,19951.9,39898.3
52,19016.5,0.000216835
53,19016.5,0.000408822
54,20108.3,1315360
55,19021.5,0.00172349
56,19021.5,0.00719465
57,19590.3,0.00552395
58,19016.5,0.000923647
59,19308.4,881.576
60,19021.6,0.00120483
61,19613.5,16010.6
62,19046.8,0.0108398
63,19021.6,0.00117375
64,19101.1,2.46613
65,19016.5,0.00300949
66,19038.2,0.000196987
67,19974.6,3366.1
68,19021.6,0.00164599
69,21127.8,613132
70,19021.5,0.000326271
71,23234.3,824040
72,20087.9,29709
73,19016.5,0.00077978
74,19242.9,0.00276094
75,21736,11595.6
76,19021.6,0.00164599
77,21127.8,613132
78,19021.5,0.000326271
79,19016.5,0.000355702
80,20789.7,5506140
81,19086.8,0.00666527
82,19033.7,0.000656742
83,25556.1,5935570
84,21585.1,100283
85,19046.2,9.6657e-05
86,19017,0.000899704
87,19021.5,0.00179435
88,19187.4,468.99
89,19017,0.000541455
90,26069.8,9170290
91,23370.4,531021
92,19237.4,1311.66
93,19270.5,6709.93
94,19021.5,0.00113119
95,21546.8,2010790
96,21638.2,3156090
97,19038.2,0.00148325
98,22634.2,1646220
99,20405.6,2508800
100,19047.4,0.000684325
