"replist5","replist16","replist21","replist29","replist38","replist46","replist49","replist52","replist53","replist58","replist65","replist73","replist79","Label","Yr","recdev"
0.122352,0.122308,0.122351,0.122351,0.122307,0.122351,0.122351,0.122307,0.122352,0.122351,0.122351,0.122307,0.122307,"NatM_uniform_Fem_GP_1",NA,FALSE
20.6573,20.6577,20.6572,20.6572,20.6577,20.6572,20.6572,20.6577,20.6573,20.6572,20.6572,20.6577,20.6577,"L_at_Amin_Fem_GP_1",NA,FALSE
49.4925,49.4918,49.4925,49.4925,49.4918,49.4925,49.4925,49.4918,49.4925,49.4925,49.4925,49.4918,49.4918,"L_at_Amax_Fem_GP_1",NA,FALSE
0.181113,0.181125,0.181113,0.181113,0.181125,0.181113,0.181113,0.181125,0.181113,0.181113,0.181113,0.181125,0.181125,"VonBert_K_Fem_GP_1",NA,FALSE
0.115623,0.115621,0.115623,0.115623,0.115621,0.115623,0.115623,0.115621,0.115623,0.115623,0.115623,0.115621,0.115621,"CV_young_Fem_GP_1",NA,FALSE
0.0480208,0.0480224,0.0480207,0.0480207,0.0480224,0.0480208,0.0480208,0.0480224,0.0480208,0.0480208,0.0480208,0.0480224,0.0480224,"CV_old_Fem_GP_1",NA,FALSE
1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,1.5885e-05,"Wtlen_1_Fem_GP_1",NA,FALSE
2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,2.98734,"Wtlen_2_Fem_GP_1",NA,FALSE
5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,"Mat50%_Fem_GP_1",NA,FALSE
-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,-0.7747,"Mat_slope_Fem_GP_1",NA,FALSE
1,1,1,1,1,1,1,1,1,1,1,1,1,"Eggs/kg_inter_Fem_GP_1",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Eggs/kg_slope_wt_Fem_GP_1",NA,FALSE
0.134819,0.134776,0.134819,0.134819,0.134776,0.134819,0.134819,0.134775,0.134819,0.134819,0.134818,0.134775,0.134775,"NatM_uniform_Mal_GP_1",NA,FALSE
21.0174,21.0185,21.0174,21.0174,21.0185,21.0174,21.0174,21.0185,21.0174,21.0174,21.0174,21.0185,21.0185,"L_at_Amin_Mal_GP_1",NA,FALSE
43.6083,43.6083,43.6084,43.6084,43.6083,43.6083,43.6083,43.6083,43.6083,43.6083,43.6083,43.6083,43.6083,"L_at_Amax_Mal_GP_1",NA,FALSE
0.245197,0.245195,0.245197,0.245197,0.245195,0.245197,0.245197,0.245195,0.245197,0.245197,0.245197,0.245195,0.245195,"VonBert_K_Mal_GP_1",NA,FALSE
0.094689,0.0946983,0.0946891,0.0946891,0.0946981,0.0946891,0.0946891,0.0946981,0.094689,0.0946891,0.0946891,0.0946981,0.094698,"CV_young_Mal_GP_1",NA,FALSE
0.0562749,0.0562735,0.0562749,0.0562749,0.0562736,0.0562749,0.0562749,0.0562736,0.0562749,0.0562749,0.0562749,0.0562736,0.0562736,"CV_old_Mal_GP_1",NA,FALSE
1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,1.45067e-05,"Wtlen_1_Mal_GP_1",NA,FALSE
3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,3.01229,"Wtlen_2_Mal_GP_1",NA,FALSE
1,1,1,1,1,1,1,1,1,1,1,1,1,"CohortGrowDev",NA,FALSE
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"FracFemale_GP_1",NA,FALSE
10.4579,10.4574,10.4579,10.4579,10.4574,10.4579,10.4579,10.4573,10.4579,10.4579,10.4578,10.4573,10.4573,"SR_LN(R0)",NA,FALSE
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,"SR_BH_steep",NA,FALSE
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,"SR_sigmaR",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"SR_regime",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"SR_autocorr",NA,FALSE
-0.00191382,-0.00191884,-0.00191395,-0.00191395,-0.00192067,-0.00191355,-0.00191361,-0.00191922,-0.0019145,-0.00191361,-0.001913,-0.00191351,-0.00191948,"Early_InitAge_16",1900,TRUE
-0.00215557,-0.00216208,-0.00215568,-0.00215568,-0.00216323,-0.00215526,-0.0021553,-0.00216146,-0.00215636,-0.0021553,-0.00215465,-0.00215876,-0.00216166,"Early_InitAge_15",1901,TRUE
-0.00242568,-0.00243333,-0.00242597,-0.00242597,-0.00243426,-0.00242534,-0.00242535,-0.00243213,-0.00242661,-0.00242535,-0.00242466,-0.00242929,-0.00243263,"Early_InitAge_14",1902,TRUE
-0.00272675,-0.00273499,-0.00272707,-0.00272707,-0.0027364,-0.00272637,-0.00272659,-0.0027338,-0.00272782,-0.00272659,-0.00272562,-0.00272966,-0.00273434,"Early_InitAge_13",1903,TRUE
-0.00306131,-0.00307102,-0.00306184,-0.00306184,-0.00307218,-0.00306089,-0.00306077,-0.00306903,-0.00306254,-0.00306077,-0.00306006,-0.00306703,-0.00306946,"Early_InitAge_12",1904,TRUE
-0.00343171,-0.00344255,-0.00343243,-0.00343243,-0.00344389,-0.00343124,-0.00343134,-0.00344013,-0.0034331,-0.00343134,-0.00343035,-0.00343935,-0.00344065,"Early_InitAge_11",1905,TRUE
-0.00383988,-0.003853,-0.00384101,-0.00384101,-0.0038535,-0.00383935,-0.003839,-0.00384905,-0.00384143,-0.003839,-0.0038384,-0.00384693,-0.00384986,"Early_InitAge_10",1906,TRUE
-0.00428695,-0.0043005,-0.00428849,-0.00428849,-0.00430219,-0.00428636,-0.00428665,-0.00429695,-0.00428866,-0.00428665,-0.00428535,-0.00429414,-0.00429789,"Early_InitAge_9",1907,TRUE
-0.00477299,-0.00478883,-0.00477501,-0.00477501,-0.00478997,-0.00477232,-0.00477256,-0.00478387,-0.00477483,-0.00477256,-0.00477127,-0.00478208,-0.00478514,"Early_InitAge_8",1908,TRUE
-0.00529721,-0.00531563,-0.00529944,-0.00529944,-0.00531603,-0.00529644,-0.00529657,-0.00530902,-0.00529916,-0.00529657,-0.00529536,-0.00530799,-0.00531072,"Early_InitAge_7",1909,TRUE
-0.00585973,-0.00588046,-0.00586261,-0.00586261,-0.00588055,-0.00585886,-0.00585914,-0.00587256,-0.00586178,-0.00585914,-0.00585778,-0.00587233,-0.00587459,"Early_InitAge_6",1910,TRUE
-0.0064646,-0.00648656,-0.00646785,-0.00646785,-0.00648752,-0.0064636,-0.00646405,-0.00647851,-0.00646669,-0.00646405,-0.00646254,-0.00647956,-0.00648069,"Early_InitAge_5",1911,TRUE
-0.0071204,-0.00714656,-0.0071244,-0.0071244,-0.00714567,-0.00711924,-0.00711933,-0.00713549,-0.00712248,-0.00711933,-0.00711824,-0.007137,-0.0071376,"Early_InitAge_4",1912,TRUE
-0.00783723,-0.00786521,-0.00784185,-0.00784185,-0.00786493,-0.00783588,-0.00783626,-0.00785363,-0.00783923,-0.00783626,-0.00783498,-0.00785555,-0.00785599,"Early_InitAge_3",1913,TRUE
