"Label","BottomTrawl","Hake","HnL","MidwaterTrawl","Net","NWFSC","Base"
"Recr_Virgin_millions",32.6726,32.4415,34.3631,41.8713,32.7666,51.9179,33.9511
"SR_LN(R0)",10.3943,10.3872,10.4447,10.6424,10.3972,10.8574,10.4327
"NatM_uniform_Fem_GP_1",0.121419,0.119133,0.125309,0.128828,0.123321,0.156331,0.124511
"NatM_uniform_Mal_GP_1",0.133726,0.131451,0.13721,0.138054,0.135437,0.169563,0.136682
"L_at_Amax_Fem_GP_1",49.4983,49.4869,49.5316,49.5833,49.5571,49.1595,49.5218
"L_at_Amax_Mal_GP_1",43.6947,43.5701,43.6267,43.3763,43.6073,43.8517,43.6365
"VonBert_K_Fem_GP_1",0.181244,0.17719,0.180781,0.174097,0.180983,0.232156,0.18117
"VonBert_K_Mal_GP_1",0.24038,0.238976,0.244624,0.2399,0.246846,0.269059,0.244646
"SSB_Virgin_thousand_mt",82.463,84.433,81.424,93.393,80.185,79.994,81.479
"SSB_2025_thousand_mt",40.153,39.233,40.548,59.521,38.386,48.016,40.184
"Bratio_2025",0.486919,0.464667,0.497988,0.637321,0.478724,0.600239,0.493175
"SPRratio_2024",1.28453,1.31245,1.25676,1.02192,1.29835,0.977618,1.26744
"OFLCatch_2027",3551,3356.33,3734.53,6220.89,3393.23,6548.37,3649.37
