"Label","BottomTrawl","ForeignAtSea","Hake","JuvSurvey","NWFSC","Triennial","Base"
"Recr_Virgin_millions",31.056,33.7721,33.6019,34.2168,35.1402,35.4183,33.9511
"SR_LN(R0)",10.3435,10.4274,10.4223,10.4405,10.4671,10.475,10.4327
"NatM_uniform_Fem_GP_1",0.12091,0.124365,0.124027,0.124788,0.123681,0.125975,0.124511
"NatM_uniform_Mal_GP_1",0.132947,0.136499,0.13621,0.136971,0.13582,0.138203,0.136682
"L_at_Amax_Fem_GP_1",49.5025,49.5227,49.5166,49.5199,49.52,49.5256,49.5218
"L_at_Amax_Mal_GP_1",43.6522,43.635,43.6398,43.6349,43.6217,43.6304,43.6365
"VonBert_K_Fem_GP_1",0.181795,0.181151,0.181346,0.181249,0.180916,0.181111,0.18117
"VonBert_K_Mal_GP_1",0.244225,0.244671,0.244623,0.244751,0.244996,0.244854,0.244646
"SSB_Virgin_thousand_mt",79,81.239,81.279,81.749,85.422,83.03,81.479
"SSB_2025_thousand_mt",35.49,39.917,39.509,40.563,46.952,43,40.184
"Bratio_2025",0.449242,0.491362,0.486092,0.496189,0.549647,0.517878,0.493175
"SPRratio_2024",1.35147,1.27155,1.27931,1.2623,1.17559,1.22292,1.26744
"OFLCatch_2027",2985.56,3614.32,3552.11,3832.12,4533.98,4038.17,3649.37
