"Label","BottomTrawl","Hake","HnL","MidwaterTrawl","Net","NWFSC","Base"
"TOTAL_like",18988.2,18866.3,18952.2,18854,18986.9,18811.5,19053
"Survey_like",12.8609,13.7273,13.2205,12.0866,13.4459,10.4874,13.0155
"Discard_like",16793.2,16793.3,16793.3,16793.2,16793.3,16793.3,16793.3
"Age_comp_like",1359.15,1327.88,1362.86,1326.06,1364.36,1352,1366.41
"Parm_priors_like",0.958695,1.02853,0.955683,1.20478,0.993853,0.960041,0.976218
"Recr_Virgin_millions",33.6854,36.3162,33.3478,37.9186,33.9274,34.5402,33.9511
"SR_LN(R0)",10.4248,10.5,10.4147,10.5432,10.432,10.4499,10.4327
"NatM_uniform_Fem_GP_1",0.124337,0.124009,0.124502,0.130386,0.125354,0.123775,0.124511
"NatM_uniform_Mal_GP_1",0.136255,0.138551,0.135867,0.141076,0.136932,0.136691,0.136682
"L_at_Amax_Fem_GP_1",49.6441,49.2857,49.4985,49.8392,49.5991,49.5358,49.5218
"L_at_Amax_Mal_GP_1",43.7579,43.3205,43.6441,43.6242,43.7157,43.6019,43.6365
"VonBert_K_Fem_GP_1",0.176665,0.178145,0.181714,0.161555,0.180791,0.18093,0.18117
"VonBert_K_Mal_GP_1",0.238592,0.246949,0.245017,0.244369,0.243254,0.247389,0.244646
"SSB_Virgin_thousand_mt",80.835,86.458,80.057,81.188,80.522,83.902,81.479
"SSB_2025_thousand_mt",38.721,43.843,36.919,41.048,39.238,41.619,40.184
"Bratio_2025",0.479009,0.507104,0.461163,0.505599,0.487295,0.496047,0.493175
"SPRratio_2024",1.28996,1.24117,1.32104,1.20971,1.2775,1.23772,1.26744
"OFLCatch_2027",3451.94,3970.55,3390.97,4161.19,3546.75,3962.86,3649.37
