Natural Mortality (Female),0.121,0.11,0.099,0.088,0.132,0.143,0.154,0.165,0.176,0.187,0.198
M (females),0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.17,0.18,0.19,0.20
Lmin (females),20.67,20.66,20.66,20.65,20.65,20.66,20.67,20.68,20.70,20.74,20.77
Lmax (females),49.33,49.40,49.45,49.51,49.56,49.61,49.66,49.71,49.75,49.80,49.84
k (females),0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17
CV old (females),0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11
CV young (females),0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
M (males),0.10,0.11,0.12,0.13,0.14,0.15,0.17,0.18,0.19,0.20,0.21
Lmin (males),21.03,21.03,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.03,21.02
Lmax (males),43.68,43.67,43.66,43.64,43.62,43.61,43.59,43.56,43.54,43.51,43.48
k (males),0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
CV old (males),0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
CV young (males),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
lnR0,9.84,10.00,10.18,10.37,10.57,10.76,10.96,11.17,11.38,11.61,11.87
SB0,85925.30,82223.70,80985.70,81367.50,82812.40,85120.20,88450.20,93082.60,99545.50,108692.00,122117.00
SB final year,21441.60,26610.80,32539.80,38661.50,44476.00,49821.40,54986.60,60334.40,66454.20,74191.30,84745.20
Depletion Final Year (%),0.25,0.32,0.40,0.48,0.54,0.59,0.62,0.65,0.67,0.68,0.69
Yield SPR 50,4153.67,4469.16,4898.71,5432.97,6063.15,6794.88,7660.47,8708.93,10023.80,11741.70,14110.70
h (steepness),0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood
Total,7676.37,7669.86,7666.15,7664.59,7664.92,7666.9,7670.41,7675.29,7681.38,7688.5,7696.47
Survey,15.7341,14.6707,13.7931,13.1656,12.8216,12.7871,13.0479,13.6267,14.4961,15.5785,16.8619
Discard,5411.3,5411.14,5410.97,5410.83,5410.73,5410.68,5410.67,5410.7,5410.76,5410.84,5410.94
Length,855.428,855.473,855.37,855.093,854.661,854.171,853.676,853.225,852.825,852.458,852.19
Age,1364.77,1364.08,1364.51,1365.73,1367.61,1370.05,1373.03,1376.5,1380.44,1384.83,1389.47
Recruitment,28.2584,23.6781,20.4737,18.3397,17.0951,16.5459,16.5574,17.0207,17.845,18.9496,20.3132
Forecast Rec,0.729468,0.671908,0.629148,0.604573,0.611465,0.620579,0.640323,0.668365,0.702497,0.740785,0.783174
Priors,0.147022,0.142084,0.384432,0.811827,1.37627,2.04151,2.78279,3.53642,4.29542,5.08801,5.90722
Parameter,0,0,0,0,0,0,0,0,0,0,0
