"","M_m 0.132","M_m 0.121","M_m 0.11","M_m 0.099","M_m 0.088","M_m 0.143","M_m 0.154","M_m 0.165","M_m 0.176","M_m 0.187","M_m 0.198"
"totlikelihood",7686.25,7676.56,7670.39,7666.33,7664.66,7664.77,7666.52,7669.81,7674.49,7680.44,7687.49
"surveylike",16.8948,15.7211,14.6694,13.8694,13.2195,12.8486,12.7802,13.0171,13.5837,14.4717,15.6176
"discardlike",5411.53,5411.35,5411.17,5411,5410.85,5410.74,5410.67,5410.66,5410.69,5410.76,5410.84
"lengthlike",853.665,854.144,854.585,854.801,854.945,854.971,854.934,854.884,854.851,854.857,854.912
"agelike",1368.93,1366.25,1365.18,1365,1365.76,1367.11,1369,1371.41,1374.33,1377.7,1381.48
"recrlike",33.8673,28.0796,23.8302,20.6567,18.5067,17.1881,16.5682,16.5214,16.9494,17.7738,18.9327
"forerecrlike",0.949187,0.877061,0.813761,0.634383,0.606857,0.596812,0.600822,0.615363,0.637904,0.666324,0.699022
"priorlike",0.401122,0.122614,0.126855,0.354612,0.761645,1.30634,1.95633,2.68767,3.44179,4.19978,4.99789
"parmlike",0,0,0,0,0,0,0,0,0,0,0
"R0",9.69739,9.83786,9.99693,10.1699,10.3551,10.545,10.7381,10.9359,11.1413,11.3585,11.5944
"SB0",87488.3,83027.1,80722.3,80090.6,81018.7,82899.5,85611.5,89317.6,94345.1,101289,111227
"SBfinal",16639.1,20822.9,25974.5,31651.3,37926.1,43983.1,49654.3,55149.6,60842.3,67332,75587.5
"deplfinal",0.190187,0.250797,0.321776,0.395194,0.468115,0.530559,0.579996,0.617455,0.644891,0.664748,0.679578
"yieldspr",3960.85,4158.51,4459.32,4860.44,5375,5985.28,6698.61,7545.36,8576.49,9879.42,11610.2
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.0801684,0.0897233,0.0996306,0.109792,0.120092,0.130502,0.140995,0.151558,0.162185,0.172875,0.183628
"lminfem",20.6627,20.6683,20.6674,20.6612,20.6553,20.6487,20.6421,20.6367,20.6336,20.6335,20.6371
"lmaxfem",49.2653,49.3354,49.3943,49.4508,49.5018,49.553,49.6045,49.6558,49.7062,49.7553,49.8024
"kfem",0.185729,0.184598,0.183604,0.182561,0.18156,0.180498,0.179387,0.17824,0.177062,0.175864,0.174661
"cv1fem",0.1158,0.115739,0.115711,0.115793,0.115818,0.115878,0.115964,0.11605,0.116116,0.116141,0.11611
"cv2fem",0.0488764,0.0486538,0.0484847,0.0483239,0.0481996,0.0480833,0.0479756,0.0478793,0.0477957,0.0477265,0.0476728
"mmale",0.088,0.099,0.11,0.121,0.132,0.143,0.154,0.165,0.176,0.187,0.198
"lminmale",21.0587,21.0589,21.0571,21.0471,21.0429,21.0381,21.0326,21.0262,21.019,21.0111,21.0026
"lmaxmale",43.6129,43.6356,43.6436,43.6442,43.6393,43.6327,43.6248,43.6155,43.6046,43.5919,43.5772
"kmale",0.244864,0.244453,0.244377,0.24444,0.24458,0.244706,0.244818,0.24493,0.24505,0.245184,0.24533
"cv1male",0.0939186,0.0940718,0.0941317,0.0941613,0.094145,0.0941199,0.0940962,0.0940777,0.0940661,0.0940611,0.094062
"cv2male",0.0571452,0.0569929,0.0569156,0.0568734,0.056856,0.0568428,0.0568293,0.0568163,0.0568042,0.0567943,0.0567882
