"Year","Foreign...Domestic","Shoreside.hake","Shoreside.hake.1","Shoreside.hake.2"
1966,3670,0,0,0
1967,3902,0,0,0
1968,1956,0,0,0
1969,358,0,0,0
1970,554,0,0,0
1971,701,0,0,0
1972,421,0,0,0
1973,656,0,0,0
1974,418,0,0,0
1975,391.2,0,0,0
1976,718.5,0,0,0
1977,119.3,0,0,0
1978,191.9,0,0,0
1979,197.9,0,0,0
1980,272,0,0,0
1981,227.9,0,0,0
1982,157.5,0,0,0
1983,131.5,0,0,0
1984,294.7,0,0,0
1985,182.6,0,0,0
1986,256.8,0,0,0
1987,181.3,0,0,0
1988,231.6,0,0,0
1989,212,0,0,0
1990,230.2,0,0,0
1991,471.3,42.7,39,9.3
1992,389.6,13.5,42.1,6.2
1993,173.2,0.4,91.2,11
1994,370.7,2.1,210.8,28.6
1995,228.6,7.2,192.1,36.8
1996,252.2,5.7,475.1,104.7
1997,215.5,7.2,133.9,22.1
1998,268.5,40.4,278,28.1
1999,191.8,12.7,166.4,15.2
2000,205.4,7.7,70.9,4.7
2001,174,9.2,26.4,9
2002,154.9,1.2,2.6,1.4
2003,14.5,0.4,7.6,4.6
2004,21.2,7.4,12.4,8.5
2005,80.1,5.2,59.1,13.6
2006,143,3.6,11.3,35.3
2007,146,1,46.1,35.3
2008,115.2,29.2,36.1,37.5
2009,26.6,2.3,46.6,59.8
2010,44.6,9,35.3,17.5
2011,38.4,0,79.9,19.5
2012,79.2,0,85.1,17.1
2013,31.2,0,115.1,29.2
2014,56.2,0,250.1,35.9
