"Label","Aug 2025 model","Aug 2025 + New WA catch","Simplify fleets + include discards with landings","Update data weighting (McAllister-Ianelli, lambda = 0.5)","Change data weighting (Francis, lambda = 1)","Add fecundity relationship","Refine recruitment bias adjustment, re-weight"
"Recr_Virgin_millions",34.799,34.7352,31.125,31.049,39.6549,40.0927,40.2556
"SR_LN(R0)",10.4573,10.4555,10.3458,10.3433,10.588,10.5989,10.603
"NatM_uniform_Fem_GP_1",0.122306,0.12198,0.118384,0.119208,0.134648,0.134815,0.134897
"NatM_uniform_Mal_GP_1",0.134775,0.134413,0.128846,0.129334,0.146664,0.146812,0.146894
"SmryBio_unfished",158958,159453,152752,150949,154045,155396,155745
"SSB_Virgin",85460.9,85756.7,81703.5,80613.9,80616.1,20233.4,20251.2
"SSB_2025",46933.9,46976,38371.8,38220.8,43672,10372.3,10403.4
"Bratio_2025",0.549186,0.547782,0.469647,0.474122,0.541728,0.512636,0.513717
"SPRratio_2024",1.17546,1.17615,1.32822,1.31823,1.11835,1.18674,1.18523
"Dead_Catch_SPR",5822.12,5826.97,5409.92,5398.34,6261.07,6015.74,6026.38
"OFLCatch_2027",4532.63,4533.56,3444.73,3503.69,5632.22,5075.38,5128.89
"ForeCatch_2027",4238.01,4238.88,3096.17,3160.4,5266.13,4745.48,4795.52
