Yr,Bottom trawl,Midwater trawl,Hake
1916,78.31,0,0
1917,121.85,0,0
1918,140.162,0,0
1919,96.7735,0,0
1920,99.0382,0,0
1921,82.0949,0,0
1922,71.2853,0,0
1923,78.3522,0,0
1924,50.4064,0,0
1925,62.4726,0,0
1926,94.9674,0,0
1927,78.8371,0,0
1928,89.7503,0,0
1929,87.3208,0,0
1930,113.101,0,0
1931,100.073,0,0
1932,100.213,0,0
1933,86.2964,0,0
1934,91.143,0.0076276,0
1935,98.0645,0,0
1936,109.681,0,0
1937,102.874,0,0
1938,82.9077,0,0
1939,75.9933,0,0
1940,120.617,0,0
1941,129.37,0,0
1942,145.094,0,0
1943,493.71,0,0
1944,965.471,0,0
1945,1635.31,0,0
1946,1169.54,0,0
1947,649.241,0,0
1948,484.57,0,0
1949,378.853,1.85649,0
1950,432.355,0,0
1951,561.557,0,0
1952,553.828,0,0
1953,475.516,0,0
1954,453.571,0,0
1955,470.107,0,0
1956,610.384,0,0
1957,770.54,0,0
1958,712.815,0,0
1959,683.365,0,0
1960,822.63,0,0
1961,688.203,0,0
1962,770.558,0,0
1963,446.002,0,0
1964,611.04,0,0
1965,269.368,0,0
1966,4293.5,0,0
1967,4828.28,0,0
1968,2398.02,0,0
1969,849.074,0,0
1970,853.11,0,0
1971,1093.9,0,0
1972,922.032,0,0
1973,1162.69,0,0
1974,906.501,0,0
1975,845.951,0,30.7799
1976,1197.66,0,130.235
1977,1043.99,0,122.558
1978,1425.63,0,195.445
1979,1880.3,7572.72,199.845
1980,2924.23,18710.2,272
1981,4994.45,23021.7,227.95
1982,6278.39,26022.4,157.51
1983,8560.93,4359.03,131.46
1984,4396.86,8198.23,294.74
1985,3851.95,7499.95,182.61
1986,5174.16,6960.55,258.153
1987,5875.02,10426.3,182.692
1988,5381.67,7790.89,231.61
1989,5913.61,9891.12,211.96
1990,8079.19,5191.16,230.18
1991,5796.48,2406.37,556.103
1992,6158.8,1731.3,448.271
1993,7995.77,2673.55,266.154
1994,5387.43,2539.56,583.667
1995,5684.7,2689.78,428.755
1996,4979.79,2244.02,733.226
1997,5213.18,2870.95,357.076
1998,3616.46,1051.01,587.21
1999,2271.9,2404.62,371.141
2000,105.877,4283.68,284.015
2001,72.5433,1983.19,209.641
2002,20.3285,252.731,158.583
2003,6.13589,14.1331,22.5667
2004,13.9549,37.1653,49.57
2005,8.67964,46.3666,144.412
2006,9.75398,46.9502,157.898
2007,32.9588,23.6137,193.101
2008,8.06648,79.0865,180.488
2009,26.1448,95.8819,135.35
2010,24.8397,71.9951,88.8804
2011,22.2649,59.7631,130.206
2012,46.1421,62.3403,164.413
2013,56.7014,268.454,147.245
2014,84.968,330.896,307.587
2015,14.5635,480.079,386.2
2016,11.2925,589.56,440.8
2017,39.2538,4861.85,1455.2
2018,39.1503,9411.53,1081.3
2019,30.6469,8177.4,1101.55
2020,76.5859,7577.69,746.694
2021,108.448,10147.9,617.298
2022,136.362,10860.9,1119.03
2023,89.6501,10234.1,673.161
2024,40.8738,9172.06,533.84
