"Type","Fleet","Weight","Lambda","Weight x lambda","Obs.","Mean N input","Mean N adj.","Sum N adj.","Sum N adj. x lambda"
"Length","BottomTrawl",0.056,0.5,0.028,78,192,10.8,844.5,422.2
"Length","MidwaterTrawl",0.208,0.5,0.104,46,324.1,67.3,3094.4,1547.2
"Length","Hake",0.11,0.5,0.055,34,701.9,77.5,2635,1317.5
"Length","Net",0.496,0.5,0.248,16,74.8,37.1,592.9,296.4
"Length","HnL",0.373,0.5,0.186,41,25.2,9.4,386.3,193.2
"Length","Triennial",0.372,1,0.372,9,51,19,171,171
"Length","WCGBTS",0.635,1,0.635,21,47.1,29.9,628.2,628.2
"Age","BottomTrawl",0.166,0.5,0.083,46,180.2,29.9,1376.6,688.3
"Age","MidwaterTrawl",0.28,0.5,0.14,46,181.7,50.8,2336.5,1168.2
"Age","Hake",0.241,0.5,0.12,31,195.2,47.1,1460.3,730.1
"Age","Net",0.501,0.5,0.25,14,52.7,26.4,369.4,184.7
"Age","HnL",0.551,0.5,0.276,22,5.7,3.2,69.4,34.7
"CAAL","WCGBTS",0.296,1,0.296,477,6.8,2,963.5,963.5
