"","scenario","yr","catch","SpawnBio_low","dep_low","SpawnBio_base","dep_base","SpawnBio_high","dep_high"
"1","Constant catch",2025,10669,26958,31.7,40270,49.4,49519,60.3
"2","Constant catch",2026,9824,21394,25.1,34485,42.3,43369,52.8
"3","Constant catch",2027,9001,16596,19.5,29460,36.1,38012,46.3
"4","Constant catch",2028,9011,12953,15.2,25653,31.5,33962,41.3
"5","Constant catch",2029,9107,10047,11.8,22710,27.9,30898,37.6
"6","Constant catch",2030,8803,7586,8.9,20462,25.1,28675,34.9
"7","Constant catch",2031,7273,5524,6.5,18703,22.9,27095,33
"8","Constant catch",2032,6333,4241,5,17263,21.2,25985,31.6
"9","Constant catch",2033,5446,3291,3.9,15981,19.6,25174,30.6
"10","Constant catch",2034,4623,2552,3,14754,18.1,24545,29.9
"11","Constant catch",2035,3862,1956,2.3,13533,16.6,24029,29.3
"12","Constant catch",2036,3149,1460,1.7,12297,15.1,23588,28.7
"13","P*0.40",2025,10669,26958,31.7,40270,49.4,49519,60.3
"14","P*0.40",2026,9824,21394,25.1,34485,42.3,43369,52.8
"15","P*0.40",2027,2572,16596,19.5,29460,36.1,38012,46.3
"16","P*0.40",2028,2569,16349,19.2,28999,35.6,37276,45.4
"17","P*0.40",2029,2709,16721,19.7,29262,35.9,37350,45.5
"18","P*0.40",2030,2904,17435,20.5,30044,36.9,38053,46.3
"19","P*0.40",2031,3106,18244,21.4,31134,38.2,39181,47.7
"20","P*0.40",2032,3274,18970,22.3,32358,39.7,40553,49.4
"21","P*0.40",2033,3392,19521,22.9,33588,41.2,42024,51.2
"22","P*0.40",2034,3461,19902,23.4,34766,42.6,43498,53
"23","P*0.40",2035,3474,20177,23.7,35880,44,44927,54.7
"24","P*0.40",2036,3471,20423,24,36951,45.3,46302,56.4
"25","P*0.45",2025,10669,26958,31.7,40270,49.4,49519,60.3
"26","P*0.45",2026,9824,21394,25.1,34485,42.3,43369,52.8
"27","P*0.45",2027,2950,16596,19.5,29460,36.1,38012,46.3
"28","P*0.45",2028,2959,16149,19,28802,35.3,37080,45.1
"29","P*0.45",2029,3135,16324,19.2,28872,35.4,36966,45
"30","P*0.45",2030,3380,16824,19.8,29450,36.1,37470,45.6
"31","P*0.45",2031,3629,17394,20.4,30316,37.2,38384,46.7
"32","P*0.45",2032,3851,17857,21,31297,38.4,39526,48.1
"33","P*0.45",2033,4017,18117,21.3,32264,39.6,40750,49.6
"34","P*0.45",2034,4120,18183,21.4,33163,40.7,41965,51.1
"35","P*0.45",2035,4189,18125,21.3,33989,41.7,43133,52.5
"36","P*0.45",2036,4217,18011,21.2,34754,42.6,44233,53.9
