"","scenario","yr","catch","SpawnBio_low","dep_low","SpawnBio_base","dep_base","SpawnBio_high","dep_high"
"1","Constant catch",2027,9000,17024,19.5,34918,42.7,38407,46.6
"2","Constant catch",2028,9007,13360,15.3,30977,37.9,34351,41.7
"3","Constant catch",2029,9068,10428,12,27812,34,31280,38
"4","Constant catch",2030,9067,7962,9.1,25315,31,29056,35.3
"5","Constant catch",2031,7419,5757,6.6,23321,28.5,27478,33.4
"6","Constant catch",2032,6404,4389,5,21690,26.5,26373,32
"7","Constant catch",2033,5494,3396,3.9,20279,24.8,25570,31
"8","Constant catch",2034,4662,2631,3,18981,23.2,24949,30.3
"9","Constant catch",2035,3901,2019,2.3,17736,21.7,24442,29.7
"10","Constant catch",2036,3187,1509,1.7,16511,20.2,24011,29.1
"11","P*0.25",2027,1790,24754,28.4,29822,36.5,41750,50.7
"12","P*0.25",2028,1750,24698,28.3,29349,35.9,41257,50.1
"13","P*0.25",2029,1791,25148,28.9,29596,36.2,41522,50.4
"14","P*0.25",2030,1863,25952,29.8,30369,37.2,42422,51.5
"15","P*0.25",2031,1939,26957,30.9,31461,38.5,43786,53.2
"16","P*0.25",2032,1991,28047,32.2,32692,40,45448,55.2
"17","P*0.25",2033,1993,29155,33.5,33935,41.5,47258,57.4
"18","P*0.25",2034,1969,30261,34.7,35143,43,49121,59.6
"19","P*0.25",2035,1929,31364,36,36298,44.4,50970,61.9
"20","P*0.25",2036,1886,32473,37.3,37406,45.8,52765,64.1
"21","P*0.45",2027,3231,24754,28.4,34918,42.7,41750,50.7
"22","P*0.45",2028,3204,23939,27.5,33924,41.5,40507,49.2
"23","P*0.45",2029,3351,23652,27.1,33609,41.1,40062,48.6
"24","P*0.45",2030,3574,23687,27.2,33792,41.3,40237,48.8
"25","P*0.45",2031,3808,23860,27.4,34288,42,40838,49.6
"26","P*0.45",2032,4020,24056,27.6,34944,42.8,41693,50.6
"27","P*0.45",2033,4180,24202,27.8,35642,43.6,42657,51.8
"28","P*0.45",2034,4279,24280,27.9,36319,44.4,43638,53
"29","P*0.45",2035,4350,24303,27.9,36957,45.2,44593,54.1
"30","P*0.45",2036,4392,24286,27.9,37550,45.9,45497,55.2
